file	width	height	epub_file	alt_or_description	nearby_before	nearby_after
media/image/Image78711.jpg	120	88	9780698155671_EPUB-10.xhtml	Source figure image Image78711.jpg; no alt text supplied in EPUB	Here’s an example from Arabic. Below are the consonants k , t, and b written in a row (note: the script is read from right to left, and the letters connect, like English cursive):	That’s the equivalent of writing ktb in English. What does it mean? That all depends on the context. Take a look at the examples below (remember: read from right to left, and look for the word that lo
media/image/table_217.jpg	1628	216	9780698155671_EPUB-10.xhtml	Source table image table_217.jpg; no alt text supplied in EPUB	That’s the equivalent of writing ktb in English. What does it mean? That all depends on the context. Take a look at the examples below (remember: read from right to left, and look for the word that lo	Notice that the word spelled is pronounced in the first sentence, but pronounced in the second sentence. That’s because the first instance of the word means “he wrote,” and the second means “books.” I
media/image/Image79051.jpg	97	70	9780698155671_EPUB-10.xhtml	Source figure image Image79051.jpg; no alt text supplied in EPUB	Notice that the word spelled is pronounced in the first sentence, but pronounced in the second sentence. That’s because the first instance of the word means “he wrote,” and the second means “books.” I	Most abjads have ways to indicate vowels if it’s absolutely necessary, but they usually appear as diacritics. For example, the two different ktb words can be written as follows in Arabic:
media/image/116202.jpg	158	37	9780698155671_EPUB-10.xhtml	Source figure image 116202.jpg; no alt text supplied in EPUB	Notice that the word spelled is pronounced in the first sentence, but pronounced in the second sentence. That’s because the first instance of the word means “he wrote,” and the second means “books.” I	Most abjads have ways to indicate vowels if it’s absolutely necessary, but they usually appear as diacritics. For example, the two different ktb words can be written as follows in Arabic:
media/image/116204.jpg	138	37	9780698155671_EPUB-10.xhtml	Source figure image 116204.jpg; no alt text supplied in EPUB	Notice that the word spelled is pronounced in the first sentence, but pronounced in the second sentence. That’s because the first instance of the word means “he wrote,” and the second means “books.” I	Most abjads have ways to indicate vowels if it’s absolutely necessary, but they usually appear as diacritics. For example, the two different ktb words can be written as follows in Arabic:
media/image/table_217_2.jpg	1628	227	9780698155671_EPUB-10.xhtml	Source table image table_217_2.jpg; no alt text supplied in EPUB	Most abjads have ways to indicate vowels if it’s absolutely necessary, but they usually appear as diacritics. For example, the two different ktb words can be written as follows in Arabic:	But in day-to-day life, this is never done. Really the only place you’d see it is in elementary textbooks, or in the spellings of foreign names or words that aren’t a part of common discourse.
media/image/116206.jpg	47	37	9780698155671_EPUB-10.xhtml	Source figure image 116206.jpg; no alt text supplied in EPUB	One interesting feature of many abjads is that they will occasionally have full-fledged letters for vowels. These vocalic letters will often have consonantal uses in addition to vocalic uses, and will	Because abjadic scripts tend to give short shrift to the vowels, the scripts can be more economical, albeit less precise. As with alphabets, they can be the end point of an evolutionary chain, but the
media/image/116208.jpg	35	37	9780698155671_EPUB-10.xhtml	Source figure image 116208.jpg; no alt text supplied in EPUB	One interesting feature of many abjads is that they will occasionally have full-fledged letters for vowels. These vocalic letters will often have consonantal uses in addition to vocalic uses, and will	Because abjadic scripts tend to give short shrift to the vowels, the scripts can be more economical, albeit less precise. As with alphabets, they can be the end point of an evolutionary chain, but the
media/image/table_218.jpg	1628	358	9780698155671_EPUB-10.xhtml	Source table image table_218.jpg; no alt text supplied in EPUB	One interesting feature of many abjads is that they will occasionally have full-fledged letters for vowels. These vocalic letters will often have consonantal uses in addition to vocalic uses, and will	Because abjadic scripts tend to give short shrift to the vowels, the scripts can be more economical, albeit less precise. As with alphabets, they can be the end point of an evolutionary chain, but the
media/image/table_219.jpg	1628	758	9780698155671_EPUB-10.xhtml	Source table image table_219.jpg; no alt text supplied in EPUB	The most common type of writing system found in India and many parts of Southeast Asia is the abugida . An abugida (also referred to as an alphasyllabary) is a script that, for the most part, adheres 	As you may have been able to guess, the first six of these scripts are related (the last, of course, is one of my scripts for Defiance ). All seven scripts, though, have two things in common. The firs
media/image/table_219_2.jpg	1628	285	9780698155671_EPUB-10.xhtml	Source table image table_219_2.jpg; no alt text supplied in EPUB	Abugidas may vary as to which vowel is taken as its inherent vowel for a base glyph. In all the languages above, a short [a] is taken as the inherent vowel. As shown above, a vowel diacritic may combi	Abugidas will differ in how they deal with single consonants. For example, neither of the Defiance scripts has any special marking for single consonants. The Irathient script allows a reader to pronou
media/image/116210.jpg	31	37	9780698155671_EPUB-10.xhtml	Source figure image 116210.jpg; no alt text supplied in EPUB	Abugidas will differ in how they deal with single consonants. For example, neither of the Defiance scripts has any special marking for single consonants. The Irathient script allows a reader to pronou	Overall, the key to remember with an abugida is that the base glyph is the major feature, but that the vowel diacritics are never optional. That plus the fact that a base glyph stands for a syllable, 
media/image/table_220.jpg	1628	150	9780698155671_EPUB-10.xhtml	Source table image table_220.jpg; no alt text supplied in EPUB	Abugidas will differ in how they deal with single consonants. For example, neither of the Defiance scripts has any special marking for single consonants. The Irathient script allows a reader to pronou	Overall, the key to remember with an abugida is that the base glyph is the major feature, but that the vowel diacritics are never optional. That plus the fact that a base glyph stands for a syllable, 
media/image/table_220_2.jpg	1628	545	9780698155671_EPUB-10.xhtml	Source table image table_220_2.jpg; no alt text supplied in EPUB	A full syllabary is like an abugida, except that there are no base glyphs. Instead, each symbol stands for a full syllable, and there may be little to no relationship between symbols that encode the s	As you can see, this system is kind of a mess. It looks like a little loop is the only thing that distinguishes [me] from [nu], and while [ne] and [re] look related, we don’t see the little vertical s
media/image/121886.jpg	29	33	9780698155671_EPUB-10.xhtml	Source figure image 121886.jpg; no alt text supplied in EPUB	As you can see, this system is kind of a mess. It looks like a little loop is the only thing that distinguishes [me] from [nu], and while [ne] and [re] look related, we don’t see the little vertical s	Outside of the two Japanese scripts, there are no pure syllabaries in use by any natural language today that wouldn’t have an asterisk next to them. For example, the Vai syllabary, used to write the W
media/image/121888.jpg	32	31	9780698155671_EPUB-10.xhtml	Source figure image 121888.jpg; no alt text supplied in EPUB	As you can see, this system is kind of a mess. It looks like a little loop is the only thing that distinguishes [me] from [nu], and while [ne] and [re] look related, we don’t see the little vertical s	Outside of the two Japanese scripts, there are no pure syllabaries in use by any natural language today that wouldn’t have an asterisk next to them. For example, the Vai syllabary, used to write the W
media/image/121896.jpg	32	31	9780698155671_EPUB-10.xhtml	Source figure image 121896.jpg; no alt text supplied in EPUB	As you can see, this system is kind of a mess. It looks like a little loop is the only thing that distinguishes [me] from [nu], and while [ne] and [re] look related, we don’t see the little vertical s	Outside of the two Japanese scripts, there are no pure syllabaries in use by any natural language today that wouldn’t have an asterisk next to them. For example, the Vai syllabary, used to write the W
media/image/121894.jpg	32	32	9780698155671_EPUB-10.xhtml	Source figure image 121894.jpg; no alt text supplied in EPUB	As you can see, this system is kind of a mess. It looks like a little loop is the only thing that distinguishes [me] from [nu], and while [ne] and [re] look related, we don’t see the little vertical s	Outside of the two Japanese scripts, there are no pure syllabaries in use by any natural language today that wouldn’t have an asterisk next to them. For example, the Vai syllabary, used to write the W
media/image/121892.jpg	30	31	9780698155671_EPUB-10.xhtml	Source figure image 121892.jpg; no alt text supplied in EPUB	As you can see, this system is kind of a mess. It looks like a little loop is the only thing that distinguishes [me] from [nu], and while [ne] and [re] look related, we don’t see the little vertical s	Outside of the two Japanese scripts, there are no pure syllabaries in use by any natural language today that wouldn’t have an asterisk next to them. For example, the Vai syllabary, used to write the W
media/image/121890.jpg	30	30	9780698155671_EPUB-10.xhtml	Source figure image 121890.jpg; no alt text supplied in EPUB	As you can see, this system is kind of a mess. It looks like a little loop is the only thing that distinguishes [me] from [nu], and while [ne] and [re] look related, we don’t see the little vertical s	Outside of the two Japanese scripts, there are no pure syllabaries in use by any natural language today that wouldn’t have an asterisk next to them. For example, the Vai syllabary, used to write the W
media/image/121898.jpg	31	33	9780698155671_EPUB-10.xhtml	Source figure image 121898.jpg; no alt text supplied in EPUB	As you can see, this system is kind of a mess. It looks like a little loop is the only thing that distinguishes [me] from [nu], and while [ne] and [re] look related, we don’t see the little vertical s	Outside of the two Japanese scripts, there are no pure syllabaries in use by any natural language today that wouldn’t have an asterisk next to them. For example, the Vai syllabary, used to write the W
media/image/121901.jpg	33	33	9780698155671_EPUB-10.xhtml	Source figure image 121901.jpg; no alt text supplied in EPUB	As you can see, this system is kind of a mess. It looks like a little loop is the only thing that distinguishes [me] from [nu], and while [ne] and [re] look related, we don’t see the little vertical s	Outside of the two Japanese scripts, there are no pure syllabaries in use by any natural language today that wouldn’t have an asterisk next to them. For example, the Vai syllabary, used to write the W
media/image/121903.jpg	27	32	9780698155671_EPUB-10.xhtml	Source figure image 121903.jpg; no alt text supplied in EPUB	As you can see, this system is kind of a mess. It looks like a little loop is the only thing that distinguishes [me] from [nu], and while [ne] and [re] look related, we don’t see the little vertical s	Outside of the two Japanese scripts, there are no pure syllabaries in use by any natural language today that wouldn’t have an asterisk next to them. For example, the Vai syllabary, used to write the W
media/image/121905.jpg	30	32	9780698155671_EPUB-10.xhtml	Source figure image 121905.jpg; no alt text supplied in EPUB	As you can see, this system is kind of a mess. It looks like a little loop is the only thing that distinguishes [me] from [nu], and while [ne] and [re] look related, we don’t see the little vertical s	Outside of the two Japanese scripts, there are no pure syllabaries in use by any natural language today that wouldn’t have an asterisk next to them. For example, the Vai syllabary, used to write the W
media/image/121911.jpg	35	32	9780698155671_EPUB-10.xhtml	Source image: COMPLEX SYSTEMS	If a syllabary is going to encode coda consonants, it has a few options. One option is to do what Japanese does. Japanese has, in effect, only one coda consonant—a nasal—so it has a letter to spell it	COMPLEX SYSTEMS
media/image/118970.jpg	47	45	9780698155671_EPUB-10.xhtml	Source image: Notice both of these words are pronounced the same; they’re just “spelled” differently.	But beyond innovative uses of the systems already discussed, there are systems that exist that are already fairly radical. One obvious one is the system of Chinese characters employed by the various S	Notice both of these words are pronounced the same; they’re just “spelled” differently.
media/image/116214.jpg	81	40	9780698155671_EPUB-10.xhtml	Source image: Notice both of these words are pronounced the same; they’re just “spelled” differently.	But beyond innovative uses of the systems already discussed, there are systems that exist that are already fairly radical. One obvious one is the system of Chinese characters employed by the various S	Notice both of these words are pronounced the same; they’re just “spelled” differently.
media/image/118972.jpg	46	45	9780698155671_EPUB-10.xhtml	Source image: Notice both of these words are pronounced the same; they’re just “spelled” differently.	But beyond innovative uses of the systems already discussed, there are systems that exist that are already fairly radical. One obvious one is the system of Chinese characters employed by the various S	Notice both of these words are pronounced the same; they’re just “spelled” differently.
media/image/116217.jpg	81	40	9780698155671_EPUB-10.xhtml	Source image: Notice both of these words are pronounced the same; they’re just “spelled” differently.	But beyond innovative uses of the systems already discussed, there are systems that exist that are already fairly radical. One obvious one is the system of Chinese characters employed by the various S	Notice both of these words are pronounced the same; they’re just “spelled” differently.
media/image/table_223.jpg	1628	658	9780698155671_EPUB-10.xhtml	Source table image table_223.jpg; no alt text supplied in EPUB	Some systems, like Egyptian hieroglyphs, have different systems layered one on top of the other. Hieroglyphic features an abjad (a consonantal alphabet), along with a series of glyphs that stand for t	For the sake of accuracy, a usual Egyptian pictograph would have some sort of a phonetic clue as to how it was pronounced in the spelling of the word. The word for “cat,” for example, was spelled like
media/image/Image79625.jpg	60	136	9780698155671_EPUB-10.xhtml	Source figure image Image79625.jpg; no alt text supplied in EPUB	/ mjw/ “cat”	In order from left to right, the four glyphs that make up the word for “cat” serve the following functions:
media/image/Image79639.jpg	46	140	9780698155671_EPUB-10.xhtml	Source figure image Image79639.jpg; no alt text supplied in EPUB	/ mjw/ “cat”	In order from left to right, the four glyphs that make up the word for “cat” serve the following functions:
media/image/Image79648.jpg	113	147	9780698155671_EPUB-10.xhtml	Source figure image Image79648.jpg; no alt text supplied in EPUB	/ mjw/ “cat”	In order from left to right, the four glyphs that make up the word for “cat” serve the following functions:
media/image/Image79656.jpg	124	146	9780698155671_EPUB-10.xhtml	Source figure image Image79656.jpg; no alt text supplied in EPUB	/ mjw/ “cat”	In order from left to right, the four glyphs that make up the word for “cat” serve the following functions:
media/image/Image79665.jpg	48	109	9780698155671_EPUB-10.xhtml	Source figure image Image79665.jpg; no alt text supplied in EPUB	1. is a biliteral sign that stands for /mj/ .	2. is a sign for the sound /j/ , and is there to remind you how the sound for is pronounced.
media/image/Image79673.jpg	46	140	9780698155671_EPUB-10.xhtml	Source image: 3. is a sign for the sound /w/ and is serving a purely phonetic function.	2. is a sign for the sound /j/ , and is there to remind you how the sound for is pronounced.	3. is a sign for the sound /w/ and is serving a purely phonetic function.
media/image/Image79665.jpg	48	109	9780698155671_EPUB-10.xhtml	Source image: 3. is a sign for the sound /w/ and is serving a purely phonetic function.	2. is a sign for the sound /j/ , and is there to remind you how the sound for is pronounced.	3. is a sign for the sound /w/ and is serving a purely phonetic function.
media/image/Image79693.jpg	90	118	9780698155671_EPUB-10.xhtml	Source image: 4. is a cat, to remind you that this is the word for “cat.”	3. is a sign for the sound /w/ and is serving a purely phonetic function.	4. is a cat, to remind you that this is the word for “cat.”
media/image/Image79701.jpg	100	117	9780698155671_EPUB-10.xhtml	Source figure image Image79701.jpg; no alt text supplied in EPUB	4. is a cat, to remind you that this is the word for “cat.”	Most full words written in hieroglyphs are written in this way. A lot of redundant information is built in to help writers and readers keep track of the comparatively large list of glyphs that constit
media/image/table_224.jpg	1628	297	9780698155671_EPUB-10.xhtml	Source table image table_224.jpg; no alt text supplied in EPUB	In Kamakawi, some of the glyphs are pictographs, and their designations are fairly obvious:	Others are formed in a variety of ways. For example, Kamakawi has a supplementary syllabary used for certain words and in conjunction with other types of glyphs. These syllabic glyphs have been used t
media/image/table_224_2.jpg	1628	304	9780698155671_EPUB-10.xhtml	Source table image table_224_2.jpg; no alt text supplied in EPUB	Others are formed in a variety of ways. For example, Kamakawi has a supplementary syllabary used for certain words and in conjunction with other types of glyphs. These syllabic glyphs have been used t	Other glyphs are formed by combinations of meanings, even if the words whose glyphs are used to create the new glyph have nothing in common with the new glyph’s pronunciation:
media/image/table_224_3.jpg	1628	279	9780698155671_EPUB-10.xhtml	Source table image table_224_3.jpg; no alt text supplied in EPUB	Above, even though neither the words ta nor maka appear in the word alama , the meanings associated with their glyphs are combined to form the new glyph for a sand crab. This association exists only i	Still other glyphs are formed by changing the orientation of fully formed glyphs. Here, for example, is a complex syllabic glyph, like pote above:
media/image/table_225.jpg	1628	300	9780698155671_EPUB-10.xhtml	Source table image table_225.jpg; no alt text supplied in EPUB	Still other glyphs are formed by changing the orientation of fully formed glyphs. Here, for example, is a complex syllabic glyph, like pote above:	And here’s a word that’s formed by flipping the glyph for moka horizontally and vertically:
media/image/table_225_2.jpg	1628	269	9780698155671_EPUB-10.xhtml	Source table image table_225_2.jpg; no alt text supplied in EPUB	And here’s a word that’s formed by flipping the glyph for moka horizontally and vertically:	When a glyph is turned thus, the idea is that the opposite or a negative version of the word is meant. Thus, if you know moka is “metal,” you can look at this glyph and know it has something to do wit
media/image/table_226.jpg	1628	248	9780698155671_EPUB-10.xhtml	Source table image table_226.jpg; no alt text supplied in EPUB	The direction that one writes also is not fixed. In English and most Western languages, we write from left to right. Arabic and Hebrew are written from right to left. A nice illustration of the differ	Both the top and bottom line say , which means “I’m eating.” The difference is that Urdu, on the bottom, is written with a variant of the Arabic script that is written from right to left, and Hindi is
media/image/116219.jpg	333	37	9780698155671_EPUB-10.xhtml	Source figure image 116219.jpg; no alt text supplied in EPUB	Both the top and bottom line say , which means “I’m eating.” The difference is that Urdu, on the bottom, is written with a variant of the Arabic script that is written from right to left, and Hindi is	Languages can also be written from top to bottom. Both Chinese and Japanese use this as a stylistic variant. Mongolian traditionally is written from top to bottom. Egyptian hieroglyphs were frequently
media/image/Image80098.jpg	1628	166	9780698155671_EPUB-10.xhtml	Source image: All of this is in play—plus whatever else you can imagine.	Something else to consider is what happens to the letters at the end of a line. What if, for example, when one got to the end of the line writing from left to right, one started over and wrote from ri	All of this is in play—plus whatever else you can imagine.
media/image/table_229.jpg	1628	876	9780698155671_EPUB-10.xhtml	Source table image table_229.jpg; no alt text supplied in EPUB	If you look at the history of our writing system—the Roman alphabet—you’ll discover that it came from an old pictographic system. Check this out:	The Proto-Sinaitic system utilized pictographs, and Canaanite speakers were happy with that system. When the Phoenicians got hold of it, they took some of those pictographs and formed an abjadic writi
media/image/116221.jpg	41	33	9780698155671_EPUB-10.xhtml	Source figure image 116221.jpg; no alt text supplied in EPUB	The Proto-Sinaitic system utilized pictographs, and Canaanite speakers were happy with that system. When the Phoenicians got hold of it, they took some of those pictographs and formed an abjadic writi	Making reference to Proto-Sinaitic as stage 1 and Phoenician as stage 2, we can now discuss where a language creator begins. Obviously, for any type of system, one can always start at stage 1. The sys
media/image/116223.jpg	46	33	9780698155671_EPUB-10.xhtml	Source figure image 116223.jpg; no alt text supplied in EPUB	If you look at the history of our writing system—the Roman alphabet—you’ll discover that it came from an old pictographic system. Check this out:	Making reference to Proto-Sinaitic as stage 1 and Phoenician as stage 2, we can now discuss where a language creator begins. Obviously, for any type of system, one can always start at stage 1. The sys
media/image/Image80297.jpg	1260	98	9780698155671_EPUB-10.xhtml	Source figure image Image80297.jpg; no alt text supplied in EPUB	In order to start drafting glyphs (after one has settled on stage 1 or stage 2), the next subject one has to tackle is resources—specifically, what did the people who speak this language have to write	I don’t know what any of that means or how it’s pronounced, but just look at it. Who could possibly tolerate a system like that?! It looks so impractical! And it is, if you’re trying to draw these thi
media/image/Image80305.jpg	81	224	9780698155671_EPUB-10.xhtml	Source figure image Image80305.jpg; no alt text supplied in EPUB	I don’t know what any of that means or how it’s pronounced, but just look at it. Who could possibly tolerate a system like that?! It looks so impractical! And it is, if you’re trying to draw these thi	It was a long, blunted reed called a stylus that had a triangular end. If that was your implement and you were making impressions into wet clay, you should be able to see why it’d be easier to write t
media/image/Image80314.jpg	56	45	9780698155671_EPUB-10.xhtml	Source figure image Image80314.jpg; no alt text supplied in EPUB	I don’t know what any of that means or how it’s pronounced, but just look at it. Who could possibly tolerate a system like that?! It looks so impractical! And it is, if you’re trying to draw these thi	Old forms of writing often included making impressions into wet clay tablets; carving onto solid materials like rocks, bones, shells, or wood; or painting on uneven surfaces like rock faces. Whether y
media/image/table_231.jpg	1628	309	9780698155671_EPUB-10.xhtml	Source table image table_231.jpg; no alt text supplied in EPUB	Old forms of writing often included making impressions into wet clay tablets; carving onto solid materials like rocks, bones, shells, or wood; or painting on uneven surfaces like rock faces. Whether y	Someone painting on a cave wall, though, would have no problem with curvilinear shapes. The original medium strongly delimits what’s possible in a proto-system, whether it’s stage 1 or stage 2.
media/image/Image80457.jpg	1628	243	9780698155671_EPUB-10.xhtml	Source figure image Image80457.jpg; no alt text supplied in EPUB	Looking back at cuneiform, that system started out as a pictographic system. Here are three key stages of its development:	The first stage on the left there was written on clay tablets with something sharp, but they were drawn, not stamped. The second stage is when the glyphs were put onto walls. The curves and details ar
media/image/Art_201_AOLI_bw.jpg	932	621	9780698155671_EPUB-10.xhtml	Source figure image Art_201_AOLI_bw.jpg; no alt text supplied in EPUB	For an example of how to evolve a script over the centuries, I implore you to take a look at this absolutely outstanding chart of the evolution of the Tamil script (and thank you to Wikipedia user Rrj	Enjoy the whole thing, but just look at some of the incredible changes! Look at the column headed by . In the third century BCE, the thing was basically a capital I, and now it looks like this: ! In t
media/image/n.jpg	30	39	9780698155671_EPUB-10.xhtml	Source figure image n.jpg; no alt text supplied in EPUB	For an example of how to evolve a script over the centuries, I implore you to take a look at this absolutely outstanding chart of the evolution of the Tamil script (and thank you to Wikipedia user Rrj	You can see that there are certain points in time where a greater variety of changes occurred. For example, around the ninth and tenth centuries CE, lots of characters get noticeably funkier. One impo
media/image/squiggle.jpg	69	41	9780698155671_EPUB-10.xhtml	Source figure image squiggle.jpg; no alt text supplied in EPUB	For an example of how to evolve a script over the centuries, I implore you to take a look at this absolutely outstanding chart of the evolution of the Tamil script (and thank you to Wikipedia user Rrj	You can see that there are certain points in time where a greater variety of changes occurred. For example, around the ninth and tenth centuries CE, lots of characters get noticeably funkier. One impo
media/image/t.jpg	19	45	9780698155671_EPUB-10.xhtml	Source figure image t.jpg; no alt text supplied in EPUB	For an example of how to evolve a script over the centuries, I implore you to take a look at this absolutely outstanding chart of the evolution of the Tamil script (and thank you to Wikipedia user Rrj	You can see that there are certain points in time where a greater variety of changes occurred. For example, around the ninth and tenth centuries CE, lots of characters get noticeably funkier. One impo
media/image/stop.jpg	49	31	9780698155671_EPUB-10.xhtml	Source figure image stop.jpg; no alt text supplied in EPUB	For an example of how to evolve a script over the centuries, I implore you to take a look at this absolutely outstanding chart of the evolution of the Tamil script (and thank you to Wikipedia user Rrj	You can see that there are certain points in time where a greater variety of changes occurred. For example, around the ninth and tenth centuries CE, lots of characters get noticeably funkier. One impo
media/image/hoove.jpg	34	39	9780698155671_EPUB-10.xhtml	Source figure image hoove.jpg; no alt text supplied in EPUB	For an example of how to evolve a script over the centuries, I implore you to take a look at this absolutely outstanding chart of the evolution of the Tamil script (and thank you to Wikipedia user Rrj	You can see that there are certain points in time where a greater variety of changes occurred. For example, around the ninth and tenth centuries CE, lots of characters get noticeably funkier. One impo
media/image/116239.jpg	473	37	9780698155671_EPUB-10.xhtml	Source figure image 116239.jpg; no alt text supplied in EPUB	Moving a script from one language to another is a great way to stretch a script to its limits. The Roman alphabet itself is just a modification of the Greek alphabet—as is the Cyrillic alphabet. The R	The same principle can work for a created script. One fun trick to do is to create a sound system and writing system for a different proto-language and then use that writing system with the language o
