source_pdf_page	markdown_line	issue	text
161	5614	explicit_greek_pseudo_ocr_risk	Präsens   *dʰrubʰ-je-         gr. (}pvnrm 'zerbreche, zerbröckle (tr.)'
161	5615	explicit_greek_pseudo_ocr_risk	Fientiv   *dʰrubʰ-eh/hr     gr. Ptz. Aor. öza-rpvqJtvII. 3,363 'zerbrochen'
177	6205	explicit_greek_pseudo_ocr_risk	Präsens                            gr. att. xt(w 'scheiße'
177	6207	explicit_greek_pseudo_ocr_risk	Aorist    ?* gh/d/ ghed-s     gr. att. xtaai 'scheißen'
181	6379	explicit_greek_pseudo_ocr_risk	Fientiv                            gr. txr!tprw 'freute mich'
184	6482	explicit_greek_pseudo_ocr_risk	                 * ghelj-e            gr. xtw 'gieße'1
184	6484	explicit_greek_pseudo_ocr_risk	                                             gr. xtw, ep. XcVw 'werde gießen'
198	7032	explicit_greek_pseudo_ocr_risk	Präsens    *gʰ11r;-ske-            gr. ion. att. χάσκω 'gähne, öffne den Mund'
212	7603	explicit_greek_pseudo_ocr_risk	   Vgl. LÜHR, MSS 35  ( 1 976) 9251; PUHYEL IV 304-5 (gr. ß<XA.A.w ist jedoch zu trennen,  s.
213	7613	explicit_greek_pseudo_ocr_risk	                                        dAorist    * gllelhrl gYJhr      gr. hom. -ß4Jjn7v 'trafen
213	7622	explicit_greek_pseudo_ocr_risk	   Vgl. gr. ßfA.t:μva 'Geschosse' < *g1'elhrm/Jh₂, s. RIX §84-5. Die angeblichen Fortsetzer der
218	7830	explicit_greek_pseudo_ocr_risk	                                             [gr. Med. rp(}efpoμai 'gehe zugrunde; erleide
218	7834	explicit_greek_pseudo_ocr_risk	                                             rpBefpt:t Hsch., [dor. rp0afpm6
226	8130	explicit_greek_pseudo_ocr_risk	"Präsens   * gϚ11i-gϚ11reh₁!gt'""rhr    [ ved. 3s jfghrati '(be )riecht'23"
226	8136	explicit_greek_pseudo_ocr_risk	"   Vgl. ved. ghr61Ja- 'Geruchssinn'; hierher gr. 6a- rpprr 'riechen' aus *h₃eds-g('""rehr, Verbal   kompositum mit altem s-Stamm im Vorderglied (wie *mens-dʰehr in  iir. *mam-dʰä-, vgl."
232	8388	explicit_greek_pseudo_ocr_risk	   HOFFMANN, Inj.  1 74); vgl. LUBOTSKY, Koll. Erlangen 3 1 6-7; nn Bsl. teilweise mit sekundä   rem Akut, vgl. LUBOTSKY, l.c. 3 1 7-8; falls gr. kypr. aopov· μoz.1.6v,  JrV-1.cliva, 8vpwp6v Hsch.
240	8681	explicit_greek_pseudo_ocr_risk	                                       [gr. ff}.aoa 'trieb'3
240	8682	explicit_greek_pseudo_ocr_risk	                                     gr. Fut. EAW 'werde treiben'
240	8684	explicit_greek_pseudo_ocr_risk	Neubildungen:   je-Präs.            gr. t'.1aw 'treibe'4
240	8688	explicit_greek_pseudo_ocr_risk	   Nur arm. (?) und gr.; kelt. *el- 'treiben; gehen' gehört wohl zu *pelhr 'sich nähern', s.d.
240	8689	explicit_greek_pseudo_ocr_risk	   'Gehen' müßte aus 'treiben' durch Objektellipse entstanden sein, vgl. gr. t'.1avvw 'treibe' -t
245	8876	explicit_greek_pseudo_ocr_risk	Neubildungen:   R(z)-je-Präs.      gr. (Hdt.+) tp<iw 'liebe'2
252	9176	explicit_greek_pseudo_ocr_risk	                                    [gr. eA.trxm 'beschuldige, beschimpfe,)
253	9203	explicit_greek_pseudo_ocr_risk	"    Vgl. gr. t'A.aqip6\;""'leicht, schnell' usw."
253	9233	explicit_greek_pseudo_ocr_risk	                                                                                                                s. EWAia II 467-8.  Zum anlautenden Laryngal vgl. ved. vi-rudh- 'Pflanze' usw„ gr. t'A.cve- ,   Nach SCHINDLER bei KRISCH 24-5 ist *h₁/ey.dʰ- neue Hochstufe zur R(z) *h₁ludʰ- < *h₁y.jdʰ-,
260	9524	explicit_greek_pseudo_ocr_risk	                                  gr. ayw 'treibe, führe'
261	9534	explicit_greek_pseudo_ocr_risk	Neubildungen:   s-Aorist           gr. (spät) ijƪa 'trieb'
261	9536	explicit_greek_pseudo_ocr_risk	                  redupl. Aor.       gr. r?rarov 'trieb, führte'6
269	9855	explicit_greek_pseudo_ocr_risk	                                                                                                                                               '                                  [gr. aA.aoμaz 'irre umher'
277	10202	explicit_greek_pseudo_ocr_risk	   Vgl. *h₂erh;-tro- 'Pflug' in arm. arawr, gr. apor:pov, lat. ariltrum, kymr. aradr, an. aror; mit
281	10377	explicit_greek_pseudo_ocr_risk	                                   gr. aA.tyw 'kümmere mich um etw.'
283	10431	explicit_greek_pseudo_ocr_risk	                                   gr. aA.iw 'wehre ab'
283	10444	explicit_greek_pseudo_ocr_risk	           *h₂lu-ske           gr. aA.Vm<w 'entrinne, entkomme'
283	10446	explicit_greek_pseudo_ocr_risk	Aorist    ?* h₂liy,I h₂ley,-s-    gr. aA.evaw 'entkam, entging'4
283	10449	explicit_greek_pseudo_ocr_risk	   Der Bedeutungsansatz aufgrund des Toch. (tr. Med.), das gr. Akt. aA.Vöxm weist dagegen auf
283	10454	explicit_greek_pseudo_ocr_risk	   ererbt und also nicht mit gr. aA.VöxE- gleichzusetzen, s. HACKSTEIN 2 1 4-6, und s-Prät. A äl    sät; im Osttoch. unklarer Konj. Vll äliiä-.
286	10550	explicit_greek_pseudo_ocr_risk	    gr. aμtpyw trennt, was wohl unnötig ist.
290	10703	explicit_greek_pseudo_ocr_risk	                                     gr. avw· 77pafvw Hdn. Gr. 2, 132 'trockne (tr.)'3
295	10901	explicit_greek_pseudo_ocr_risk	Aorist    * h₂yirl h₂yer-s-     [gr. -rttp{Jr/ 'hing; kam ins Schwebend
302	11149	explicit_greek_pseudo_ocr_risk	                                      [gr. ol:CYoμaz 'werde tragen, bringen'4
305	11251	explicit_greek_pseudo_ocr_risk	                                 gr. opvvμi 'treibe an, lasse losstürzen'
312	11553	explicit_greek_pseudo_ocr_risk	                            hom.              aus,                                    [gr.       oA.ur8c 'glitt
323	11970	explicit_greek_pseudo_ocr_risk	   Teilweise wird auch unerweitertes *keH angesetzt, das im Alb. (kaum in gr. 1iK'1fv 'still') vor    liegen könnte, nach einigen auch in ap. <8a-a-> neben <8a-ha->,  s. aber *keNs- mit Anm. 5.
353	13119	explicit_greek_pseudo_ocr_risk	Präsens   *ket-/kl-             [gr. KEAOμaz 'treibe an, fordere auf2,
353	13135	explicit_greek_pseudo_ocr_risk	   Ani\-Wurzel, s. gr. KA.6v[ 'Getriebe, (Kampf-)Getümmel' < *kl-ono-.   Etymolog. Einordnung gern. FRISK  1 8 1 7, CHANTRAINE, DELG 5 13; wohl urspr. Konj. 'will
354	13177	explicit_greek_pseudo_ocr_risk	               seine genauere Bestimmung als *h₃ (so Rlx, GS KURYLOWICZ 403 wegen gr. Ko?-wv6q 'Hü                gel') ist nicht sicher. Hierher möglicherweise auch toch.B /kiJ/a-/, A kä/a- 'treiben', s. *kʷefhr.
359	13371	explicit_greek_pseudo_ocr_risk	    O'KaA.A.w 'hacke, scharre' sowie gr. O'KVA.A.w 'zerfleische, zerreiße' ( s.  1  . *skelhr ).
372	13872	explicit_greek_pseudo_ocr_risk	Präsens   *kri-ne/n-h/       [gr. κρίνω 'scheide, trenne; entscheide'4
377	14075	explicit_greek_pseudo_ocr_risk	Neubildungen:   s-Aorist           gr. tr;V<Ta 'schabte'
384	14340	explicit_greek_pseudo_ocr_risk	                                                   Nach traditioneller Auffassung   < *Fofuefe- 'schichtend herstellen', Ersatzbildung für t nmfo.1.   (SCHWYZER 4504, 726 mit Anm.  7)  gilt  gr.  nor.tw <  * !!OlFÜJ)  als Denominativpräsens
385	14359	explicit_greek_pseudo_ocr_risk	                                     gr. {TE:iaa, - aμryv, äol. trt:faai8
391	14612	explicit_greek_pseudo_ocr_risk	Präsens   *klJj-ne/n-hr         [gr. trEpl- ri}.,}.,oμaz 'bewege mich im Kreise',
391	14631	explicit_greek_pseudo_ocr_risk	           *klJelhrdʰe-        gr. rc}.,ifJm 'bin da, trete in Erscheinung' 18
392	14657	explicit_greek_pseudo_ocr_risk	   < Lok. *k/'elh₁ 'am Wendepunkt' (endungslos-dehnstufige Bildung vom Typ av. dgm), HAR   DARSON, HS 108 (1995) 205-6; daher lautlich regulär *kl'olhrefe- > gr. JrOACW, *k/'Ölhrfe- >
392	14658	explicit_greek_pseudo_ocr_risk	    gr. JrWUoμm (gegenüber *pothrefe- > gr. Jroraoμm, *póthrfe- > gr. Jrwraoμm  'fliege,
392	14659	explicit_greek_pseudo_ocr_risk	    flattere') und *kl'e/hrdʰe- > gr. reUBw (gegenüber *pelhrdʰe- > gr. JreJcaBw); *kl'f/-kl'fhro- >
392	14664	explicit_greek_pseudo_ocr_risk	   Thematisiert; gr. tJrJct:w < *e-kl'/-e-to (statt *iJr<iAt:w < *e-k/'Jhre- oder *tJrtAt:w < *e-k/'el-e    to f- *k/'ele-to < *k/'fhrto) zu Präs. JriJcoμm nach i:Jroμm  : ÜJr6μ17v, RIX, Unfreiheit 24.
392	14677	explicit_greek_pseudo_ocr_risk	  < *h₂erhrfe- und sekundäres tμtw < *IJemhrfe-). Nicht hierher gr. ava- rt,Uw 'lasse (Gestir   ne) aufgehen, lasse (Pflanzen) aufsprießen, bringe hervor', tm-rtA.Jcw 'trage auf, befehle'
394	14747	explicit_greek_pseudo_ocr_risk	                                            ?[gr. lrt:μt:v- T]μt:A. yt:v Hsch. 'saugte aus, preßte
395	14787	explicit_greek_pseudo_ocr_risk	Desider.   *kʷ'endʰ/k/Jr:zdh-s-   gr. πείσομαι 'werde erleben, werde erleiden'6
395	14797	explicit_greek_pseudo_ocr_risk	   mit gr. traazw, trefaoμaz (zu diesem s. jedoch auch *bʰendʰ-).
399	14969	explicit_greek_pseudo_ocr_risk	                                     gr. aoiw 'treibe', Med. 'bewege mich'
399	14972	explicit_greek_pseudo_ocr_risk	                                         gr. E<J<JEva 'trieb an'                                                                                                                                            1 1
405	15188	explicit_greek_pseudo_ocr_risk	   Vgl.  lat. lassus 'müde' < *l,d-to-  statt *jh₁d-tó-, Erweiterung von *lehr,  s.d.; gr. J,77&fv
405	15209	explicit_greek_pseudo_ocr_risk	                                  ?[gr.                  Hsch. 'tönen'4                                              ,1,afez v· rpBtyyaBaz
406	15255	explicit_greek_pseudo_ocr_risk	      Präsens   *leh₂dʰ-e           gr. A.f/Bct 'bleibt verborgen'
406	15256	explicit_greek_pseudo_ocr_risk	      Perfekt   *le-lóh₂dʰ/ lh₂dh   [gr. AtA.17Bc 'ist verborgen'2
406	15257	explicit_greek_pseudo_ocr_risk	       Desider.  ?*leh₂dʰ/jh₂dʰ-s-   gr. A.f/act 'wird verborgen bleiben'
406	15259	explicit_greek_pseudo_ocr_risk	       Neubildungen:   Nasalpräs.        gr. A.av&avn 'bleibt verborgend
407	15274	explicit_greek_pseudo_ocr_risk	Neubildungen:   ske-Präs.           gr. ;A.,aaKEL 'kracht'
408	15300	explicit_greek_pseudo_ocr_risk	           ?*li-neln-d-        ?[gr. A.iv&<J()az · aμzA.A.aalJat Hsch. 'wetteifern',
412	15485	explicit_greek_pseudo_ocr_risk	                  Fientiv            gr. hom. lcim:v II. 16,507 'wurden verlassen'
414	15564	explicit_greek_pseudo_ocr_risk	Präsens   *lip-je-               gr. }.{Jrrw 'begehre'
416	15642	explicit_greek_pseudo_ocr_risk	   Unsicher; dazu wird noch gestellt gr. A.17Kav· ro np<'x; qx5Jjv opxt:fa()az Hsch., das mit dem lett.
418	15735	explicit_greek_pseudo_ocr_risk	Neubildungen:   Perfekt            gr. -A,t:A.eμμtv\ 'geschält'
419	15762	explicit_greek_pseudo_ocr_risk	    Vgl. gr. A.68povn. 'geronnenes Blut', lat. lutum n. 'Dreck', air. loth f. 'Schmutz'; gr. A.vμan.
422	15877	explicit_greek_pseudo_ocr_risk	Aorist    *leyH-lluH-        gr. A. vw 'löste, befreite'2
422	15883	explicit_greek_pseudo_ocr_risk	          *luH-e-              gr. A.vw 'löse, befreie'6
422	15885	explicit_greek_pseudo_ocr_risk	Perfekt   ?*le-lóyH/luH-     [gr. MA.vμm 'bin befreit'
426	16029	explicit_greek_pseudo_ocr_risk	   Zur Wurzelbedeutung vgl. nominal gr. μaöap{x; 'feucht, triefend', denom. gr. att. μaoaw 'trie    fe, zerfließe, löse mich auf.
436	16437	explicit_greek_pseudo_ocr_risk	                        aμf4&i v· nj1<ei v Hsch.
438	16543	explicit_greek_pseudo_ocr_risk	Aorist                           gr. lß}.w· EqxXVT/, r/Jxcro, EaTT/ Hsch. 'kam hervor',
439	16553	explicit_greek_pseudo_ocr_risk	Neubildungen:   Perfekt            gr. hom. Jrap-μtμßA.wx-s 'steht bei';
439	16581	explicit_greek_pseudo_ocr_risk	Neubildungen:   R(z)-e-Präs.       gr. hom. ßA.afJoμai 'komme aus dem Tritt, stocke'
439	16586	explicit_greek_pseudo_ocr_risk	                                         gr. tßA.ai/1-a 'brachte aus dem Tritt, schädigte'
439	16587	explicit_greek_pseudo_ocr_risk	                  Fientiv            gr. hom. 3p {ßA.aßev 'kamen zu Fall'
443	16747	explicit_greek_pseudo_ocr_risk	   Hierher auch lit. minkau, minkyti 'kneten'; Jett. mfcu, mieft 'kneten, treten'; die akutierte Into   nation im Bsl. spricht für *menHk-, was aber mit gr. μaaaw unvereinbar ist.
447	16902	explicit_greek_pseudo_ocr_risk	   Verba! nur bsl., dazu wohl gr. μhpovn. 'Maß' (falls nicht eher < *med-tro- zu  1 .*med-),
467	17698	explicit_greek_pseudo_ocr_risk	 1                                                    'schlage' (s. *pjehr ), eher zu aksl. pustb 'öde,   Nur gr.; wohl kaum urspr. identisch mit 1raf(J)
467	17705	explicit_greek_pseudo_ocr_risk	                                  gr. Ipv. äol. (EM) πῶθι, att. πῖθι 'trinke! ',
468	17727	explicit_greek_pseudo_ocr_risk	                                                                                                                                                                      1 2                         Nasalpräs.        gr. ml!(J), [äol. JraJV(J) 'trinke'
474	17999	explicit_greek_pseudo_ocr_risk	"Aorist    ?*pe-pJhre-        gr. aμ- ll""EJraA-mv '(die Lanze) oben (über dem"
474	18007	explicit_greek_pseudo_ocr_risk	"   Verba\ nur gr. und slav.; Nomina außer im Gr. (*Jrcieμo- < *pelhrmo- 'Schwung' in Jrcieμi   (w 'schwinge, erschüttere',  JZ""6:ieμoq für *JióA.μo- < *pól(h₁)-mo- *'Lanzenschwingen' š   'Kampf š 'Krieg') auch im  Ital. (umbr. poplo 'Heer',  lat. populus 'Heer' š 'Volk' <"
474	18009	explicit_greek_pseudo_ocr_risk	   'Schwingen' = 'Klopfen' des Herzens bei Erregung (vgl. gr. JiaA.A.oμtVTJ 1Cpai5i17v 'mit klop-
475	18023	explicit_greek_pseudo_ocr_risk	                                    gr. tr}Jjro 'näherte sich';                 .
475	18029	explicit_greek_pseudo_ocr_risk	                                      [gr. ep. triAvaμai 'nähere mich';
477	18094	explicit_greek_pseudo_ocr_risk	Neubildungen:   Iterativ           ?gr. nmtw 'treten, betreten, häufig besuchen '3
477	18097	explicit_greek_pseudo_ocr_risk	    Verbal wohl nur genn. (s.u. zu gr. trarfw), dazu Wörter für 'Weg': *pónt-lpl}t- in ann. hown
477	18117	explicit_greek_pseudo_ocr_risk	                 Perfekt             gr. tremxpμfva; 'durchbohrt'
477	18119	explicit_greek_pseudo_ocr_risk	                 Fientiv            gr. (Hdt.+) t'tr6p17v 'wurde durchbohrt'
480	18232	explicit_greek_pseudo_ocr_risk	           4        Homonym mit PrΒiiti 'füllt' (s. *plehr). nur semantisch-syntaktisch noch trennbar; vgl. KUI            PER, l.c. 3 14-5.
480	18239	explicit_greek_pseudo_ocr_risk	            alten Zustandsperfekts 'besitze') als Entsprechung von gr. Aor. Jre!!apEfv.
480	18243	explicit_greek_pseudo_ocr_risk	            10              V.l. Jre!!op0, auch von Hsch. glossiert als tv&fqai, <T17μijvai; vgl. HARDARSON 2 1 9.
483	18355	explicit_greek_pseudo_ocr_risk	                                    gr. hom. tren-rer/Jq 'geduckt'6,
483	18358	explicit_greek_pseudo_ocr_risk	Desider.   *peth₁1pethrs-      [gr. hom. ion. att. treaioμaz 'werde fallen'8
485	18443	explicit_greek_pseudo_ocr_risk	    'Faust', vgl. WALDE-HOFMANN II 383. Daneben Variante *peyk- in gr. izt:- trt:vJak 'mit einer
487	18555	explicit_greek_pseudo_ocr_risk	                                                                                                                                                                                                                                                                                                                                    1   Adj. *pólh₁u-lpelh₁u-lpjh₁ey- 'viel' (in ved. puru-, gr. JroAVq, air. i/, got.filu).                                                                             J
489	18610	explicit_greek_pseudo_ocr_risk	Präsens   *pJhrnelt;1-g-          (gr. trA.arzfhl 'prallte ab, ging in die Fremde,
489	18616	explicit_greek_pseudo_ocr_risk	Neubildungen:   s-Aorist              gr. ltr).17qa 'schlug, traf6
490	18660	explicit_greek_pseudo_ocr_risk	Präsens   ?*plehrie-3         gr. trA.cO<o 'schwimme'                                                         4                                  ae. f/.öwan 'fließen '
490	18678	explicit_greek_pseudo_ocr_risk	   Nur lat. und toch., zum Ansatz vgl. HACKSTEIN  1 16-7; von *plek- in gr. JrÄ.[unclear],  - K[unclear] 'Fläche'
492	18733	explicit_greek_pseudo_ocr_risk	                                    gr. trliw 'segle, schwimme'
492	18738	explicit_greek_pseudo_ocr_risk	                                    gr. att. {trA.eooa 'segelte, schwamm'
492	18745	explicit_greek_pseudo_ocr_risk	Desider.   ?*pleylplu-s-       gr. trA.ewoμat 'werde segeln'
494	18810	explicit_greek_pseudo_ocr_risk	   Besser von *pneyH- (s.d.) zu trennen; nur gr. und in gerrn. Erweiterungen wie an. fnysa
494	18816	explicit_greek_pseudo_ocr_risk	Perfekt   *pe-pnóy,HlpnuH- gr. trf1fVOam 'bist verständig, bist klug'3
500	19055	explicit_greek_pseudo_ocr_risk	Iterativ   ?*ptóh₂k-je-        gr. trrdJaaw 'ducke mich'3
501	19103	explicit_greek_pseudo_ocr_risk	Präsens   *rebʰ-e             gr. tptqm 'überdache'
505	19247	explicit_greek_pseudo_ocr_risk	    'überlegen' ό 'Vorsorge treffen', daraus 'beraten' Ƣ 'reden'.
507	19313	explicit_greek_pseudo_ocr_risk	Perfekt   ?*re-rójdlrid-      gr. tprpt&x-.ai 'sind angelehnt'2
509	19383	explicit_greek_pseudo_ocr_risk	                                   gr. tpcfKm 'zerbreche, -reiße (tr.)'3
509	19385	explicit_greek_pseudo_ocr_risk	Perfekt    ?*re-rójklrik-      gr. tp17piyμtvç Hp„ Arist. 'zermahlen'4
509	19388	explicit_greek_pseudo_ocr_risk	Neubildungen:   s-Aorist           gr. tpefvai 'zerbrechen, -reißen'5
510	19417	explicit_greek_pseudo_ocr_risk	Perfekt    *re-rójp/rip-       gr. Kar-tpfJpinc 'ist niedergestürzt'4
510	19443	explicit_greek_pseudo_ocr_risk	Präsens   *reks-dʰe          gr. tptzBw 'zermürbe'2
512	19495	explicit_greek_pseudo_ocr_risk	Aorist    ?*rep-/rp          ?[gr. hom. ep. av- 17pilj/avro 'sie rissen hoch,}
514	19598	explicit_greek_pseudo_ocr_risk	        Präsens   ?*ru-neln-g-        [gr. tpvrravm 'erbreche'2
517	19725	explicit_greek_pseudo_ocr_risk	2   Vgl. gr. mepq;oq n. 'Haut, Fell', an. stjarfi 'Starrkrampf , stirfinn 'trotzig'. Daraus einerseits
526	20067	explicit_greek_pseudo_ocr_risk	   Für intr. Wurzelbedeutung auch HACKSTEIN 299. HARDARSON 207 nimmt dagegen tr. 'sätti    gen' als Wurzelbedeutung an, weil bei intr. 'satt werden/sein' das Med. von gr. <icm1 unmoti    viert sei; <'iμcvai und fmμcv müssen dann auf Fientiv *sh₂dʰr 'satt werden' zurück geführt
530	20236	explicit_greek_pseudo_ocr_risk	                                 gr. {troμaz 'folge, begleite'
532	20322	explicit_greek_pseudo_ocr_risk	                                   gr. &A. w 'sprang',
532	20325	explicit_greek_pseudo_ocr_risk	                                   [gr. üiAA.w 'lasse losschnellen (Hände, Pfeil)'4
532	20327	explicit_greek_pseudo_ocr_risk	          * sJ -1e-. ,                gr. &A.A.oμai 'springe, hüpfe'
534	20389	explicit_greek_pseudo_ocr_risk	                                                                    4                           A-ayaaaaz · a<pe fvai Hsch.
534	20421	explicit_greek_pseudo_ocr_risk	   Laryngal wegen des Lat., *h₁ wegen gr. tA.e- , HARDARSON  1 56. Lautliche Probleme ergeben
535	20450	explicit_greek_pseudo_ocr_risk	   Mit iotazistischer Schreibung für teiA.0; vgl. dJ,7781 Hsch.
537	20517	explicit_greek_pseudo_ocr_risk	                                                                                                                                                 l aAorist                          ?[gr. hom. taqifh7 'sang, klang'
541	20685	explicit_greek_pseudo_ocr_risk	                                          gr. (tr;;l]pl/fa LXX, Psalm  1 05,30
547	20911	explicit_greek_pseudo_ocr_risk	   Wahrscheinlich Se!-Wurzel (statt traditionellem *sg('es-) wegen gr. Aor. tuß17, Präs. (dvaμev,
548	20986	explicit_greek_pseudo_ocr_risk	                            s-Aorist           gr. {arp17A.a 'brachte zu Fall'4
557	21351	explicit_greek_pseudo_ocr_risk	   Vgl. gr. ux-aA.μQs- m. 'Ruderpflock'. Verbal nur gr„ vgl. aber Nomina wie ahd. scala f. 'Scha     le, Schote' < *skol-ehr; daneben die Erweiterung *ske/H-, s.d. Zur unerweiterten Wurzel we   gen fehlender Resonantengemination auch an. ski/, aschw. skice/ n. 'Trennung, Unterschei   dung' < *skel-azliz- (MAGNÜSSON 842-3) mit Denom. an. skilja 'trennen, unterscheiden' usw.
558	21370	explicit_greek_pseudo_ocr_risk	    2.*(s)kel-, wozu auch (gegen LIV1) gr. oxaA.A.w usw., s.d. Das arm. Verb könnte auch zur un    erweiterten Wurzel gehören.
558	21378	explicit_greek_pseudo_ocr_risk	Präsens   *( s)kj-neln-hr            [gr. att. m<iA.A.oμaz 'vertrockne, trockne aus
558	21380	explicit_greek_pseudo_ocr_risk	Perfekt    *(s)ke-(s)kólhJNs)kJhr  [gr. att. laKA.T/Ka 'bin ausgetrocknet'
558	21385	explicit_greek_pseudo_ocr_risk	   Verbal nur gr., dazu wohl mhd. schal 'schal, fade; trüb' usw., ohne anlautendes s z.B. mnl.
558	21386	explicit_greek_pseudo_ocr_risk	"   hael 'dürr', Jett. (denom.) kattet 'trocknen' (allerdings zeigen diese Wörter keinen Laryngal    reflex, wegen o-Stufe?); für *h₁ spricht besonders gr. OXEMTOq m. 'Mumie, Skelett' +- *oxa2   M'l""<Jq< *skJhretó- oder direkt < *skelhretó- (vgl. VINE, Opfft:WV 60).   Mit generalisierter R(z), daneben dürfte ursprünglich aus der 3s *skelhrt > gr. toxEM abstra    hiertes * ax-cle- gestanden haben wie bei ßA.17-   : ark. (EM- ( s. * g!'elhr ), vgl. BEEKES 23 7."
560	21451	explicit_greek_pseudo_ocr_risk	Präsens   ?*ke-kop/kp-        [gr. KO!!TW 'schlage, haue; ermüde (tr.)'2
569	21804	explicit_greek_pseudo_ocr_risk	"    Hsch. mj Kai mjv im' wü Kara;raO""O""e Kai Kara;raO""O""t:l v, Insc. Epid. immjv qxipμaKov - hom."
570	21841	explicit_greek_pseudo_ocr_risk	Präsens   ?*sj-ne/n-1§/-        [gr. A.arrwvEM 'Feigling'2
570	21866	explicit_greek_pseudo_ocr_risk	Präsens   *sleh/gʰ-e-          gr. A.ljyw 'höre auf, lasse ab, ende'
570	21867	explicit_greek_pseudo_ocr_risk	Aorist     ?*slifh/g1/sleh/gʰ-s- gr. lA.A.17;a 'hörte auf
573	21950	explicit_greek_pseudo_ocr_risk	            *(s)lug-je-           gr. A.V(m 'habe Schluckauf, schluchze'
582	22351	explicit_greek_pseudo_ocr_risk	"         Aorist    ?* spindlspend-s-    gr. lO""trt:lO""a 'libierte, spendete'"
583	22396	explicit_greek_pseudo_ocr_risk	          ?*(s)penhre-5           gr. trevoμaz 'mühe mich ab, strenge mich an'6
583	22400	explicit_greek_pseudo_ocr_risk	Iterativ    *( s)ponhreje-           gr. trovioμaz 'mühe mich ab, strenge mich an'6
584	22409	explicit_greek_pseudo_ocr_risk	   Das s mobile tritt nur im Germ. auf und könnte sekundär sein; für *h₁ spricht gr. rrovü-.
585	22463	explicit_greek_pseudo_ocr_risk	   Das traditionell mit dem sonst isolierten gr. =fpm verbundene arm. spfem 'zerstreue, ver    streue' (IEW 993, FRISK II 763, CHANTRAINE, DELG  1 036)  ist lautlich dazu inkompatibel
586	22512	explicit_greek_pseudo_ocr_risk	         Präsens   *speLJd-e-           gr. mrcvÖOJ 'beeile mich; treibe an'
