source_pdf_page	markdown_line	issue	text
405	15188	explicit_greek_pseudo_ocr_risk	   Vgl.  lat. lassus 'müde' < *l,d-to-  statt *jh₁d-tó-, Erweiterung von *lehr,  s.d.; gr. J,77&fv
414	15564	explicit_greek_pseudo_ocr_risk	Präsens   *lip-je-               gr. }.{Jrrw 'begehre'
416	15642	explicit_greek_pseudo_ocr_risk	   Unsicher; dazu wird noch gestellt gr. A.17Kav· ro np<'x; qx5Jjv opxt:fa()az Hsch., das mit dem lett.
438	16543	explicit_greek_pseudo_ocr_risk	Aorist                           gr. lß}.w· EqxXVT/, r/Jxcro, EaTT/ Hsch. 'kam hervor',
439	16553	explicit_greek_pseudo_ocr_risk	Neubildungen:   Perfekt            gr. hom. Jrap-μtμßA.wx-s 'steht bei';
467	17698	explicit_greek_pseudo_ocr_risk	 1                                                    'schlage' (s. *pjehr ), eher zu aksl. pustb 'öde,   Nur gr.; wohl kaum urspr. identisch mit 1raf(J)
468	17727	explicit_greek_pseudo_ocr_risk	                                                                                                                                                                      1 2                         Nasalpräs.        gr. ml!(J), [äol. JraJV(J) 'trinke'
474	17999	explicit_greek_pseudo_ocr_risk	"Aorist    ?*pe-pJhre-        gr. aμ- ll""EJraA-mv '(die Lanze) oben (über dem"
474	18007	explicit_greek_pseudo_ocr_risk	"   Verba\ nur gr. und slav.; Nomina außer im Gr. (*Jrcieμo- < *pelhrmo- 'Schwung' in Jrcieμi   (w 'schwinge, erschüttere',  JZ""6:ieμoq für *JióA.μo- < *pól(h₁)-mo- *'Lanzenschwingen' š   'Kampf š 'Krieg') auch im  Ital. (umbr. poplo 'Heer',  lat. populus 'Heer' š 'Volk' <"
480	18239	explicit_greek_pseudo_ocr_risk	            alten Zustandsperfekts 'besitze') als Entsprechung von gr. Aor. Jre!!apEfv.
480	18243	explicit_greek_pseudo_ocr_risk	            10              V.l. Jre!!op0, auch von Hsch. glossiert als tv&fqai, <T17μijvai; vgl. HARDARSON 2 1 9.
487	18555	explicit_greek_pseudo_ocr_risk	                                                                                                                                                                                                                                                                                                                                    1   Adj. *pólh₁u-lpelh₁u-lpjh₁ey- 'viel' (in ved. puru-, gr. JroAVq, air. i/, got.filu).                                                                             J
490	18678	explicit_greek_pseudo_ocr_risk	   Nur lat. und toch., zum Ansatz vgl. HACKSTEIN  1 16-7; von *plek- in gr. JrÄ.[unclear],  - K[unclear] 'Fläche'
534	20389	explicit_greek_pseudo_ocr_risk	                                                                    4                           A-ayaaaaz · a<pe fvai Hsch.
569	21804	explicit_greek_pseudo_ocr_risk	"    Hsch. mj Kai mjv im' wü Kara;raO""O""e Kai Kara;raO""O""t:l v, Insc. Epid. immjv qxipμaKov - hom."
590	22671	explicit_greek_pseudo_ocr_risk	   *spurnö- eher für *h₂/h₃; zu *sph s. KLINGENSCHMITT  1 68-914, hierher gr. σφυρόν 'Fußknö    chel' (mit irregulärem ur < *Jr nach Labial?); aaJrai{XIJ 'zucke, zapple' kann wegen 7r trotz
591	22704	explicit_greek_pseudo_ocr_risk	                                     gr. aqxpayt:iJvw 'zischten im Feuer'5
601	23084	explicit_greek_pseudo_ocr_risk	   Gründen kaum hierher gr. (nur Lex.) arfμßw 'schüttle heftig' und Wörter wie Ct(Trt:μ<pij[unclear] 'un    erschütterlich'. Schwierig ist Abgrenzung von *stebʰ- (s.d.).
605	23267	explicit_greek_pseudo_ocr_risk	                                     gr. arciJrai 'gibt kund, rühmt sich, verspricht'
611	23491	explicit_greek_pseudo_ocr_risk	                                   gr. hom. ta&Jra (μiJOov) 'gefallend, angenehm'8
650	25018	explicit_greek_pseudo_ocr_risk	                                   gr. hom. l!aμt:v 'wir             a1r-ilcraw                                                   erschlugen''                           'wurde erschlagen'5,
655	25214	explicit_greek_pseudo_ocr_risk	            *trp-eje-            gr. τραπέω 'keltere'2
657	25308	explicit_greek_pseudo_ocr_risk	"Präsens   ?*trug-ske-         gr. rpwKt:l"" q17paf vci Hsch. 'macht trocken'"
657	25309	explicit_greek_pseudo_ocr_risk	           ?*trug-eje-          gr. rpvycf· q17pafvt:1 Hsch. 'macht trocken'
657	25325	explicit_greek_pseudo_ocr_risk	Neubildungen:   s-Aorist           gr. rpiJaai 'aufreiben, erschöpfen .3
663	25513	explicit_greek_pseudo_ocr_risk	                                ?[gr.        'webe'2                                 V<pcdvw
663	25525	explicit_greek_pseudo_ocr_risk	  Zum Wurzelanlaut s. heth. wep-; zu weiterem vgl. PETERS 7 1 -2; das heth. Verbum huppiye    'verschlingen, vermischen' kann wegen pp und h (gegenüber gr. ὑφαίνω), nicht taV<pafV{J))
683	26356	explicit_greek_pseudo_ocr_risk	    S. GOTO, GS KURYLOWICZ 365-70; vgl. die Denominativa gr. t.A.Eqx[poμm 'gebe Rätsel auf;
683	26358	explicit_greek_pseudo_ocr_risk	   Vielleicht indirekt bezeugt durch den gr. Namen 'EA-e<pTivmp, s. GOTO, l.c. 369.
692	26698	explicit_greek_pseudo_ocr_risk	    sein nach *1gg-   : *11erg- > *wJg-  : *11erg-   *wJg-  : *weg- (vgl. umgekehrt myk. *11org     statt *11rog- nach *11erg-); dagegen wäre bei altem *11ä-   : *weg- > gr. *wJg-   : *weg- die
692	26699	explicit_greek_pseudo_ocr_risk	   Entstehung von gr. *//Jrg-  : *ɤ1erg- unerklärbar; zur Entwicklung von *r im Gr. vgl. Rlx 65.
769	29963	explicit_greek_pseudo_ocr_risk;index_dense_zone_high_risk	 εἶδον, i&fv                          *1Jejd-          ivOEfv(dor„ ark.)                *h₁nedʰ-
777	30362	explicit_greek_pseudo_ocr_risk;index_dense_zone_high_risk	 στέφω                             *(s)tegYh_            reptuuw; {rprtua, ripeuut:v (Hsch.);
779	30415	explicit_greek_pseudo_ocr_risk;index_dense_zone_high_risk	"    φθινύθω, φθινύουσι (Hsch.),  l/ffVOJ               Kizvrm    (kret.), + φθίει (Hsch.); ἔφθιεν φθίῃς.                XJ7pa, xfipo;                    *gʰehr   ἔφθιτο φθίμενος, ἔφθισα; ἔφθιται                    x7fμ11                               *gʰehJi   -t<pB1w-                             z6w                                  *ii""ey-"
