id	article_pages	pdf_pages	concept_group	concept_gloss	source_language_label	language_or_stage	form	form_class	reconstructed	gloss	role_in_article	relation_or_pathway	source_context	editorial_notes	form_audit_status	form_audit_notes	normalized_language_or_stage	language_family	branch_or_subgroup	attestation_status	semantic_domain	semantic_group_normalized	p_q_status	argument_category	argument_use	source_page_anchor	markdown_page_link	citation_label	form_anchor	group_sequence	search_key
bf-011	245; 246	4; 5	fox/vixen analogy	fox	NE	New English	fox	lexical form	no	fox	borrowing analogy	Used with vixen to illustrate sporadic borrowing of one co-allomorph but not another.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	New English	Indo-European	Modern English / West Germanic	attested or source-cited	animal / analogy	fox/vixen analogy	contextual analogy or borrowing example; not directly p/q in the main problem	modern English analogy for sporadic borrowing of co-allomorphs	borrowing/replacement scenario	p245;p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245;bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:245; Bennett 1969:246	bennett-1969-bf-011	fox/vixen analogy-01	fox
bf-012	245; 246	4; 5	fox/vixen analogy	vixen	NE	New English	vixen	lexical form	no	vixen	borrowed co-allomorph analogy	Used with fox to illustrate sporadic borrowing of one co-allomorph but not another.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	New English	Indo-European	Modern English / West Germanic	attested or source-cited	animal / analogy	fox/vixen analogy	contextual analogy or borrowing example; not directly p/q in the main problem	modern English analogy for sporadic borrowing of co-allomorphs	borrowing/replacement scenario	p245;p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245;bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:245; Bennett 1969:246	bennett-1969-bf-012	fox/vixen analogy-02	vixen
bf-013	243	2	oven	oven	OIcel.	Old Icelandic	ofn	lexical form	no	oven	p-reflex example	Grouped with OE ofen and OHG ofan against Go. auhns and ONorw. ogn.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Icelandic	Indo-European	North Germanic	attested or source-cited	object / technology	oven	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	oven p/q problem and possible Balkan/Greek transmission	supporting cited form	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-013	oven-01	ofn
bf-014	243; 246	2; 5	oven	oven	OE	Old English	ofen	lexical form	no	oven	p-reflex example	Grouped with OIcel. ofn and OHG ofan; later equated with Gk. ipnós.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old English	Indo-European	West Germanic	attested or source-cited	object / technology	oven	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	oven p/q problem and possible Balkan/Greek transmission	supporting cited form	p243;p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243;bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:243; Bennett 1969:246	bennett-1969-bf-014	oven-02	ofen
bf-015	243	2	oven	oven	OHG	Old High German	ofan	lexical form	no	oven	p-reflex example	Grouped with OIcel. ofn and OE ofen.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old High German	Indo-European	West Germanic	attested or source-cited	object / technology	oven	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	oven p/q problem and possible Balkan/Greek transmission	supporting cited form	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-015	oven-03	ofan
bf-016	243	2	oven	oven	Go.	Gothic	auhns	lexical form	no	oven	q-form counterpart	Contrasted with p-reflex forms of oven.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gothic	Indo-European	East Germanic	attested or source-cited	object / technology	oven	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	oven p/q problem and possible Balkan/Greek transmission	comparison	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-016	oven-04	auhns
bf-017	243	2	oven	oven	ONorw.	Old Norwegian	ogn	lexical form	no	oven	q-form counterpart	Contrasted with p-reflex forms of oven.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Norwegian	Indo-European	North Germanic	attested or source-cited	object / technology	oven	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	oven p/q problem and possible Balkan/Greek transmission	comparison	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-017	oven-05	ogn
bf-018	243	2	oven	oven	IE	Indo-European	*ukʷnos	lexical form	yes	oven	labialization-theory input	IE *ukʷnos > pre-Gmc. *upnos > PGmc. *ufnaz.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Indo-European	Indo-European	Proto-Indo-European / IE-level reconstruction	reconstructed	object / technology	oven	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	labialization theory example	supporting cited form	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-018	oven-06	*ukwnos
bf-019	243	2	oven	oven	pre-Gmc.	pre-Germanic	*upnos	lexical form	yes	oven	proposed p-form	IE *ukʷnos > pre-Gmc. *upnos > PGmc. *ufnaz.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Pre-Germanic	Indo-European	Germanic	reconstructed	object / technology	oven	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	labialization theory example	supporting cited form	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-019	oven-07	*upnos
bf-020	243	2	oven	oven	PGmc.	Proto-Germanic	*ufnaz	lexical form	yes	oven	proposed Germanic outcome	IE *ukʷnos > pre-Gmc. *upnos > PGmc. *ufnaz.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Proto-Germanic	Indo-European	Germanic	reconstructed	object / technology	oven	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	labialization theory example	supporting cited form	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-020	oven-08	*ufnaz
bf-021	243; 246	2; 5	oven	oven	Gk.	Greek	ipnós	lexical form	no	oven	non-Germanic p-form	Appears both as Greek p-form and later in Gk. ipnós = OE ofen.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Greek	Indo-European	Greek	attested or source-cited	object / technology	oven	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	oven p/q problem and possible Balkan/Greek transmission	supporting cited form	p243;p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243;bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:243; Bennett 1969:246	bennett-1969-bf-021	oven-09	ipnos
bf-022	243; 244	2; 3	cooking bowl / oven	cooking bowl	Gk. Mycen.	Mycenaean Greek / Linear B	i-po-no	lexical form	no	cooking bowl	Mycenaean p-form in kʷ-dialect	Bennett notes the p-form in Mycenaean, a kʷ-dialect.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Mycenaean Greek	Indo-European	Greek	attested or source-cited	object / technology	cooking bowl / oven	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	general argument support	supporting cited form	p243;p244	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243;bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p244	Bennett 1969:243; Bennett 1969:244	bennett-1969-bf-022	cooking bowl / oven-01	i-po-no
bf-023	246	5	oven	oven	Balkan-form	Balkan form	*upna	lexical form	yes	oven-related derivative	possible transmission form	Szemerényi quote: Greek form or derivative Balkan-form *upna or *upuna.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Balkan-form	Indo-European	uncertain Balkan transmission	reconstructed	object / technology	oven	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	oven p/q problem and possible Balkan/Greek transmission	supporting cited form	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-023	oven-10	*upna
bf-024	246	5	oven	oven	Balkan-form	Balkan form	*upuna	lexical form	yes	oven-related derivative	possible transmission form	Szemerényi quote: Greek form or derivative Balkan-form *upna or *upuna.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Balkan-form	Indo-European	uncertain Balkan transmission	reconstructed	object / technology	oven	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	oven p/q problem and possible Balkan/Greek transmission	supporting cited form	p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:246	bennett-1969-bf-024	oven-11	*upuna
bf-025	243	2	liver	liver	IE	Indo-European	*ljekʷr̥t	lexical form	yes	liver	Noreen example	Cited as an equation where IE /kʷ/ would produce pre-Gmc. /p/ > PGmc. /ƀ/.	Syllabic r restored from page image.		verified	verified: source uses syllabic r notation, represented here as r̥	Indo-European	Indo-European	Proto-Indo-European / IE-level reconstruction	reconstructed	body part	liver	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Noreen direct-contact condition and counterexample	supporting cited form	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-025	liver-01	*ljekwrt
bf-026	243	2	liver	liver	OFris.	Old Frisian	livere	lexical form	no	liver	Germanic outcome in Noreen example	Cited with OHG lebara for liver.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Frisian	Indo-European	West Germanic	attested or source-cited	body part	liver	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Noreen direct-contact condition and counterexample	supporting cited form	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-026	liver-02	livere
bf-027	243	2	liver	liver	OHG	Old High German	lebara	lexical form	no	liver	Germanic outcome in Noreen example	Cited with OFris. livere for liver.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old High German	Indo-European	West Germanic	attested or source-cited	body part	liver	p-form / p-reflex / p-analogue in Bennett’s main p/q discussion	Noreen direct-contact condition and counterexample	supporting cited form	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-027	liver-03	lebara
bf-028	243	2	form/appearance	form; appearance	IE	Indo-European	*sekʷnís	lexical form	yes	form, appearance	counterexample to Noreen condition	Bennett asks why Noreen’s proposed change would not also occur here.	Final acute restored from page image.		verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Indo-European	Indo-European	Proto-Indo-European / IE-level reconstruction	reconstructed	abstract noun	form/appearance	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Noreen direct-contact condition and counterexample	counterexample	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-028	form/appearance-01	*sekwnis
bf-029	243	2	form/appearance	form; appearance	Go.	Gothic	siuns	lexical form	no	form, appearance	counterexample outcome	IE *sekʷnís > Go. siuns.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gothic	Indo-European	East Germanic	attested or source-cited	abstract noun	form/appearance	q-form / expected q-reflex / retained labiovelar path in Bennett’s main p/q discussion	Noreen direct-contact condition and counterexample	counterexample	p243	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p243	Bennett 1969:243	bennett-1969-bf-029	form/appearance-02	siuns
bf-030	244	3	ox	ox	Lat.	Latin	bōs	lexical form	no	ox	p-/b-form comparison	Bennett compares Osc.-Umbrian b in Latin bōs for expected *vōs.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Latin	Indo-European	Italic	attested or source-cited	animal	ox	Latin b/v comparison; analogy outside the Germanic p/q dataset	Latin / non-Germanic comparison for p-forms outside native q-development	supporting cited form	p244	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p244	Bennett 1969:244	bennett-1969-bf-030	ox-01	bos
bf-031	244	3	ox	ox	expected	expected Latin form	*vōs	lexical form	yes	ox	expected comparator	Expected form contrasted with Latin bōs.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Expected comparator	Indo-European	Italic comparator in Bennett's argument	hypothetical / expected	animal	ox	Latin b/v comparison; analogy outside the Germanic p/q dataset	Latin / non-Germanic comparison for p-forms outside native q-development	hypothetical expected development	p244	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p244	Bennett 1969:244	bennett-1969-bf-031	ox-02	*vos
bf-032	245; 246	4; 5	beseech/seek analogy	beseech	NE	New English	beseech	lexical form	no	beseech	borrowing / palatalization analogy	Used with seek to illustrate inconsistent borrowing or co-allomorph distribution.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	New English	Indo-European	Modern English / West Germanic	attested or source-cited	verb / analogy	beseech/seek analogy	contextual analogy or borrowing example; not directly p/q in the main problem	modern English analogy for sporadic borrowing of co-allomorphs	borrowing/replacement scenario	p245;p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245;bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:245; Bennett 1969:246	bennett-1969-bf-032	beseech/seek analogy-01	beseech
bf-033	245; 246	4; 5	beseech/seek analogy	seek	NE	New English	seek	lexical form	no	seek	borrowing / palatalization analogy	Used with beseech to illustrate inconsistent borrowing or co-allomorph distribution.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	New English	Indo-European	Modern English / West Germanic	attested or source-cited	verb / analogy	beseech/seek analogy	contextual analogy or borrowing example; not directly p/q in the main problem	modern English analogy for sporadic borrowing of co-allomorphs	borrowing/replacement scenario	p245;p246	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245;bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p246	Bennett 1969:245; Bennett 1969:246	bennett-1969-bf-033	beseech/seek analogy-02	seek
bf-034	245	4	cloak	cloak; coat; garment; shirt	unmarked	unidentified / pre-Germanic loan	*bajtá	lexical form	yes	kind of cloak	pre-Germanic borrowing example	A form designating a kind of cloak came into pre-Germanic and underwent later shifts.	Final acute restored from page image.		verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Unmarked in source	uncertain	uncertain	reconstructed	object / clothing	cloak	contextual analogy or borrowing example; not directly p/q in the main problem	pre-Germanic borrowing / naturalized nomad word example	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-034	cloak-01	*bajta
bf-035	245	4	cloak	cloak	Herodotus	Greek / Herodotus	baítē	lexical form	no	cloak	external comparator	Given in parentheses as the Herodotus form.	Acute restored from page image.		verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Herodotus-cited form	uncertain	uncertain / externally cited	attested or source-cited	object / clothing	cloak	contextual analogy or borrowing example; not directly p/q in the main problem	pre-Germanic borrowing / naturalized nomad word example	comparison	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-035	cloak-02	baite
bf-036	245	4	cloak	cloak	Go.	Gothic	paida	lexical form	no	cloak	Germanic reflex of borrowing	One of the Germanic outcomes of the borrowed cloak word.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gothic	Indo-European	East Germanic	attested or source-cited	object / clothing	cloak	contextual analogy or borrowing example; not directly p/q in the main problem	pre-Germanic borrowing / naturalized nomad word example	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-036	cloak-03	paida
bf-037	245	4	cloak	coat	OE	Old English	pād	lexical form	no	coat	Germanic reflex of borrowing	One of the Germanic outcomes of the borrowed cloak word.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old English	Indo-European	West Germanic	attested or source-cited	object / clothing	cloak	contextual analogy or borrowing example; not directly p/q in the main problem	pre-Germanic borrowing / naturalized nomad word example	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-037	cloak-04	pad
bf-038	245	4	cloak	garment	OS	Old Saxon	pēda	lexical form	no	garment	Germanic reflex of borrowing	One of the Germanic outcomes of the borrowed cloak word.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Saxon	Indo-European	West Germanic	attested or source-cited	object / clothing	cloak	contextual analogy or borrowing example; not directly p/q in the main problem	pre-Germanic borrowing / naturalized nomad word example	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-038	cloak-05	peda
bf-039	245	4	cloak	cloak; shirt	OHG	Old High German	pfeit	lexical form	no	cloak, shirt	Germanic reflex of borrowing	One of the Germanic outcomes of the borrowed cloak word.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old High German	Indo-European	West Germanic	attested or source-cited	object / clothing	cloak	contextual analogy or borrowing example; not directly p/q in the main problem	pre-Germanic borrowing / naturalized nomad word example	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-039	cloak-06	pfeit
bf-040	245	4	oath	oath	unmarked	source form	*ojto-	lexical form	yes	oath	Germanic borrowing from Celtic example	Bennett gives *ojto- (OIr. oeth) > PGmc. *ajþa- > Go. aiþs.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Unmarked in source	uncertain	uncertain	reconstructed stem or component	legal / social term	oath	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-040	oath-01	*ojto-
bf-041	245	4	oath	oath	OIr.	Old Irish	oeth	lexical form	no	oath	Celtic comparator	Part of the oath borrowing example.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Irish	Indo-European	Goidelic Celtic	attested or source-cited	legal / social term	oath	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	comparison	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-041	oath-02	oeth
bf-042	245	4	oath	oath	PGmc.	Proto-Germanic	*ajþa-	lexical form	yes	oath	Proto-Germanic borrowing outcome	*ojto- (OIr. oeth) > PGmc. *ajþa- > Go. aiþs.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Proto-Germanic	Indo-European	Germanic	reconstructed stem or component	legal / social term	oath	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-042	oath-03	*ajtha-
bf-043	245	4	oath	oath	Go.	Gothic	aiþs	lexical form	no	oath	Gothic outcome	Final form in the oath borrowing example.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Gothic	Indo-European	East Germanic	attested or source-cited	legal / social term	oath	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	supporting cited form	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-043	oath-04	aiths
bf-044	245	4	fortress/town	fortress	OIr.	Old Irish	dūn	lexical form	no	fortress	Celtic/Germanic borrowing example	OIr. dūn = OE tūn.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old Irish	Indo-European	Goidelic Celtic	attested or source-cited	settlement / built environment	fortress/town	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-044	fortress/town-01	dun
bf-045	245	4	fortress/town	enclosed area; town	OE	Old English	tūn	lexical form	no	enclosed area, town	Celtic/Germanic borrowing example	OE tūn is equated with OIr. dūn.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Old English	Indo-European	West Germanic	attested or source-cited	settlement / built environment	fortress/town	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-045	fortress/town-02	tun
bf-046	245	4	wild	wild	Welsh	Welsh	gwyllt	lexical form	no	wild	Celtic/Germanic borrowing example	Welsh gwyllt = Go. wilþeis.			verified	verified against page-image crop in targeted form-audit pass; no form-string correction required after v2 dataset	Welsh	Indo-European	Brittonic Celtic	attested or source-cited	quality / adjective	wild	contextual analogy or borrowing example; not directly p/q in the main problem	Celtic-Germanic borrowing context	borrowing/replacement scenario	p245	bennett-1969-pre-germanic-p-for-indo-european-kw-v3.md#p245	Bennett 1969:245	bennett-1969-bf-046	wild-01	gwyllt
