merged_term	DW0 (Transposit)	narGloss	old1_term	match_type	review_flag	PIE Root	PIE 0	BVS!	DW0 (Actual)	DW1-F	DW1-B	DE	D2	pos	List(s)	CIGBS	Sem.	narEty	narDer	narAttest	narDisc	narNomRoot	narNomDer	conRoot class	conRootUltimate	conDeriv	conEty:	conPlan:	PIE	PIt	PC	PGm	PBl	PSl	Gr.	EDB	AD	dedup_notes	intake_bucket	intake_reason	best_current_id	best_current_lemma	best_current_gloss	best_current_status	best_match_score	top_current_matches	parsed_new_terms	parsed_new_glosses	pos_coarse
datvis	datvis	"‘bear, especially from a mountainous region’"	datvis	dw0				FALSE						n. i m.			fauna	Since OD.				dat-w-					Proto-Kartvelian per EDKL 37: *datw-.												probable_merge	partial_gloss	28	árktos	bear	canonical	2.58	28:árktos:bear (2.58) | 363:alβárktos:white-bear (1.67) | 407:árktī:she-bear (1.67) | 175:moriarksos:predatory sea mammal (lit. sea-bear) (1.45)	datvis	"bear, especially from a mountainous region"	noun
ðegris		‘fever’	ðegris	old1_only	REVIEW:old1-only																																		probable_new_entry	no_match							ðegris	fever	
"ðēman, -s"	"ðēman, -s"	"‘life, plans’"	"ðēman, -s"	gloss	REVIEW:gloss-match			FALSE						n. n n.				"Since OD, from an alternating form  ðeeman ~ ðamens in AD."				đē- ~ đō- ~ đa-					"PIE *dʰéh₁mn̥, *dʰh₁méns."											"old-1 form was 'ðēman, -s'"	probable_merge	partial_gloss	102	gvītis	life	canonical	3.00	102:gvītis:life (3.00) | 357:gʷī́vom:life (as animating principle) (1.75)	ðēman; -s	"life, plans"	noun
ðēsa	ðēsa	"‘maker, creator, prime force of eɣistence’"	ðēsa	gloss	REVIEW:gloss-match			FALSE						n. a f.				"From EAD ðēs, ðēsam, ðases with subsequent reanalysis as an a-stem based on the accusative."				đē- ~ đō- ~ đa-																old-1 form was 'ðēsa'	probable_new_entry	low_match	245	séɣos	force; hegemony	canonical	1.43	"245:séɣos:force; hegemony (1.43) | 185:nḗr:power, force, energy (1.39)"	ðēsa	"maker, creator, prime force of eɣistence"	noun
ðeuzos	ðeuzos	‘animal (with warm breath that condenses visibly in the winter)’	ðeuzos	gloss	REVIEW:gloss-match			FALSE						n. o m.	S-207		fauna		*dʰews-ós																			old-1 form was 'ðeuzos'	probable_new_entry	low_match	97	ɣvḗr	"wild animal, beast"	canonical	1.29	"97:ɣvḗr:wild animal, beast (1.29) | 280:tód:that (0.61)"	ðeuzos	animal (with warm breath that condenses visibly in the winter)	noun
dōtis	dōtis ~ dateis	"‘act of giving; generosity, selflessness’"	dōtis	exact		*deh₃-	*déh₃tis ~ *dh₃téis	FALSE		"dōtis, -eis"	dōtis ~ dōteis			n. i f.				Since AD.				dat- ~ dō-																	probable_new_entry	low_match	41	ðētís	"deed, act"	canonical	1.52	"41:ðētís:deed, act (1.52) | 378:gvessís:speech, act of saying (1.46) | 90:gvamtís:step, act, action (1.46)"	dōtis	"act of giving; generosity, selflessness"	noun
"dōtōr, -tres"	"dōtōr, -tres"	"‘giver, donor’"	"dōtōr, -tres"	dw0		*deh₃-		FALSE						n. c m.				"Since OD, from AD dootoor, datres with leveling of the dir. root into the obl. cases."				dat- ~ dō-																	probable_new_entry	no_match							dōtōr; -tres	"giver, donor"	noun
ðrākes		"‘dregs, sediment, dross, undesirable leftovers’ usually appearing in the plural"	ðrākes	old1_only	REVIEW:old1-only									n. c m.				"Since AD, alongside ðrāɣes, indicating a borrowing."																					probable_new_entry	low_match	47	ðrāks	"dregs, debris"	canonical	1.43	"47:ðrāks:dregs, debris (1.43) | 48:ðréβos:dregs, debris (1.43)"	ðrākes	"dregs, sediment, dross, undesirable leftovers usually appearing in the plural"	noun
ðraks	ðraɣs ~ ðraɣes	"‘dregs, debris (of a fermentation process)’"		old2_only		*dʰrh₂egʰ-	*dʰrh₂egʰ-s ~ dʰrh₂egʰ-és ~	FALSE	"ðraɣs, -es"	"ðraks, ðrages"	"ðraks, ðrakes"	drać ~ draćez		n. c m.																									probable_merge	partial_gloss	47	ðrāks	"dregs, debris"	canonical	3.00	"47:ðrāks:dregs, debris (3.00) | 48:ðréβos:dregs, debris (3.00)"	ðraks	"dregs, debris (of a fermentation process)"	noun
drevom	doru ~ dreus	‘tree’	drevom	exact			*dóru ~ *dréus	FALSE		drevom	>> drevom			n. o n.	S-207		flora	"Since OD. Derived from AD doru gen.s. dreus since which only appears in formulae, poetry, and compounds."				dor- ~ dre-					PIE *doru.				"EDPC 91: *daru-, *darwo- < nom. sg. *doru, gen. sg. *drw-os."	EDPG 522: *trewa- n. < *dréu-o- (acc. sg.).							probable_merge	partial_gloss	116	kalnós	holly (tree)	unresolved	3.25	116:kalnós:holly (tree) (3.25) | 12:álizos:alder (tree) (3.25) | 137:kozlos:hazel (tree) (3.25) | 239:salikā:willow (tree) (3.25) | 322:βergós:birch (tree) (3.25)	drevom	tree	noun
ðufvis	ðuβus	‘deep’		old2_only		*dʰeu̯bʰ-	*dʰ(é)u̯bʰ-ú-s ~ *dʰubʰ-éu̯-s	FALSE	ðufus	ðufvis	dubvos //	dubuz //		adj. u																									probable_merge	gloss_exact	51	ðubús	deep	canonical	7.50	51:ðubús:deep (7.50)	ðufvis	deep	adj
ðumniom		‘the underworld; land of the dead’		old2_only		*dʰeu̯bʰ-	**dʰubʰ-r-i-ós ~ **dʰubʰ-r-i-ósi̯o	TRUE		ðumniom	ðumniom			n. o n.					"upiðumniom ‘sub-Thumniom, Bism’ aka ðubratamos"																				probable_merge	gloss_exact	50	ðubnióm	the underworld	canonical	5.83	50:ðubnióm:the underworld (5.83)	ðumniom	the underworld; land of the dead	noun
ðuɸtis	ðuβtis ~ ðuβteis	‘depth’	ðuɸtis	exact		*dʰeu̯bʰ-	**dʰu̯bʰ-tis ~ dʰu̯bʰ-teis	TRUE		"ðuɸtis, -eis"	ðuβtis ~ ðuβteis			n. i f.				Since OD.																					probable_new_entry	no_match							ðuɸtis	depth	noun
ðuskos	ðuskos	‘black’	ðuskos	gloss	REVIEW:gloss-match			FALSE		"ðuskos, -om, -ā"	ðuskos	duskos		adj. a/o	S-207			From EAD.				đus-k-								ater;		EDPG 96: *dinkwa- < *dʰengʷos.						old-1 form was 'ðuskos'	probable_merge	term_exact	54	ðuskos	"dark, dusky (of a person or object)"	canonical	5.50	"54:ðuskos:dark, dusky (of a person or object) (5.50)"	ðuskos	black	adj
ðuβnos > ðumnos	ðuβnos	‘deep’	ðuɸnos	gloss	REVIEW:gloss-match	*dʰeu̯bʰ-	*dʰubʰ-n-ós ~ *dʰubʰ-n-ósi̯o	TRUE		ðuβnos > ðumnos	dubnos	dubnos		adj. a/o		"PK, PBS"		Since OD.																				old-1 form was 'ðuɸnos'	probable_merge	gloss_exact	51	ðubús	deep	canonical	7.50	51:ðubús:deep (7.50)	ðuβnos > ðumnos; ðuɸnos	deep	adj
ðuβros	ðuβros	‘deep’		old2_only		*dʰeu̯bʰ-	*dʰubʰ-r-ós ~ *dʰubʰ-r-ósi̯o	TRUE		"ðuβros, -om, -ā"	ðufros	dubros		adj. a/o		"PK, PGm, PBS"																							probable_merge	gloss_exact	51	ðubús	deep	canonical	7.50	51:ðubús:deep (7.50)	ðuβros	deep	adj
ðuβtā > ðuɸtā	ð(e)uβtā	‘depth’	gvāmman	gloss	REVIEW:gloss-match	*dʰeu̯bʰ-	*dʰewbʰ-teh₂	TRUE		ðuβtā > ðuɸtā	duptā	duptā		n. a f.				From EAD.																				old-1 form was 'gvāmman'	probable_new_entry	no_match							ðuβtā > ðuɸtā; gvāmman	depth	noun
dvāros	dwāros	"‘far, distant’"	dvāros	exact		*dweh₂-	*dweh₂rós	FALSE		"dvāros, -om, -ā"				adj. a/o				Since OD.	dvārtaro dvārtamos																				probable_new_entry	no_match							dvāros	"far, distant"	adj
dveios	dweios	"‘terrifying, fearful, dire’"	dveios	exact		*dwei-	*dwei-s-os ~ *dwei-os-es	FALSE		"dveios, -om, -ā"				adj. a/o				Since OD.	dweitaros dweitamos			dwei-s-						> veizos?											probable_new_entry	no_match							dveios	"terrifying, fearful, dire"	adj
dveislova		‘frightening beast’	dveislova	old1_only	REVIEW:old1-only									n. a f.				From EAD.				dwei-s-					"Lat. bēlua ~ bellua and bēstia, Gr. bellerophon, Romanian balaur."	> veillova ?		dweislowā									probable_new_entry	low_match	97	ɣvḗr	"wild animal, beast"	canonical	1.75	"97:ɣvḗr:wild animal, beast (1.75)"	dveislova	frightening beast	noun
ego	ego	‘I’	ego	dw0				FALSE						pron.	"S-207, SY"			From EAD.									PIE			egō < *h1eg-(o)H	"mī, mē < me"	"ek(a) < ʔeg-H-om, ekō < *h1eg-oH."			"eʔź-um, eś? <"		egō		probable_new_entry	no_match							ego	i	pron
eimi	eimi			old2_only		*h₁éy-	*h₁éymi	FALSE		eimi				v.																									probable_new_entry	no_match							eimi		verb
en	en	‘in’	en	dw0				FALSE						part./prep.	S-207			Since AD.																					probable_new_entry	no_match							en	in	adp
februs	βeβrus ~ βeβreus	‘beaver’		old2_only		*bʰerH-	*bʰébʰr-u̯-s ~ *bʰebʰr-éu̯-s	TRUE		februs	bebrus			n. u m.																									probable_new_entry	no_match							februs	beaver	noun
feðom	βeðom	"‘hole, grave, ditch’"		old2_only			*bʰédʰh₂-om	FALSE		feðom	bedom	bedan		n. o m.				From EAD.				feð-					PIE *bʰédʰh₂-om.												probable_new_entry	no_match							feðom	"hole, grave, ditch"	noun
gavana	gavana	"‘enemy, slave; eɣonym for Damva speakers’"	gavana	dw0				FALSE						?				"Since OD derived from a root remade from the dir. and obl. roots of EAD gaavar, gaavens. c.f. gavarra from the same root."				gaw-					vathek												probable_new_entry	no_match							gavana	"enemy, slave; eɣonym for damva speakers"	
geneza	geneza	"‘ethnicity, kin (distant familial relation); kind’"	geneza	dw0				FALSE						n. a f.				"Likely the reanalyzed oblique stem of EAD genos, genozes ‘id.’."							PIE *ǵenh₁-		"PIE *ǵenh₁os, *ǵnh₁oses"												probable_new_entry	no_match							geneza	"ethnicity, kin (distant familial relation); kind"	noun
genmana		‘family (by blood and law) as opposed to members of a household’	genmana	old1_only	REVIEW:old1-only									n. a f.				"Likely a reanalyzed plural from AD genman, ganmens ‘offspring, progeny’ as an a-stem."									PIE *ǵénh₁mn̥												probable_new_entry	low_match	63	ézar	blood	canonical	2.17	"63:ézar:blood (2.17) | 75:génos:family (2.17) | 241:sanī:menstrual blood (1.37) | 301:véiks:village, household (1.37) | 221:potís:husband, head of household (1.33)"	genmana	family (by blood and law) as opposed to members of a household	noun
"gulan, -s"	"gulan, -s"	‘throat’	"gulan, -s"	dw0				FALSE						n. r/n n.				"!From EAD gvlar, glens leveling to the -an pattern by pressure from other such words."	gulamva?																				probable_new_entry	no_match							gulan; -s	throat	noun
gulis	gulis	"‘gut, organs, interior, core; inner thoughts, secrets’"	gulis	dw0				FALSE						n. i f.				Since OD.									Proto-Kartvelian per EDKL *gul-.												probable_new_entry	no_match							gulis	"gut, organs, interior, core; inner thoughts, secrets"	noun
gvāmman	gvāmman	‘depth’	theumman	gloss	REVIEW:gloss-match			FALSE						n. n n.				From EAD.							PIE **gʷeh₂bʰ-mn̥													old-1 form was 'theumman'	probable_new_entry	no_match							gvāmman; theumman	depth	noun
gvamnos	gvamnos	‘frog’	gvamnos	dw0				FALSE						n. o m.	S-207		fauna	From EAD gvaβnos.											Kroonen suggests a  ghmbh-neh2 meaning 'jump' so what about ɣamƀ- with some kind of de-verbal root meaning 'one who' like -oo-	rānā > Lat. rāna; ? > Lat. būfō	none!	"frugoo, frukk < prughoo"				igel?			probable_new_entry	no_match							gvamnos	frog	noun
ɣiesteros	ɣiesteros	‘yesterday’		old2_only			*dʰǵʰyésteros	FALSE		"ɣiesteros, -om, -ā"	ɣiesteros	giesteros		adj. a/o																									probable_new_entry	no_match							ɣiesteros	yesterday	adj
ɣoisos		‘spear’	ɣoisos	old1_only	REVIEW:old1-only									n. o m.				From EAD.				ɣois-						ꝁ				EDPG 164: *gaiza- < *gʰois-o-.							probable_merge	gloss_exact	80	ɣoizós	spear	canonical	7.50	80:ɣoizós:spear (7.50)	ɣoisos	spear	noun
ɣortos	ɣortos	"‘prison yard, prison camp’"	ɣortos	exact		*ǵʰer-	*ǵʰórtos *ǵʰórtosyo	FALSE		ɣortos /ɣortɔs/	gortos /gortɔs/	źartaz /ʒaʁtaz/		n. o m.				From EAD.				ɣor-t-					PIE *ǵʰórtos.	> ꭓortos											probable_new_entry	low_match	135	kóimos	"settlement, camp; home"	canonical	1.57	"135:kóimos:settlement, camp; home (1.57)"	ɣortos	"prison yard, prison camp"	noun
ɣostis	ɣostis	"‘guest, friend’"	ɣostis	exact		*gʰes- ?	*gʰóstis ~ *gʰostéys	FALSE		"ɣostis, -eis"	gostis ~ gosteis	gostiz ~ gostiŕi		n. i m.		NWIE		Since AD.				ɣos-t-					IELF 111: ghostis.	> χostis											probable_new_entry	low_match	257	sokiós	"friend, ally"	canonical	1.92	"257:sokiós:friend, ally (1.92) | 85:ɣostís:guest, stranger (1.92)"	ɣostis	"guest, friend"	noun
ɣvavis	ɣvavis	"‘throng, crowd; multitude’"	ɣvavis	dw0				FALSE						n. i f.				Since OD.																					probable_new_entry	low_match	321	βarkiéti	"cram, crowd"	canonical	0.17	"321:βarkiéti:cram, crowd (0.17)"	ɣvavis	"throng, crowd; multitude"	noun
ɣveltis	ɣveltis	"‘dangerous, violent, savage’"	ɣveltis	exact				FALSE		"ɣveltis, -i"				adj. i		"PK, PG"		"c.f. wild, PK gweltis [old-1: From EAD.]"				ɣwel-t-																	probable_new_entry	no_match							ɣveltis	"dangerous, violent, savage"	adj
ɣventis	ɣʷentis ~ ɣʷanteis	‘striking or beating to death’		old2_only		*gʷʰen-	*gʷʰéntis ~ *gʷʰn̥téys	FALSE	ɣʷentis	ɣventis /ɣʷentis/	gventis /gʷentis/	źentiz /ʒentiz/		n. ? ?																									probable_merge	partial_gloss	165	martís	death	canonical	2.58	165:martís:death (2.58)	ɣventis	striking; beating to death	noun
ɣveris	ɣʷeris ~ ɣʷereis	"‘wild, dangerous beast’; ‘wild (of an animal)’"	ɣveros	gloss	REVIEW:gloss-match	*ǵʰwer-	*ǵʰwer-is ~ *ǵʰwer-eis ?	TRUE		"ɣveris, -eis"	gveris	źeriz		n. i m/f.				! decide whether gʷʱ- > ɣʷ- or gʷʱ- > w	"comp. ꭓverios, superl. ꭓvertamos"			ɣwe-r-					PIE *gʰwer-os.	> χveros										old-1 form was 'ɣveros'	probable_merge	partial_gloss	97	ɣvḗr	"wild animal, beast"	canonical	2.88	"97:ɣvḗr:wild animal, beast (2.88) | 317:viðús:wild areas between farms/fields/settlements (1.35) | 93:ɣvarús:wild, beastly (0.03) | 98:ɣverīnos:having to do with wild animals (-0.09) | 99:ɣverīskos:having to do with wild animals (-0.09)"	ɣveris; ɣveros	"wild, dangerous beast; wild (of an animal)"	noun
ɣvoniom	ɣʷoni ~ ɣʷanies	"‘strike, blow, punch’"		old2_only		*gʷʰen-	*gʷʰón-i ~ *gʷʰn̥-y-és	FALSE	ɣʷoni ~ ɣʷaneis	ɣvoniom /ɣʷoniõ(m)/	gvoniom /gʷon.jõ(m)/	źoniō /ʒoɲō/		n. o n.																									probable_new_entry	no_match							ɣvoniom	"strike, blow, punch"	noun
iōra	iōra	"‘time, period, cycle, age’"	iōra	dw0				FALSE						n. a f.													PIE *yóh₁r̥ ~ *yéh₁n-												probable_new_entry	low_match	270	tánā	"stretch of time, length"	canonical	1.46	"270:tánā:stretch of time, length (1.46) | 141:kvéklos:wheel, circle; turn, cycle (1.41)"	iōra	"time, period, cycle, age"	noun
