headword	status	pc_form	pg_form	references	isogloss_typology	interpretation	interpretation_category	stratum	notes	page_anchor
Bellow	rejected			L258, IEW 255-256					MIr. dresacht ‘creaking noise’ cannot be related to LG drunsan ‘to bellow’ because the first e in the MIr. form is short, showing that the stem did not contain an n. Gallo-Lat. drensō ‘to cry (of swans)’ is not absolutely certain to be Gaulish in origin. All the forms may be sound-symbolic in origin, but there is no indication that forms were shared between Celtic and Germanic.	page:40
Berry	rejected			IEW 105, EDPC 58, EDPG 54					The MIr. glossary word basc ‘red’ has been connected to OE basu ‘purple’ < PG *baswa-. However, the wa-suffix is productive in Germanic chromonyms, making it more likely that *baswa- was derived from *bas/zja- ‘berry’, cf. Go. -basi, ON ber, OHG beri, within Germanic itself, and that the meaning ‘purple’ also arose secondarily, i.e. from ‘berry-colored’.	page:40
Boar	rejected			Jackson 1953, 324-330, Schrijver 1997, 304, EDPG 48					W baedd, OCo. bahet ‘(wild and domesticated) boar’ as well as PG *baiza- ‘id.’ have been argued to constitute borrowings from an unknown substrate language. However, the British Celtic forms may have been borrowed from West Germanic instead after British monophthongization of PC *ai > *ɛ ̄ , but before rhotacism in Germanic. Jackson dates this monophthongization to the first century CE. This date is most likely post-Proto-Germanic, which means it is outside the scope of this study.	page:40
Booty	rejected			L246, Kr136, Schm140, IEW 163, EDPC 72, H48					PC *boudi- ‘booty, victory’ appears related to ON býta ‘to deal out’, MLG būte, MHG biute ‘booty’, but the relationship cannot be one of a shared root. The ON must be borrowed from West Germanic, and the West Germanic requires a vowel *ū, which would imply a PIE *uH, but a laryngeal cannot be reconciled with the Celtic forms. A borrowing from Celtic to Proto-Germanic would be expected to yield PG *au, cf. PG *lauda- ‘lead’ < PC *loud-, so it is equally unattractive. Therefore the word can be borrowed from Gaulish into a West Germanic dialect. Gaul. ou may have been heard as ū in West Germanic which lacked an ou-diphthong, or Gaul. ou had shifted to *ū in parallel with Brittonic. This borrowed form then underwent the High German Consonant Shift whereby the d became a t; this High German form was then borrowed into Low German and from there into other Germanic languages.	page:40
Branch	rejected			L256, Blöndal 1989 529, EDPC 66					A formation *gʷistis is proposed to be unique to W bys ‘finger’ B biz ‘finger’, MIr. biss ega ‘icicle’ and ON kvistr m. ‘branch’. However, kvistr is a u-stem and may have undergone a change of *tw > *kw, in view of ME twist ‘bifurcation, branch of a tree’, in which case it must go back to PG *twistu- by dissimilation. The cognate set of ON kvisl ‘branch, fork’ vs. OE twisla ‘fork of river, road’ and OHG zwisila ‘twig’ offers a parallel for this change.	page:40
Break	rejected			L260, IEW 171, H54					The PIE root *bʰreus- has reflexes in OIr. bronnaid ‘spends, consumes, injures, damages’, OIr. bruïd ‘breaks in pieces, smashes, crushes’ W briw ‘wound, shreds; shattered’ as well as OE brȳsan ‘to bruise, break to pieces’ and OHG brōsma ‘crumb’, but the archaic meaning ‘to break, shatter’ is wellpreserved in both branches and is shared with Lat. frustum ‘fragment’ as well as with Shughni viraɣ ̌ - ‘to break’ (M. Kümmel, Addenda und Corrigenda zu LIV²). The rise of the meaning ‘to wound’ therefore appears independent in both branches.	page:40
Breast	rejected			L256, De Bhaldraithe 1981, 151, EDPG 76					MIr. brúasach has been connected with PG *breusta-in the meaning ‘strong-breasted’, giving a shared proto-form *bʰreus-to-. However, the OIr. brúasach rather means ‘thicklipped’, cf. ModIr. (dial.) bruas ‘(thick) lip’. Hence the semantic connection is too weak to maintain the comparison.	page:41
Bridge	rejected			L253, IEW 173, EDPC 79, EDPG 81					Gaul. briva top. ‘bridge’, brio gl. ponte (Endlicher glossary) and PG *bru(w)ī-, *brujjō- ‘bridge’ both appear to continue PIE *(h3)bʰruH- in the meaning ‘bridge’, but this meaning is shared with Slavic, cf. Slovenian brv ‘foot-bridge’.	page:41
Bring	rejected			L254, IEW 168, EDPC 76, EDPG 77					W hebrwng ‘to bring’, OCo. hebrenchiat ‘leader’, MCo. hembronk ‘leads’, B ambroug ‘escort’ with PG *bringan- ‘to bring’ have been suggested to constitute a shared a contamination of PIE roots *bʰer-‘to bring’ and *h2neḱ- ‘to reach’. However the Brittonic forms may rather be parsed as W heb-r-yng < PC *sekʷV-ro-enk-, leaving no similarity. Similarly, the Germanic strong verb may have evolved from the univerbation of *pro + *Henḱ-, for which cf. OAv. frąštā 3sg.aor.med. < *pro-Henḱ- may be adduced as a parallel.	page:41
Broom	rejected			IEW 104-105, H80					PC *banatlo ‘broom-plant, broom’ and PG *bōnjan- ‘to decorate, scrub, polish’ are considered CG expansions of *bʰeh2- ‘to shine’ with *-n-. However, in Celtic the semantic and morphological connection with this root is uncertain. Even if it is correct, the G verb is most probably a secondary factitive formation to an adjective *bōna- ‘shining’ < *bʰe/oh2-no-. Expansions with *-n- also appear in other branches, cf. Gr. φαίνω ‘to shine’, Arm. banam ‘to open, reveal’.	page:41
Cauldron	rejected			L249, IEW 642, LEIA C-74, EDPG 265					PC *kʷar-io- (Ir. coire, W pair, Co. pêr ‘cauldron’) has been compared to PG *hwera- (ON hverr ‘kettle’), as well as their respective expansions with *-n-: MIr. cern ‘dish’, ON hverna ‘pan, basin’. However the root is probably Indo-European, cf. Skt. carú- ‘kettle, pot’ < *kʷer-u-. The extension with *-n- is also found in OCS črěnъ ‘frying pan’, and MIr. cern can be a borrowing from Latin.	page:41
Cavalry	rejected			Kr140, LEIA R-2, H69, Ko9					A morphological isogloss between PC *ekʷo-reido- (OIr. echrad ‘steeds; cavalcade’, Gaul. PN Epo-rēdo-rīx, W ebrwydd ‘swift’) and PG *ehwa-raidō- (OE ēo-red ‘cavalry, band, troop’, OS eo-rid-folc ‘cavalry’, ON PN Jó-reiðr) must be rejected on the grounds that their ablaut grades differ, so their formation must be independent.	page:41
Clever	rejected			L257, IEW 358, Heidermanns 1993, 336					A direct connection between OIr. glicc ‘acute, shrewd, skilled’ and MDu. cloec ‘smart, brave’, MLG klōk ‘fine, dainty; cunning, wise’ (whence MHG kluoc, NHG klug) < *klōka- is unlikely, because the Germanic adjective is more likely to be related to OHG klecken ‘to suffice, be of use, succeed’ < *klakjan-. The semantic shift toward ‘cunning, wise’ appears peripheral within Germanic and therefore late.	page:41
Club	rejected			Marstrander 1915, 95, L262					An isogloss has been proposed for PC *lorgo- (MIr. lorg, W llory ‘staff, stick, club’, OCo. lorch gl. baculus) and ON lurkr ‘club, bludgeon’. However the Germanic word is not found outside of Nordic, and may be explained as a borrowing from Irish. The u-vocalism in ON lurkr may be accounted for by assuming an Old Irish oblique case form as the source, e.g. gen. sg. luirg, cf. ScG luirg.	page:41
Command	rejected			IEW 150-152, Pr122, EDPC 83, EDPG 61					PIE *bʰeudʰ- ‘to be awake, aware’ has undergone a semantic shift to ‘to notify, warn, command’ in Celtic and Germanic, cf. OIr. ad-boind ‘proclaims, gives notice’, MIr. robud, W rhybudd ‘warning’ and Go. biudan ‘to command, offer’, ON bjóða, OE bēodan OS biodan ‘to offer’. However, the same semantic range is also found in Baltic, cf. Lith. baũsti ‘to incite, move, compel’.	page:41
Conceal	rejected			L262, H44					OIr. for-múigthe, formúchta ‘smothered, concealed’ is compared with OHG mūhhen ‘lie in ambush for’ and ME micher ‘thief’, among others. However, the Irish verb for-múcha is clearly derived from múchaid ‘covers, suffocates, extinguishes’ (cf. B. migañ ‘to snuff’) and the meaning ‘conceal’ is most likely secondary within Irish. Furthermore, the root-final consonants are incompatible, Celtic requiring older *k, Germanic older *g.	page:41
Covering	rejected			L264, IEW 690-691, Blöndal 1989 583					OIr. lumman ‘cloak, mantle’ is close to D lomme (whence Icel. lumma, Sw. dial. lomme and NFri. lomm ‘pocket’), whence the assumption of a Celto-Germanic isogloss. An objection consists of the fact that in Germanic the word is restricted to Nordic, which makes it more likely to be a medieval loanword, possibly from Irish. The lack of Irish final -n in the Nordic languages may be the result of reanalysis as the definite article. Alternatively, in view of the imperfect semantic match, we may be dealing with a chance resemblance.	page:41
Crooked	rejected			IEW 601-602, H66, Orel 1998, 364, LIV² 332					OIr. cloen ‘crooked, sloping; unfair, evil’ from PC *kloino- and Go. hlain(s*) ‘hill’, Icel. hlein(n) ‘part of the loom; rest’, Far. leinur m. ‘side post of the (upright) loom’, Nw. dial. lein f. ‘steep slope; side; part of the loom’, from PG *hlaina- ‘hill’ both continue the PIE root *ḱlei- ‘to tip, incline, lean’ with a *-no-suffix. However, at least the no-stem noun has potential parallels in Ossetic (I) asin, (D) asinæ ‘stairs, ladder’ < Proto-Iranian *ā-srainā- and Alb. qye m. ‘peak, summit’ < PAlb. *klaina-.	page:42
Curds	rejected			L250, IEW 406, Irslinger 2002, 144, EDPG 306					A connection between OIr. gruth ‘curds, cheese’ and Nw. krodde ‘dregs, boiled cheese’ and ME crudde, curde ‘curds’ has been suggested. However it is preferable to reconstruct OIr. gruth as PC *gʷritu- < PIE *gʷʰr-tu-, cf. Skt. ghr ̥ tá- ‘ghee’. This root cannot be connected to the Germanic forms, which may in turn be derivatives of *kruttōn-, *kruddōn- ‘to pack, become dense’, which is in turn derived from *kreudan-, *krūdan- ‘to press, push forward’.	page:42
Dark	rejected			IEW 247-248, EDPC 95, EDPG 96					A connection between PG *dimma- ‘dark’, cf. ON dimmr, OE dimm ‘dark,’ and MIr. deime ‘darkness’ must be rejected because the PG appears to go back to a pre-PG *dʰémbʰ-no-, cf. Elfd. dimba ‘to fume, dust’. MIr. deime appears to have a single lenited *m which cannot go back to an earlier *mb < *mbʰ.	page:42
Dear	rejected			L261, EDPC 106					OIr. drúth ‘extravagant, wanton, harlot’ < PC *drūto- appears cognate with OE, OS drút ‘friend, beloved one’, OHG trút, NHG traut ‘dear, beloved’ < PG *drūda-. W drud ‘dear, daring, rash, fool’ must be borrowed from Goidelic in an early stratum to account for the vocalism, whereas B druz ‘fat, fit, fertile’ must be borrowed from early OFr. *dryð(ə) (OFr. dru ‘fat’), itself presumably from Gaul. *drūto-. The formation *dʰruH-to- appears shared with Lith. drū́tas ‘thick, strong, deep (of voice)’.	page:42
Death	rejected			Trautmann 1923, 285, IEW 1022-1027, LEIA U-31, H22,					A CG semantic shift PIE *sterbʰ- ‘to be stiff’ to ‘to die’ has been proposed for OIr. ussarb ‘death’ and OHG sterbo, OE steorfa ‘plague’. However the meaning ‘to die’ is also found in the related Ru. stérbnutь ‘to stiffen, die’, which shows that the proposed semantic shift is either trivial or archaic.	page:42
Destruction	rejected			IEW 545-547, EDPC 212, H59, EDPG 205					PC *kollo- ‘destruction, loss’ (W coll) and PG *halta- ‘lame, limping’ (Go. halts, etc.) are argued to contain a Celtic-Germanic isogloss whereby PIE *keld- ‘to strike, cut’ is uniquely continued by a formation *koldo-. However, *koldois not the only possible source of PC *kollo- and the poor semantic match does not warrant positing a unique root. Also, the formations are not strictly identical: Celtic would have to be a noun, i.e. PIE *kóld-o-, and the Germanic is an adjective, i.e. PIE *kold-ó-.	page:42
Die	rejected			L255, IEW 471, KPV 211-2, EDPC 53, EDPG 316					A semantic isogloss between OIr. at-baill ‘dies’ and PG *kwelan- ‘to suffer’ must be rejected because the OIr. contains a synchronically meaningless neuter infixed pronoun. A connection with PIE *gʷelh1- ‘throw’, (cf. Gr. βάλλω ‘throw’) is therefore preferable, because it allows for the reconstruction of an originally euphemistic ‘throws it (out)’ > ‘dies’. Even if a root connection between Celtic and Germanic exists, the isogloss is not exclusive in view of Lith. gãlas ‘end, butt, tip, finish, distance, death’, Latv. gãlas ‘end, tip, top, room, misery, death’, OPr. EV golis ‘death’, and OPr. Cat. gallan ‘death’ < *gʷolH-o-.	page:42
Disease	rejected			Demiraj 1997, 198; H16					PC *klamo- (OIr. clam ‘leprous’, W claf) has been connected with PG *skalmō (OHG scelm, scelmo, scalmo ‘pest, plague, dying off of cattle’, MLG schelm ‘cadaver’, ON skelmis-drep ‘plague, murrain’). However the Germanic forms are better reconstructed as *skel-man-, an mn-stem, and with the more common *e, not *a. Perhaps the G formation is rather related to Alb. helm m. ‘poison, toxin; venom, bane; sorrow’ < PAlb. *skalma-, *skalmi- or PIE *skelh1- ‘to dry up, wither’, cf. Gr. σκληρός ‘dry, withered’ < *sklh1-ró-, σκελετός ‘mummy, skeleton’ < *skelh1-eto-.	page:42
Dregs, draff	rejected			L249, IEW 251-252					A connection between MIr. drab ‘draff’, Ir. drabh, dramh ‘refuse’ and PG *drabiz- ‘dregs’ has been suggested, but MIr. drab appears to be a ghost word, while Ir. drabh, dramh may be a loanword from English.	page:42
Drink	rejected			L261, LIV²: 405-406, EDPC 241, EDPG 340,					PC *lītu- (OIr. líth, B lid ‘feast, rite’, W llid ‘anger, ferocity, passion’) and PG *līþu- (Go. leiþu, ON líð, OE līð, OFri. līth, OHG līd ‘strong drink’) both continue PIE *liH-tu-, but this formation is also found in Lith. dial. lytùs, Latv. lîts ‘rain’. The original verbs are found in Balto-Slavic, e.g. Lith. líeti (lejù), Latv. liêt ‘to pour’, OCS -li ‘poured’; these verbs show that Lith. dial. lytùs, Latv. lîts must originally have meant ‘pouring’. This meaning is rather close to Germanic ‘drink’, while the Celtic meaning ‘feast; anger’ is more distantly removed from both the Balto-Slavic and the Germanic. This leaves no Celto-Germanic morphological or semantic isogloss. In fact, the semantic distance makes it uncertain whether the Celtic forms belong to this root at all.	page:42
Drive 1	rejected			L254, IEW 392-393					W gyrru ‘to drive (cattle)’ has been connected to OE cierran ‘to turn, go’, MHG kerren ‘to turn’ through an alleged root *gers-. It is true that the OE and MHG words can continue PG *karzjan- < *gors-eie-, but then they would have to be disconnected from ON keyra ‘to drive, ride’ < *kaizwjan-, cf. Nw. keis ‘turn, corner’.	page:43
Drive 2	rejected			L261, EDPG 103					PG *drīban- ‘to drive’ may be connected to Ir. drip ‘bustle’, ScG drip ‘hurry, confusion’ if one accepts that PIE *-bʰ-ndeveloped into PC *pp. However, *pp is not reconstructable for PC and the Goidelic words are attested so late that the similarity is likely to be accidental.	page:43
Drop	rejected			L261, IEW 274-275, LEIA D-202, H94, EDPG 105					OIr., MoIr. drúcht ‘dew, drop’ has been reconstructed to PC *druxtu- < *drup-tu-, which has been compared to PG *drup(p)an- ‘drop’. However, OIr. drúcht has a long ú, which would have to be secondary to allow for a formal match.	page:43
Enemy	rejected			IEW 795, H41, EDPG 123					OIr. oech ‘enemy’ and PG *faiha- (OE fāh, fāg ‘guilty, outlawed, hostile’, OHG fēhida ‘hate, enmity’, Go. faih ‘deceit’) possibly continue the PIE root *peiḱ- ‘hostile’ in the o-grade, but the Celtic is a noun while the Germanic may be an adjective. An o-grade adjective of this root is also found in Lith. paĩkas ‘foolish’. OIr. oech is only attested in glossaries in the Old Irish period, and these glossary entries might be backformations of OIr. oígi ‘stranger’, making the root connection uncertain.	page:43
Eye	rejected			L263, IEW 775-777, EDPG 41					MIr. úag ‘hole’ has been connected to PG *augōn- ‘eye’, but this connection would come at the unacceptable cost of abandoning a connection between the Germanic word and PIE *h3okʷ- ‘eye’.	page:43
Fall	rejected			L254, IEW 542					W cwyddo ‘fall’ and PG *hittjan- ‘hit’ do not constitute an isogloss, because Lat. caedo ‘cut, fell’ may be plausibly related to either word.	page:43
Fat	rejected			IEW 970-971, Adams 2013, 731-732, EDPG 458					PIE *smeru- is shared between PC *smeru- ‘marrow’ and PG *smerwa- ‘butter, grease’, but also with TB ṣmare ‘smooth; oil’.	page:43
Fever	rejected			EDPC 225, H27, EDPG 248					PC *kritu- ‘trembling’ (W cryd ‘trembling, fever’) and PG *hrī̆þan- ‘fever’ (OS hrido, OHG rīdo) have been argued to uniquely share a lexeme. However, both continue PIE *kreh1(i)-‘to sieve, separate’, cf. Lat. crībrum ‘sieve’. The basic meaning ‘to sieve, shake’ is still found in both branches, cf. W crynu ‘to shake’, gogrynu ‘to sift’, OHG redan ‘to sift’ (< *hriþan-), and while the meaning ‘fever’ is old in Germanic, it is restricted to Welsh in Celtic.	page:43
First	rejected			L260, IEW 563-564, EDPC 201					PC *kentu- ‘first, lately’ has been compared to Go. hindumists ‘hindmost’. However, the latter is an internally Germanic formation built on the unrelated directional *hinē ‘from here’ < *ḱi-neh1 (with the suffix *-duman- < *-tmH-o-). The Celtic form rather belongs to Lat. re-cens, -tis ‘new, recent, lately’, containing the PIE root *k(e)n- ‘young’, cf. Gr. καινός ‘new, fresh’ < *kn-io-.	page:43
Fish	rejected			Hellquist 1922, 21, L252, EDPC 119, EDPG 38					PC *esok- ‘salmon’ looks somewhat similar OHG asco ‘grayling’, but a shared proto-form cannot be reconstructed. The ultimate origin of the Celtic is unknown and may well be of substrate origin (cf. Stifter, this volume). OHG asco may be derived from PG *askō- ‘ashes’ or *aska- ‘ash tree’; a parallel instance of a fish-name derived from a tree-name is Sw. asp ‘asp’ from its homophone meaning ‘aspen’.	page:43
Flower	rejected			L251, IEW 122, EDPC 67, EDPG 70					PC *blātu- ‘flower, blossom’ (OIr. bláth, W blawd) has been connected to PG *blōdi- ‘bloom’ (OE blēd ‘shoot, branch, flower, fruit’, OHG bluot ‘blossom, blossoming’). However the root connection must be PIE through the root *bʰleh3- ‘to blossom, flower’, cf. Lat. flōs ‘flower’. Moreover, the formations are different: Celtic has a derivation in *-tu- versus Germanic *-ti-.	page:43
Ford	rejected			L255, Kr125, IEW 816-817, EDPC 141, EDPG 160					PC *ϕritu- ‘ford’ is semantically and formally identical to PG *furdu- ‘ford’, both from PIE *pr-tu-. However, the same formation is also present in the semantically close Av. pərətu-, pəšu- ‘gangway, passage, ford, bridge’.	page:43
Forehead	rejected			L256, IEW 48-50, Adams 2013, 49					OIr. étan ‘forehead’ is related to ON enni, OHG andi, endi ‘forehead’ < PIE *h2ent-. Here a shared Celto-Germanic semantic shift from ‘front’ to ‘forehead’ has been assumed, but this meaning is also found in Anatolian, cf. Hitt. ḫant-‘front, forehead’, Hieroglyphic Luwian hant- ‘face, forehead’ and Tocharian, ToA ānt, ToB ānte ‘surface, forehead’.	page:44
Fortification	rejected			SBCHP 447, 454, EDPC 194					OE heaðor ‘restraint, confinement’ has been connected to OIr. caithir ‘fort, enclosure, settlement’. However, the semantic match is unconvincing, and Ir. caithir may anyway be borrowed from Lat. castrum ‘fort’, as was W caer ‘fortress’, W ker ‘town’.	page:44
Frighten	rejected			L257					OIr. fo-botha ‘frighten’ appears similar to OS under-badon ‘to oppress, frighten’, but prototonic forms of the former verb in -fubth- show that the root contains *u, not *o, making it formally irreconcilable with the latter (David Stifter, p.c.). Moreover, the Old Saxon may have an intra-Germanic connection in Nw. bada ‘to weigh down, press; to knead’, which could be related to Skt. bā́dhate ‘presses, troubles, opposes’ < *bʰeHdʰ-. The laryngeal and the rootfinal *-dʰ- would also eliminate OIr. fo-botha as a potential cognate.	page:44
Furrow	rejected			L250, IEW 821, EDPG 160					PC *ϕrikā ‘furrow’ (Gallo-Lat. rica, cf. Cat. rega, OFr. roie) and PG *furh- ‘furrow’ (ON for, OE furh, OHG furuh) identically continue the zero grade of the PIE root *perḱ-, but so does Lat. porca ‘ridge between furrows’ < *p(o)rḱ-eh2-.	page:44
Genitalia	rejected			L255, Birkhan 2012					PC *buzdo- ‘penis’ has been connected to the OE Runic name peorð, whose meaning is not directly attested. The meaning ‘vulva’ is inferred on the basis of a kenning by Lane, but ‘pear tree’ has been suggested as well by Birkhan. Either way, the connection with PC *buzdo- seems impossible.	page:44
Ghost	rejected			L259, H4					OIr. air-drech ‘ghost’ has been connected to ON draugr ‘ghost’, assuming that they uniquely share a semantic development of PIE *dʰrougʰ-o- ‘lie, deceit’ toward ‘ghost’. However the -drech in the OIr. form is more likely to be from drech ‘vision’. This leaves no shared etymology for air-drech and draugr.	page:44
Goblin	rejected			L259, LEIA B62–63, H18					MIr. boccánach, W bwg, bwga ‘ghost, hobgoblin’, bwgan ‘bogey, ghost’ appears similar to Swabian bockelman, English bogey. However the Middle Irish appears derived from boc ‘hegoat’, whereas W bwg, bwga is attested only from the seventeenth century onwards, and is in all likelihood borrowed from ME bugge ‘bogey, hobgoblin; scarecrow’.	page:44
Good	rejected			L257					OIr. remor ‘thick, fat’ has been connected to MHG frum ‘capable, good’, but the Germanic is more likely from PG *fruman- ‘former, first’, with a semantic shift which is paralleled by the range of meanings found in English prime ‘first, most important, excellent’.	page:44
Green	rejected			L258, IEW 429-434, EDPG 180					PC *glasto- ‘blue, green, gray’ and PG *glasa-, *glaza- ‘glass’ have been connected. However, the Celtic and Germanic words are clearly different formations and the semantic gap points to derivation from two different roots, i.e. PIE *ǵʰelh3- ‘green’ and *ǵʰleh1- ‘to glow’.	page:44
Grudge	rejected			L248, IEW 760, EDPC 291, Adams 2013, 291, H38					PC *nītu- (OIr. níth ‘battle, fury, anger’), *neitV- (W nwyd ‘temperament’) and PG *nīþa- (Go. neiþ ‘jealousy’, ON níð ‘libel’, OE nīþ ‘envy’, OHG nīd ‘battle-rage, hate’) are most likely etymologically related, but this root is not exclusively shared between C and G, cf. ToB ñ(y)ātse ‘danger, plague, distress’ < *niH-tio-. A connection with Lat. nīteo ‘to be radiant, shine’ suggested by IEW is semantically unconvincing.	page:44
Gull	rejected			Schrijver 1997, 305, EDPG 349					PG *maiwa- and a Gaul. *maw- have been suggested to be loanwords from a common substrate. However the Gaulish is only indirectly attested in Gallo-Romance, e.g. French moue ‘gull’ < *mawa-. This Gallo-Rom. *mawa- may simply be borrowed directly from Germanic, either because the word is borrowed from a Germanic dialect with PG *ai > ā or due to limitations of Gallo-Romance phonology. A borrowing from Germanic to Romance would remove the need for an unattested Gaulish word without any Insular Celtic cognates.	page:44
Guts	rejected			L256, IEW 344, EDPC 115					OIr. inathar ‘guts’ and OCo. enederen gl. exstum have been considered cognate to PG *ēþrō-, *ēdrō- ‘vein, rivulet’, however another cognate is Gr. ἦτρον ‘abdomen’, which would make the isogloss a nonexclusive.	page:44
Hand, fist, clutch	rejected			Heinertz 1915, 319-322, L256					MIr. glacc f. ‘hand, grasp’ < *glakkā has been connected to OE clyccean ‘to grasp, seize’ < *klukjan-, Sw. klyka ‘crutch’, OFri. kletsie ‘spear’ < *klūkjan-/*kleukjōn- (whence possibly PSl. *kljuka, cf. Ru. kljuká ‘crutch’, SCr. kljȕka ‘hook, doorknob’). However the vocalism of these forms precludes a shared proto-form and no scenario for borrowing presents itself. As a last resort, one could assume independent borrowings from an unknown source, but there is nothing else in favor of this.	page:45
Harrow	rejected			L250, IEW 18-22, EDPG 4					PC *oketā ‘harrow’ has been argued form a morphological isogloss with OHG egida, OE egede ‘harrow’, but Lat. occa ‘id’ may also continue *oketā- (through metathesized *otekā-). In addition, if the PG forms go back to *ageþjō- rather than *agiþō- (allegedly regular from *h2oḱeteh2-), they would formally correspond to Baltic rather than Celtic, cf. OPr. aketes, Lith. akė́čios ‘harrow’.	page:45
Hatred	rejected			L257, Birkhan 1967, Rübekeil 2001, H64					Celtic and Germanic derivatives of PIE *ḱeh2d- ‘uneasiness, displeasure’ have been suggested uniquely to mean ‘hatred’ in these branches. However some Celtic descendants have broader meaning, e.g. W cawdd ‘anger, wrath’, B keuz ‘regret, anguish’ and Oscan gen.sg. cadeis ‘hostility’ is within the range of meanings assumed to be specific to Celtic and Germanic.	page:45
Heap	rejected			L251, IEW 140-141, EDPG 60					W bera ‘rick, heap, stack’ and PG *berga- ‘mountain’ may both continue PIE *bʰerǵʰ-’high’, but reflexes of this root are also found in Arm. barjr, Hitt. parku-, Skt. br ̥ hánt- ‘high’. Use as a noun is also found in Arm. berj ‘height’.	page:45
