line,type,before,after
15856,merged_false_heading_into_discussion,"#### It is undear if / **PSL** *telkti is in any way connected with PSL *talka, Lith. →talka 'unpaid work, party of workers', and therefore with telkti. OPr. tlaku has been regarded as a borrowing from Pl. tloczyc 'stamp, tread' (e.g. Trautmann ň910: 450 ), but Endzelins's emendation talku (1943: 265) is accepted by Mažiulis (PKEZ IV: 196).","It is unclear if PSL *telkti is in any way connected with PSL *talka, Lith. →talka 'unpaid work, party of workers', and therefore with telkti. OPr. tlaku has been regarded as a borrowing from Pl. tloczyc 'stamp, tread' (e.g. Trautmann ň910: 450 ), but Endzelins's emendation talku (1943: 265) is accepted by Mažiulis (PKEZ IV: 196)."
15890,merged_false_heading_into_discussion,"#### Therootis / **PIE** *temH-, cf. →tamsus.","The root is PIE *temH-, cf. →tamsus."
16193,merged_false_heading_into_discussion,"#### The relationship with / **PSL** *driskati 'suffer from diarrhoea' and PGmc. *dritan 'defecate' is unclear, as is the original tone of the root. Kroonen (2013: 104), who reconstructs *treidh- for Lithuanian, considers metathesis, provided that the Germanic form is based on an iterative *dritton < *dhreit-neh2.","The relationship with PSL *driskati 'suffer from diarrhoea' and PGmc. *dritan 'defecate' is unclear, as is the original tone of the root. Kroonen (2013: 104), who reconstructs *treidh- for Lithuanian, considers metathesis, provided that the Germanic form is based on an iterative *dritton < *dhreit-neh2."
16962,merged_false_heading_into_discussion,"#### Therootis / **PIE** *uert- 'turn' (→vartyti, →versti).","The root is PIE *uert- 'turn' (→vartyti, →versti)."
17149,merged_false_heading_into_discussion,"#### The root is usually identified as / **PIE** *uelhr, cf. Hitt. yalb-z; 'hit, strike', Gk. ė<lAwv 1sg. aor. 'was captured'. The Lithuanian circumflex must be secondary. The variant vllės Npl. 2, which does not occur in the LKZe, is mentioned by Būga (RR l: 582).","The root is usually identified as PIE *uelhr, cf. Hitt. yalb-z; 'hit, strike', Gk. ė<lAwv 1sg. aor. 'was captured'. The Lithuanian circumflex must be secondary. The variant vllės Npl. 2, which does not occur in the LKZe, is mentioned by Būga (RR l: 582)."
17711,lemma_case_fix,#### VOS,#### vos
18585,merged_false_heading_into_discussion,"#### This etymon may be identical with / **PSL** *žely 'tortoise', which is probably cognate with Gk. xeAu<; f, XEAŪv11 f. 'land-turtle'.","This etymon may be identical with PSL *žely 'tortoise', which is probably cognate with Gk. xeAu<; f, XEAŪv11 f. 'land-turtle'."
19526,merged_false_heading_into_discussion,"#### If the root is indeed / **PIE** *h1es 'be', the e- of the Slavic forms as opposed to the *oelsewhere (Old Prussian being ambiguous) may be an instance of ablaut or a result of ""Rozwadowski's change': The Greek forms may continue *op-ahara, where *op- is the prefix 6m- and the second element a heteroclitic neuter *ohar < *h1os-r (Beekes 2010: 1095). Fi. kesa m. 'summer' may be a borrowing from Indo-European (cf. Koivulehto 1991: 16-18).","If the root is indeed PIE *h1es 'be', the e- of the Slavic forms as opposed to the *oelsewhere (Old Prussian being ambiguous) may be an instance of ablaut or a result of ""Rozwadowski's change': The Greek forms may continue *op-ahara, where *op- is the prefix 6m- and the second element a heteroclitic neuter *ohar < *h1os-r (Beekes 2010: 1095). Fi. kesa m. 'summer' may be a borrowing from Indo-European (cf. Koivulehto 1991: 16-18)."
17876,merged_false_heading_into_discussion,"#### For a reconstruction of the / **PIE** ablaut pattern, I refer to Kortlandt i985b: 119. ...","For a reconstruction of the PIE ablaut pattern, I refer to Kortlandt i985b: 119. ..."
11690,field_label_repair,L!TH piemuo ... PIE ... IE ...,**LITH** piemuo ... / **PIE** ... / **IE** ...
12234,field_label_repair,Lith. plasti ...,**LITH** plasti ...
12246,field_label_repair,Lith. plati ...,**LITH** plati ...
12455,field_label_repair,urn pusti ... LATV pust ...,**LITH** pusti ... / **LATV** pust ...
