normalized_occurrence_id	source_id	form_raw	normalized_form	search_key	script	form_type	language_guess	language_normalized	gloss_or_translation	gloss_normalized	printed_page	pdf_page	section_or_chapter	source_pattern	quality_flags	context	resolution_status	resolution_action	include_in_unique	human_collation_note
WATKINS-NFORM-00015	WATKINS-FORM-01399	and kamnafsuua-	and kamnafsuua-	and kamnafsuua	latin-script	attested_or_cited_form	Indo-European	Avestan/Old Iranian	few cattle	few cattle	15	32	2. Sketch for a history of Indo-European poetics	form_plus_single_quote_gloss		nt of the Avestan pair pasu- 'cattle' and nar- 'man' as against pasu- and vira- in the same meaning. His restriction leads him to ignore the Old Avestan kamnanar- 'having few men' and kamnafsuua- 'few cattle' (Y.46.2), astutely discussed by Benveniste 1968, 1969:1.49. The collection of formulaic phrases common to two or more Indo-European poetic traditions has proceeded at a slow but steady pace f	not-suspect		true	
WATKINS-NFORM-00016	WATKINS-FORM-01397	and nar-	and nar-	and nar	latin-script	attested_or_cited_form	Old Avestan	Avestan/Old Iranian	man	man	15	32	2. Sketch for a history of Indo-European poetics	form_plus_single_quote_gloss		two-footed, four-footed'. See on these Watkins 1979a. A good example of the unfortunate consequences of Schlerath's restriction is his treatment of the Avestan pair pasu- 'cattle' and nar- 'man' as against pasu- and vira- in the same meaning. His restriction leads him to ignore the Old Avestan kamnanar- 'having few men' and kamnafsuua- 'few cattle' (Y.46.2), astutely discussed by Benveniste 1968,	not-suspect		true	
WATKINS-NFORM-00017	WATKINS-FORM-01409	and Old Avestan yauuaeji-	and Old Avestan yauuaeji-	and old avestan yauuaeji	latin-script	attested_or_cited_form	Indo-European	Avestan/Old Iranian	living forever	living forever	16	33	2. Sketch for a history of Indo-European poetics	form_plus_single_quote_gloss		hael Weiss in his Cornell dissertation6 argued convincingly that Latin iugis 'everflowing', Greek 'healthy', Cypriote uwais(e) zan 'forever and ever', Gothic ajuk-dups 'eternity', and Old Avestan yauuaeji- 'living forever' are all direct or indirect reflexes of an Indo-European collocation of *h2oiu- 'lifetime, eternity' and *guih3- 'to live', manifested in a compound *h2iu-guih3-. Continued study	not-suspect		true	
WATKINS-NFORM-00018	WATKINS-FORM-02219	and Old Persian vi-taraya-	and Old Persian vi-taraya-	and old persian vi-taraya	latin-script	attested_or_cited_form	Hittite	Avestan/Old Iranian	cross	cross	344	361	34. Second variant: The root *terh₂-	form_plus_single_quote_gloss		tions of possible Indo-Iranian date are Rigvedic turvasi and Gathic Avestan *tauruudma (Y. 28.6 for mss. tauruuaiiama, for metrical reasons), as well as Rigvedic turdyati 'rushes' and Old Persian vi-taraya- 'cross'. We have *trh2-io- in the imperative in RV 8.99.5 vis'vatur asi / tvdm turya tarusyatdh 'you are all-overcoming; do you overcome those who would overcome (you)!' Hittite tariya- 'tire'	not-suspect		true	
WATKINS-NFORM-00019	WATKINS-FORM-01606	and priest, related to German schauen	and priest, related to German schauen	and priest related to german schauen	latin-script	attested_or_cited_form	Lydian	Avestan/Old Iranian	look	look	88	105	6. The poet's truth: The power, particularity, and perseveration of the word	form_plus_single_quote_gloss		of IE *men-) is satya-, veridical; it will come true, since it is fashioned and spoken (-sasta) by a true poet (kavi). In kavi we have an old Indo-European word for the poet-seer and priest, related to German schauen 'look', English show. Cognates are Old Avestan kauui a poetpriest, Greek (Hesychius) or a priest of the mysteries of Samothrace, and Lydian kaves, a kind of priest: t	not-suspect		true	
WATKINS-NFORM-00020	WATKINS-FORM-01394	and Umbrian ueiro pequo	and Umbrian ueiro pequo	and umbrian ueiro pequo	latin-script	attested_or_cited_form	Umbrian	Avestan/Old Iranian	men [and] cattle	men [and] cattle	15	32	2. Sketch for a history of Indo-European poetics	form_plus_single_quote_gloss		ollection. A famous example first compared by Jacob Wackernagel in 1910 (reprinted in Schmitt 1968:30-33) is that of Avestan pasu. vira, a dual dvandva compound 'cattle [and] men' and Umbrian ueiro pequo 'men [and] cattle', possibly showing the same archaic syntax. Comparable expressions from the other traditions like the Roman poet Ovid's pecudesque virosque (Met. 1.286) were subsequently added b	not-suspect		true	
WATKINS-NFORM-00021	WATKINS-FORM-02152	and ustdna-	and ustdna-	and ustdna	latin-script	attested_or_cited_form	Latin	Avestan/Old Iranian	vitality	vitality	320	337	29. The root *gʷhen-: Avestan jan-	form_plus_single_quote_gloss		llspring of riches' RV 6.36.4, and the Common Indo-Iranian khdm rtdsya 'wellspring of Truth' RV^2.28.5, asahexd 'id.' Y. 10.4. Cf. note 1 above. Finally the parallel gaiia- 'life' and ustdna- 'vitality' recall the Italic merism in Latin uires uitaque, Oscan biass biitam, discussed in chap. 18. 14. For a recent discussion of YAv. metrics see Lazard 1984. 15. Cf. Benveniste and Renou 1934:34-5, 69,	not-suspect		true	
WATKINS-NFORM-00022	WATKINS-FORM-02036	andMitra-atithi-	andMitra-atithi-	andmitra-atithi	latin-script	attested_or_cited_form	Germanic	Avestan/Old Iranian	having M. as GUEST	having M. as GUEST	246	263	22. ‘Truth of truth’, ‘most kavi of kavis’, ‘throng-lord of throngs’: An Indo-Iranian stylistic figure	form_plus_single_quote_gloss		g'13 which reaches from India to Western Europe, in some of the earliest monuments of Celtic and Germanic. With the two names Upama-s'ravas- < *upmmo-kleues- 'having SUPREME fame' andMitra-atithi- 'having M. as GUEST' compare the Lepontic Celtic personal name UVAMO-KOZIS < *upnimo-ghostis 'having SUPREME GUESTS'; the Runic Germanic personal name (Gallehus horn) hlewa-gastiR < *Kleuo-ghostis 'havin	not-suspect		true	
WATKINS-NFORM-00023	WATKINS-FORM-01405	argued convincingly that Latin iugis	argued convincingly that Latin iugis	argued convincingly that latin iugis	latin-script	attested_or_cited_form	Old Avestan	Avestan/Old Iranian	everflowing	everflowing	16	33	2. Sketch for a history of Indo-European poetics	form_plus_single_quote_gloss		ek μέγας ὄγμος 'the great path, way (of the horses of the moon's chariot)' (Homeric Hymn to Selene 32.11).5 In the following year, 1993, Michael Weiss in his Cornell dissertation6 argued convincingly that Latin iugis 'everflowing', Greek 'healthy', Cypriote uwais(e) zan 'forever and ever', Gothic ajuk-dups 'eternity', and Old Avestan yauuaeji- 'living forever' are all direct or indirect reflexes o	not-suspect		true	
WATKINS-NFORM-00024	WATKINS-FORM-01955	as evidenced both in Avestan hauruua.fsu-	as evidenced both in Avestan hauruua.fsu-	as evidenced both in avestan hauruua.fsu	latin-script	attested_or_cited_form	Avestan	Avestan/Old Iranian	with intact livestock	with intact livestock	213	230	17. Some Indo-European prayers: Cato's lustration of the fields	form_plus_single_quote_gloss		pas-tores may be a formulaic echo of pah2-, and the Italic phrase salua seru note the echoic consonantism s - lu- s - ru} which replaced *pah,~ may have formulaic links with peku- as evidenced both in Avestan hauruua.fsu- 'with intact livestock' (: salua) and Avestan (spa-) pasus.hauruua- 'sheep-guarding (dog)' (: seruassis). Recall the link defendere - seruare, and compare Vergil Ed. 7.47 solstit	not-suspect		true	
WATKINS-NFORM-00025	WATKINS-FORM-02155	as the Hittite common noun for	as the Hittite common noun for	as the hittite common noun for	latin-script	attested_or_cited_form	Avestan	Avestan/Old Iranian	snake	snake	321	338	30. The root *gʷhen-: Hittite kuen- and the Indo-European theme and formula	form_plus_single_quote_gloss		extract an Indo-European mythological theme with partial lexical expression: 1. The myth is edited and translated by Gary Beckman (1982), who doubtless correctly takes illuyanka- as the Hittite common noun for 'snake' or 'serpent.' 2. For the thematization of the Avestan form cf. K. Hoffmann 1975:73. <!-- pdf-page: 339; printed-page: 322 --> HERO SLAY (*gʷhen-) SERPENT. The verbal for	not-suspect		true	
WATKINS-NFORM-00026	WATKINS-FORM-02218	as well as Rigvedic turdyati	as well as Rigvedic turdyati	as well as rigvedic turdyati	latin-script	attested_or_cited_form	Avestan	Avestan/Old Iranian	rushes	rushes	344	361	34. Second variant: The root *terh₂-	form_plus_single_quote_gloss		rossing', Avestan titarat. Other formations of possible Indo-Iranian date are Rigvedic turvasi and Gathic Avestan *tauruudma (Y. 28.6 for mss. tauruuaiiama, for metrical reasons), as well as Rigvedic turdyati 'rushes' and Old Persian vi-taraya- 'cross'. We have *trh2-io- in the imperative in RV 8.99.5 vis'vatur asi / tvdm turya tarusyatdh 'you are all-overcoming; do you overcome those who would ov	not-suspect		true	
WATKINS-NFORM-00027	WATKINS-FORM-02019	asam... hapti	asam... hapti	asam... hapti	latin-script	attested_or_cited_form	Old Avestan	Avestan/Old Iranian	cares for Truth	cares for Truth	237	254	21. Strophic structures in Iranian	form_plus_single_quote_gloss		uidiidmahi 'we show reverence, we bring invigoration'. 10. The collocation rtdm sap- 'care for Truth' (5.68.4 etc.) and in this compound is also a Common Indo-Iranian verb phrase: asam... hapti 'cares for Truth' Y.31.22. Cf. Schlerath 1968 and Kellens-Pirart 1991:76. 11. The compound medhd-sati- '(having) the seeking of the sacrificial offering' (verb son') should be compared to the Old Avestan ve	not-suspect		true	
WATKINS-NFORM-00028	WATKINS-FORM-02566	Avestan bairista-	Avestan bairista-	avestan bairista	latin-script	attested_or_cited_form	Avestan	Avestan/Old Iranian	"best helping, caring for"",

<!-- pdf-page: 508; printed-page: 491 -->
have precisely the"	"best helping, caring for"",

<!-- pdf-page: 508; printed-page: 491 -->
have precisely the"	490	507	51. To be the death of: Transformation of the formula	form_plus_single_quote_gloss		"1948:20, 26. 6. Debrunncr, AiGr. II 2.443ff., citing Panini 5.3.59 and 6.4.154. This is unlikely to be original, in the light of the unique equation with Greek 'best': Avestan bairista- 'best helping, caring for"", <!-- pdf-page: 508; printed-page: 491 --> have precisely the 'be the death of predication in RV 6.37.5: indro vrtram hanistho astu satva Let Indra be the best slayer (most"	not-suspect		true	
WATKINS-NFORM-00029	WATKINS-FORM-02215	beside thematic tarratta	beside thematic tarratta	beside thematic tarratta	latin-script	attested_or_cited_form	Avestan	Avestan/Old Iranian	is able	is able	344	361	34. Second variant: The root *terh₂-	form_plus_single_quote_gloss		ur- and Greek -τωρ reflect a zerograde *-trh,-. The verb is amply attested in the older Indo-European dialects. We have root athematic Hittite tarh-, tarahzi- 'overcomes; is able' beside thematic tarratta 'is able' < *terh2-o(r). Cuneiform Luvian shows reduplicated tatarhandu. Note also Indo-Iranian reduplicated titar- 'cross, overcome' in Rigvedic titrat- 'crossing', Avestan titarat. Other format	not-suspect		true	
WATKINS-NFORM-00030	WATKINS-FORM-02586	cf. Ved. hatas and adri-samhatas	cf. Ved. hatas and adri-samhatas	cf. ved. hatas and adri-samhatas	latin-script	attested_or_cited_form	Germanic	Avestan/Old Iranian	squeezed by the pressing stones	squeezed by the pressing stones	504	521	53. The basic formula and the announcement of death	form_plus_single_quote_gloss		of προσ-.7 Greek -φατος from *gʷhṇ-tó-, as in Hom. μυλήφατος 'crushed by the mill', Ἀρείφατος 'slain by Ares', is one of the most securely reconstructible lexemes in the language: cf. Ved. hatas and adri-samhatas 'squeezed by the pressing stones', Avestan and Old Persian jata- and avajata-, Lithgifitas 'driven (of cattle)', Old Irish do-get 'was violated'. To anticipate the Germanic evidence cited	not-suspect		true	
WATKINS-NFORM-00031	WATKINS-FORM-02016	cnu	cnu	cnu	latin-script	attested_or_cited_form	Irish	Avestan/Old Iranian	fame (conveyed by the poet)	fame (conveyed by the poet)	237	254	21. Strophic structures in Iranian	form_plus_single_quote_gloss		ly like those discussed in chap. 3: Greek V 'victory: honor (conveyed by the poet)' and Old Irish duan: duos 'poem': 'recompense for a poem', or Classical Modern Irish cM: cnu 'fame (conveyed by the poet)': 'nut, metaphor for the recompense for a poem'. The same encoding of sequences of ritual language into metrical hymnic poetry with a personal touch is found in the exuberant first strop	not-suspect		true	
WATKINS-NFORM-00032	WATKINS-FORM-02239	duuaesa tauruuama	duuaesa tauruuama	duuaesa tauruuama	latin-script	attested_or_cited_form	Old Irish	Avestan/Old Iranian	overcome hostilities	overcome hostilities	351	368	35. Latin tarentum, the ludi saeculares, and Indo-European eschatology	form_plus_single_quote_gloss		r une etendue perilleuse ou accidentee.' We have common Indo-Iranian figures in Ved. taraddvesas- = Av. taro.tbaesah- 'overcoming hostility'; RV 3.27.3 ati dvesamsi tarema, Y. 28.6duuaesa tauruuama 'overcome hostilities'; RV 6.2.4. dvisodmho ndtarati 'he goes through the enemy as through straits'. In both Neo- and Old Hittite note LUKUR 5. For other metaphors in this semantic realm, cf. Old Irish	not-suspect		true	
WATKINS-NFORM-00033	WATKINS-FORM-01938	followed by pihatu	followed by pihatu	followed by pihatu	latin-script	attested_or_cited_form	Young Avestan	Avestan/Old Iranian	purify	purify	210	227	17. Some Indo-European prayers: Cato's lustration of the fields	form_plus_single_quote_gloss		rsmo magistrates (and) formulations, uiro pequo men (and) cattle, castruo frif heads [of grain]20 (and) crops, ``` followed by pihatu 'purify' (6x) or salua seritu 'keep safe' (7x). As has been known since 191021 uiropequo is an Indo-European formulaic merism 'MEN (and) CATTLE', on the comparison of Young Avestan/?a.sM(.)vira 'id.' i	not-suspect		true	
WATKINS-NFORM-00034	WATKINS-FORM-02251	For the s-stem noun taras-	For the s-stem noun taras-	for the s-stem noun taras	latin-script	attested_or_cited_form	Old Irish	Avestan/Old Iranian	force permettant de traverser	force permettant de traverser	353	370	35. Latin tarentum, the ludi saeculares, and Indo-European eschatology	form_plus_single_quote_gloss		"yata vaco yasya tarema tarasa satam himah ``` ```text Accept well this hymn, o Maruts, by whose ""crossing-power"" may we cross 100 winters ``` For the s-stem noun taras- 'force permettant de traverser' (Renou, EVP ad loc.) compare the frozen zero-grade adverb Ved. tirds, Avestan taro 'across', Old Irish tar h- 'over'. The Roman ritual for the dead at the Tarent"	not-suspect		true	
WATKINS-NFORM-00035	WATKINS-FORM-02568	from the Avestan agent nouns basar-	from the Avestan agent nouns basar-	from the avestan agent nouns basar	latin-script	attested_or_cited_form	Avestan	Avestan/Old Iranian	bridle, halter	bridle, halter	491	508	51. To be the death of: Transformation of the formula	form_plus_single_quote_gloss		and then is finally defeated by him. The formulation is identical in the two verse narratives; only the case marking switches (Yt. 8.22 and 28): ```text and the semantic distance from the Avestan agent nouns basar- 'bridle, halter' from Ir. *bartar- (Hoffmann 1992:163-83) OT baratar-(lr. *brtar-) 'remembrancer and propagator for the religion' (Benveniste 194	not-suspect		true	
WATKINS-NFORM-00036	WATKINS-FORM-01408	Gothic ajuk-dups	Gothic ajuk-dups	gothic ajuk-dups	latin-script	attested_or_cited_form	Indo-European	Avestan/Old Iranian	eternity	eternity	16	33	2. Sketch for a history of Indo-European poetics	form_plus_single_quote_gloss		the following year, 1993, Michael Weiss in his Cornell dissertation6 argued convincingly that Latin iugis 'everflowing', Greek 'healthy', Cypriote uwais(e) zan 'forever and ever', Gothic ajuk-dups 'eternity', and Old Avestan yauuaeji- 'living forever' are all direct or indirect reflexes of an Indo-European collocation of *h2oiu- 'lifetime, eternity' and *guih3- 'to live', manifested in a compound	not-suspect		true	
WATKINS-NFORM-00037	WATKINS-FORM-01406	Greek	Greek	greek	latin-script	attested_or_cited_form	Indo-European	Avestan/Old Iranian	healthy	healthy	16	33	2. Sketch for a history of Indo-European poetics	form_plus_single_quote_gloss		f the moon's chariot)' (Homeric Hymn to Selene 32.11).5 In the following year, 1993, Michael Weiss in his Cornell dissertation6 argued convincingly that Latin iugis 'everflowing', Greek 'healthy', Cypriote uwais(e) zan 'forever and ever', Gothic ajuk-dups 'eternity', and Old Avestan yauuaeji- 'living forever' are all direct or indirect reflexes of an Indo-European collocation of *h2oiu- 'lifetime,	not-suspect		true	
WATKINS-NFORM-00038	WATKINS-FORM-02191	guuo.d bis aes m m vadaiioit	guuo.d bis aes m m vadaiioit	guuo.d bis aes m m vadaiioit	latin-script	attested_or_cited_form	Luvian	Avestan/Old Iranian	who would destroy the fury caused by the deceitful	who would destroy the fury caused by the deceitful	337	354	33. ‘Like a reed’: The Indo-European background of a Luvian ritual	form_plus_single_quote_gloss		i-u-i-ta-i 'strikes, urges' (1979:265ff., cf. 1984:151). The lengthened grade *e appearing in Luvian widai- and wiwidai recalls in formation the Gathic Avestan verb in Y. 29.2y dr guuo.d bis aes m m vadaiioit 'who would destroy the fury caused by the deceitful'.4 Luvian witpani- in our passage is obscure in form and meaning, but Melchert is perhaps right in taking it as making a real or imagined e	not-suspect		true	
WATKINS-NFORM-00039	WATKINS-FORM-02506	he tauruuaiiatam tbaesa anrahe mainiiSus druuato	he tauruuaiiatam tbaesa anrahe mainiiSus druuato	he tauruuaiiatam tbaesa anrahe mainiisus druuato	latin-script	attested_or_cited_form	Avestan	Avestan/Old Iranian	"These two overcame
the hostilities of the deceitful Evil Spirit"	"These two overcame
the hostilities of the deceitful Evil Spirit"	450	467	46. Typhoeus and the Illuyankas	form_plus_single_quote_gloss		from the Avestan Fravardin Yasht 13.77 yat titaraf anro mainiius dahim asahe 'When the Evil Spirit was about to overwhelm the creation of the good truth', Yt. 13.78 ta he tauruuaiiatam tbaesa anrahe mainiiSus druuato 'These two overcame the hostilities of the deceitful Evil Spirit'. We must ask ourselves what the nature of the evidence is for any presumptive earlier diffusion o	not-suspect		true	
WATKINS-NFORM-00040	WATKINS-FORM-01942	Hittite iyatar dametar	Hittite iyatar dametar	hittite iyatar dametar	latin-script	attested_or_cited_form	Hittite	Avestan/Old Iranian	riches which go (and) riches which build	riches which go (and) riches which build	210	227	17. Some Indo-European prayers: Cato's lustration of the fields	form_plus_single_quote_gloss		son of Young Avestan/?a.sM(.)vira 'id.' in the reverse order (Yt. 13.12 ```text 19. Compare Od. 2.75 'riches which lie and riches which move'; Hittite iyatar dametar 'riches which go (and) riches which build' = 'plenty (and) abundance'; English goods and chattels, Middle and Early Modern English goodes and cattel. 20. Cf. Umbt.pusti kastruvuf 'per capit	not-suspect		true	
WATKINS-NFORM-00041	WATKINS-FORM-02190	Hittite uizzai and Glossenkeil wi-u-i-da-i, wi-u-i-ta-i	Hittite uizzai and Glossenkeil wi-u-i-da-i, wi-u-i-ta-i	hittite uizzai and glossenkeil wi-u-i-da-i wi-u-i-ta-i	latin-script	attested_or_cited_form	Avestan	Avestan/Old Iranian	strikes, urges	strikes, urges	337	354	33. ‘Like a reed’: The Indo-European background of a Luvian ritual	form_plus_single_quote_gloss		we expect a more violent verb like 'smash'. I find it etymologically more reasonable to see in Luvian widai- the same Indo-European root *uedhwhich Melchert himself identified in Hittite uizzai and Glossenkeil wi-u-i-da-i, wi-u-i-ta-i 'strikes, urges' (1979:265ff., cf. 1984:151). The lengthened grade *e appearing in Luvian widai- and wiwidai recalls in formation the Gathic Avestan verb in Y. 29.2	not-suspect		true	
