printed_page	pdf_page	section_or_chapter	greek_span	risk_flags	review_priority	collation_reason	context	page_image_file
368	385	36. The myth in Greece: Variations on the formula and theme	μάχας ... ἔργον κορύσσοντα		high	high-priority Greek span; dense Greek/formula page	εν δὲ κέλευθον 'bridged a way'), ἷνας ἐκταμὼν (Il. 17.522 ἷνα τάμῃ διά 'cut through the sinew'),... μάχας ... ἔργον κορύσσοντα (//. 2.273 πόλεμόν τε κορύσσων 'marshalling war'). The immediate model for (μάχας) ἐναρίμβροτου, as	item1-item2-passes/greek-page-renders/page-385.png
368	385	36. The myth in Greece: Variations on the formula and theme	πόλεμόν τε κορύσσων		high	high-priority Greek span; dense Greek/formula page	ἐκταμὼν (Il. 17.522 ἷνα τάμῃ διά 'cut through the sinew'),... μάχας ... ἔργον κορύσσοντα (//. 2.273 πόλεμόν τε κορύσσων 'marshalling war'). The immediate model for (μάχας) ἐναρίμβροτου, as noted already by Frisk (GEW s.	item1-item2-passes/greek-page-renders/page-385.png
368	385	36. The myth in Greece: Variations on the formula and theme	μάχη φθεισίμβροτος		high	high-priority Greek span; dense Greek/formula page	immediate model for (μάχας) ἐναρίμβροτου, as noted already by Frisk (GEW s.v. ἔναρα), is //. 13.339 μάχη φθεισίμβροτος 'man-destroying war', following ἐναιρέμεν ὀξέϊ χαλκῷ at the end of the immediately preceding line 3	item1-item2-passes/greek-page-renders/page-385.png
368	385	36. The myth in Greece: Variations on the formula and theme	ἐναιρέμεν ὀξέϊ χαλκῷ		high	high-priority Greek span; dense Greek/formula page	already by Frisk (GEW s.v. ἔναρα), is //. 13.339 μάχη φθεισίμβροτος 'man-destroying war', following ἐναιρέμεν ὀξέϊ χαλκῷ at the end of the immediately preceding line 338 (and cf. Od. 22.297, of Athena's aegis). The word	item1-item2-passes/greek-page-renders/page-385.png
368	385	36. The myth in Greece: Variations on the formula and theme	φθεισίμβροτος		high	high-priority Greek span; dense Greek/formula page	at the end of the immediately preceding line 338 (and cf. Od. 22.297, of Athena's aegis). The word φθεισίμβροτος occurs only once in the Iliad, but we have four examples there of the semantically nearly identical	item1-item2-passes/greek-page-renders/page-385.png
368	385	36. The myth in Greece: Variations on the formula and theme	πόλεμον φθεισήνορα		high	high-priority Greek span; dense Greek/formula page	occurs only once in the Iliad, but we have four examples there of the semantically nearly identical πόλεμον φθεισήνορα 'man- destroying war'. Returning to Pyth. 6 and the death of Antilokhos at the hands of Memn	item1-item2-passes/greek-page-renders/page-385.png
368	385	36. The myth in Greece: Variations on the formula and theme	φθεισίμβροτος		high	high-priority Greek span; dense Greek/formula page	e death of Antilokhos at the hands of Memnon, we find the compound Homeric formulaic epithet of war φθεισίμβροτος transformed and transferred to each of the two heroes in one of its two constituents each. The root	item1-item2-passes/greek-page-renders/page-385.png
368	385	36. The myth in Greece: Variations on the formula and theme	φθεισίμβροτος		high	high-priority Greek span; dense Greek/formula page	med and transferred to each of the two heroes in one of its two constituents each. The root pth- of φθεισίμβροτος is first extracted, and then the compound is semantically copied as ἐναρί-μβροτος. Lines 30-32 of P	item1-item2-passes/greek-page-renders/page-385.png
368	385	36. The myth in Greece: Variations on the formula and theme	Ἀντίλοχος... ὃς ὑπερέφθιτο πατρός	internal spacing	high	high-priority Greek span; risk flag: internal spacing; dense Greek/formula page	of Pyth. 6 introduce the subject by the familiar device of the relative: ``` ```text Ἀντίλοχος... ὃς ὑπερέφθιτο πατρός, ἐναρίμβροτον ἀναμείνας στράταρχον Αἰθιόπων Μέμνονα Antilok	item1-item2-passes/greek-page-renders/page-385.png
368	385	36. The myth in Greece: Variations on the formula and theme	ἐναρίμβροτον ἀναμείνας στράταρχον Αἰθιόπων Μέμνονα	internal spacing	high	high-priority Greek span; risk flag: internal spacing; dense Greek/formula page	r device of the relative: ``` ```text Ἀντίλοχος... ὃς ὑπερέφθιτο πατρός, ἐναρίμβροτον ἀναμείνας στράταρχον Αἰθιόπων Μέμνονα Antilokhos..., who died for his father, standing up to the man-slaying m	item1-item2-passes/greek-page-renders/page-385.png
369	386	36. The myth in Greece: Variations on the formula and theme	μάχα φθεισίμβροτος		high	high-priority Greek span; dense Greek/formula page	rmer, and can be realized at any point. Just so the creation of ἐναρίμβροτος in 490 on the model of μάχα φθεισίμβροτος presupposed the intermediate formula μάχα ἐναρίμβροτος, even though the latter surfaces only in 478	item1-item2-passes/greek-page-renders/page-386.png
369	386	36. The myth in Greece: Variations on the formula and theme	μάχα ἐναρίμβροτος		high	high-priority Greek span; dense Greek/formula page	tion of ἐναρίμβροτος in 490 on the model of μάχα φθεισίμβροτος presupposed the intermediate formula μάχα ἐναρίμβροτος, even though the latter surfaces only in 478 (Isthmian 8). It is in this sense that I would interpr	item1-item2-passes/greek-page-renders/page-386.png
369	386	36. The myth in Greece: Variations on the formula and theme	παλαίτεροι ... εὗρον		high	high-priority Greek span; dense Greek/formula page	ormulaic system which is far older than he. In the passable way (ὅδον ἁμαξιτόν) discovered of yore (παλαίτεροι ... εὗρον), the shortcut which Pindar knows (οἶμον ἴσαμι βραχύν) and follows (ἔπομαι δὲ καὶ αὐτός) to be a le	item1-item2-passes/greek-page-renders/page-386.png
369	386	36. The myth in Greece: Variations on the formula and theme	οἶμον ἴσαμι βραχύν		high	high-priority Greek span; dense Greek/formula page	ble way (ὅδον ἁμαξιτόν) discovered of yore (παλαίτεροι ... εὗρον), the shortcut which Pindar knows (οἶμον ἴσαμι βραχύν) and follows (ἔπομαι δὲ καὶ αὐτός) to be a leader in poetic art (ἄγημαι σοφίας), we have the answer	item1-item2-passes/greek-page-renders/page-386.png
369	386	36. The myth in Greece: Variations on the formula and theme	ἔπομαι δὲ καὶ αὐτός		high	high-priority Greek span; dense Greek/formula page	d of yore (παλαίτεροι ... εὗρον), the shortcut which Pindar knows (οἶμον ἴσαμι βραχύν) and follows (ἔπομαι δὲ καὶ αὐτός) to be a leader in poetic art (ἄγημαι σοφίας), we have the answer to Helmut Rix's question,12 'How	item1-item2-passes/greek-page-renders/page-386.png
377	394	38. Herakles, the formulaic hero	καταπεφνεῖν βίᾳ		high	high-priority Greek span	boar... and the dragon that guarded the apples of the Hesperides. ``` With the phrase καταπεφνεῖν βίᾳ 'overcome, subdue by force, finish off, kill' (cf. Herodotus 1.24.4) with the many monsters as obje	item1-item2-passes/greek-page-renders/page-394.png
388	405	39. Hermes, Enualios, and Lukoworgos: The Serpent-slayer and the Man-slayer	σκάπτωι ἐλαίας		high	high-priority Greek span	e formula is reinforced: ``` ```text HERO SLAY ADVERSARY with WEAPON (ἔκτανεν ϑενών) (σκάπτωι ἐλαίας). ``` Note that it is heavily indexed by the extraordinary cluster of phonetic figures of partial	item1-item2-passes/greek-page-renders/page-405.png
407	424	41. The saga of Iphitos and the hero as monster	μῆνιν ὀπίζεσθαι		high	high-priority Greek span; dense Greek/formula page	e-versa: ``` <!-- pdf-page: 424; printed-page: 407 --> GODS (θεῶν) ὄπις = (θεῶν) μῆνις MEN (θεῶν) μῆνιν ὀπίζεσθαι The latter formula is applied to Zeus Xeinios, the protector of the rights of hospitality, in Od.	item1-item2-passes/greek-page-renders/page-424.png
407	424	41. The saga of Iphitos and the hero as monster	Ζηνὸς ... ἐδείσατε μῆνιν		high	high-priority Greek span; dense Greek/formula page	ὠπίζετο μῆνιν / ξεινίου 'he was mindful of the (potential) wrath of Zeus Xeinios', cf. //. 13.624-5 Ζηνὸς ... ἐδείσατε μῆνιν / ξεινίου 'you feared the (potential) wrath of Zeus Xeinios'. And it is Zeus Xeinios whom Odysseus	item1-item2-passes/greek-page-renders/page-424.png
407	424	41. The saga of Iphitos and the hero as monster	Διὸς υἱὸς ἔπεφνεν		high	high-priority Greek span; dense Greek/formula page	ormula of the brief saga of Iphitos: it is the very son of Zeus who slays his guest (Od. 21.36-7): Διὸς υἱὸς ἔπεφνεν / Ἴφιτον ANTI-GUEST SLAY GUEST (with WEAPON). It is th	item1-item2-passes/greek-page-renders/page-424.png
408	425	42. The name of Meleager	πῶς θάν’ Ἀτρεΐδης		high	high-priority Greek span	rth, semi-divine lineage, and extraordinary death, a Heldentod. πῶς θάνεν is a formulaic topos: cf. πῶς θάν’ Ἀτρεΐδης (Od. 3.248) 'how was Agamemnon slain?', τίς κτάνε Κύκνον; (Pindar, Isth. 5.39) 'who killed Kuknos,	item1-item2-passes/greek-page-renders/page-425.png
408	425	42. The name of Meleager	τίς κτάνε Κύκνον		high	high-priority Greek span	ntod. πῶς θάνεν is a formulaic topos: cf. πῶς θάν’ Ἀτρεΐδης (Od. 3.248) 'how was Agamemnon slain?', τίς κτάνε Κύκνον; (Pindar, Isth. 5.39) 'who killed Kuknos, who Hector?' In the narration of Meleager's greatest expl	item1-item2-passes/greek-page-renders/page-425.png
410	427	42. The name of Meleager	παῖδες... νηπίαχοι		high	high-priority Greek span; dense Greek/formula page	ng forth into battle with Patroklos are likened to a swarm of wasps that boys in their foolishness (παῖδες... νηπίαχοι) smite and goad into fury (ἐριδμαίνωσιν ἔϑοντες). Here too we have a variant of the basic formula:	item1-item2-passes/greek-page-renders/page-427.png
410	427	42. The name of Meleager	ἐριδμαίνωσιν ἔϑοντες		high	high-priority Greek span	d to a swarm of wasps that boys in their foolishness (παῖδες... νηπίαχοι) smite and goad into fury (ἐριδμαίνωσιν ἔϑοντες). Here too we have a variant of the basic formula: the foolish boys are ANTI-HEROES who SMITE (*ued	item1-item2-passes/greek-page-renders/page-427.png
410	427	42. The name of Meleager	ὧι δή πολλὰ περὶ ῥόπαλ᾽ ἀμφὶς ἐάγηι		high	high-priority Greek span	, who goes into a cornfield in despite of boys (παῖδες), and many sticks have been broken upon him (ὧι δή πολλὰ περὶ ῥόπαλ᾽ ἀμφὶς ἐάγηι line-final) but he gets in and goes on eating the deep grain, and the children beat him with sticks	item1-item2-passes/greek-page-renders/page-427.png
410	427	42. The name of Meleager	τύπτουσιν ῥοπάλοισι		high	high-priority Greek span	gets in and goes on eating the deep grain, and the children beat him with sticks (οἱ δέ τε παῖδες / τύπτουσιν ῥοπάλοισι) but their strength is infantile (βίη δέ τε νηπίη αὐτῶν)... '. The weak boys are again ANTI-HEROES,	item1-item2-passes/greek-page-renders/page-427.png
410	427	42. The name of Meleager	βίη δέ τε νηπίη αὐτῶν		high	high-priority Greek span	ldren beat him with sticks (οἱ δέ τε παῖδες / τύπτουσιν ῥοπάλοισι) but their strength is infantile (βίη δέ τε νηπίη αὐτῶν)... '. The weak boys are again ANTI-HEROES, who BEAT the 'HERO'-ASS (= Ajax) with WEAPONS (ῥοπάλοισ	item1-item2-passes/greek-page-renders/page-427.png
410	427	42. The name of Meleager	ὧι ... ῥόπαλ᾽... ἐάγηι		high	high-priority Greek span	'HERO'-ASS (= Ajax) with WEAPONS (ῥοπάλοισι); we have the full version of the basic formula. And in ὧι ... ῥόπαλ᾽... ἐάγηι 'upon him... sticks... have been broken' we have the variant with WEAPON promoted to grammatical su	item1-item2-passes/greek-page-renders/page-427.png
437	454	44. Thor's hammer and the mace of Contract	ἀμιτρο-χίτωνες		high	high-priority Greek span	se have been compared, speculatively, with Homeric Greek μίτρη, a piece of armor girded around one, ἀμιτρο-χίτωνες, epithet of Lydian warriors, and ἄμιτρος 'ungirdled' (i.e. not of marriageable age) in Callimachus.	item1-item2-passes/greek-page-renders/page-454.png
480	497	49. From God to hero: The formulaic network in Greek	ὅς μοι ἑταῖρον ἔπεφνε		high	high-priority Greek span	o above all grieved me to the heart, who slew my honored comrade. ``` The formula ὅς μοι ἑταῖρον ἔπεφνε will be used—as though he had heard it—by Priam's son Lycaon begging Achilles for his life (21.95-6	item1-item2-passes/greek-page-renders/page-497.png
481	498	49. From God to hero: The formulaic network in Greek	ἐδάμασσε βίηφιν		high	high-priority Greek span	emantically equivalent nominal form from the same root in a Verb Phrase:... ἐβήσατο 'overpowers'... ἐδάμασσε βίηφιν 'overcomes by power'. Compare the examples in Greek and elsewhere of this Indo-European stylistic f	item1-item2-passes/greek-page-renders/page-498.png
484	501	50. The best of the Achaeans	πέφνον λαὸν ἄριστον		high	high-priority Greek span	he underworld: 11.499-500 'I am not such as I was, when in broad Troy I slew the best of the host', πέφνον λαὸν ἄριστον. It is a part of the formulaic definition of the HERO that he is BEST, or vanquishes the BEST. This	item1-item2-passes/greek-page-renders/page-501.png
486	503	50. The best of the Achaeans	ἄριστος Ἀχαιῶν		high	high-priority Greek span	d god, we have an inherited, Indo-European theme and stylistic figure. To the Best of the Achaeans (ἄριστος Ἀχαιῶν), the Best of the Hellenes (Ἑλλάνων ἄριστοι, Bacchylides 5.111), the Best of the Trojans (Τρώων ...	item1-item2-passes/greek-page-renders/page-503.png
486	503	50. The best of the Achaeans	Ἑλλάνων ἄριστοι		high	high-priority Greek span	theme and stylistic figure. To the Best of the Achaeans (ἄριστος Ἀχαιῶν), the Best of the Hellenes (Ἑλλάνων ἄριστοι, Bacchylides 5.111), the Best of the Trojans (Τρώων ... ἄριστος) we can add Beowulf 1684-6: ```tex	item1-item2-passes/greek-page-renders/page-503.png
488	505	51. To be the death of: Transformation of the formula	τοιώδ᾽ ἄνδρε κατακτείνας		high	high-priority Greek span	fight, taunting Odysseus (430 ff.): Today you will either boast of having slain two such men (dual, τοιώδ᾽ ἄνδρε κατακτείνας), or you will perish (ὀλέσσηις) by my spear.' Odysseus replies (443-4), with a repeat of 5.652: ``	item1-item2-passes/greek-page-renders/page-505.png
493	510	52. The formula without the word: A note on Euripides and Lysias	πολύφονον κύνα		high	high-priority Greek span	by the presence of a nominal derivative of *gʷhen- in φον- as an auxiliary epithet of the MONSTER (πολύφονον κύνα), the WEAPON (τόξοις φόνιοις), or some other element in the message (ϑηροφόνον ϑεάν, φονίαισι φάτνα	item1-item2-passes/greek-page-renders/page-510.png
493	510	52. The formula without the word: A note on Euripides and Lysias	τόξοις φόνιοις		high	high-priority Greek span	derivative of *gʷhen- in φον- as an auxiliary epithet of the MONSTER (πολύφονον κύνα), the WEAPON (τόξοις φόνιοις), or some other element in the message (ϑηροφόνον ϑεάν, φονίαισι φάτναις). We observe exactly the s	item1-item2-passes/greek-page-renders/page-510.png
