normalized_occurrence_id	printed_page	pdf_page	old_form_raw	old_normalized_form	new_normalized_form	old_search_key	new_search_key	old_quality_flags	new_quality_flags	include_in_unique	resolution_action	note	context
WATKINS-NFORM-01302	99	116	*-ah2-	*-ah₂-	*-ah₂-	ah2	ah2	laryngeal-normalized-in-dataset		true	accepted-laryngeal-normalization	Subscript laryngeal normalization retained; no remaining suspect condition.	"larity of armahhanzi armawantes to Hesiod's unique... is striking, and the morphological similarity even more so. The Hittite verb is a factitive with suffix -ahh-, IE *-ah2-, with 3sg. pres. -i < *-ei. The Greek adjective is < *glrih2-ro- or *g""rih2-aro-. The rules of Indo-European word formation would require deletion of the suffix -(a)ro- before factitive suffix *-ahr: 3sg"
WATKINS-NFORM-01373	223	240	*bhh2-to-	*bhh₂-to-	*bhh₂-to-	bhh2-to	bhh2-to	laryngeal-normalized-in-dataset		true	accepted-laryngeal-normalization	Subscript laryngeal normalization retained; no remaining suspect condition.	223 --> The translation of fato fito as 'word (and) deed' is loose, but the two must be related to Latin fari' speak' and fieri (as passive of facere 'do') respectively, probably *bhh2-to- and *bhuh2-to-.15 Semantically, recall Oscan aginss urinss 'actions (and) utterances'. The final strophe-like structure is found in the ritual curse pronounced on the neighboring peoples, their magistrates and
WATKINS-NFORM-01385	223	240	*bhuh2-to-.15	*bhuh₂-to-.15	*bhuh₂-to-	bhuh2-to-.15	bhuh2-to	laryngeal-normalized-in-dataset		true	corrected-laryngeal-form-footnote-artifact	Removed footnote number/punctuation from normalized form.	ranslation of fato fito as 'word (and) deed' is loose, but the two must be related to Latin fari' speak' and fieri (as passive of facere 'do') respectively, probably *bhh2-to- and *bhuh2-to-.15 Semantically, recall Oscan aginss urinss 'actions (and) utterances'. The final strophe-like structure is found in the ritual curse pronounced on the neighboring peoples, their magistrates and armies, in VIb
WATKINS-NFORM-01391	255	272	*d	*d	*d	d	d	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"the indispensable work of Murphy 1961. 2. Cf. Binchy 1972. 3. From Proto-Celtic (and Indo-European) *pro-sk""o-m, cf arose 'maxim' < *ad-ro-sk*o-, Middle Welsh dihaereb 'proverb' < *d!-ad-ro-sk*o-. Old Irish rose also means 'eye, sight'. The basic meaning of the root *sek""- must refer to perception: 'see' (as in Germanic, Gothic saihan, Old English seon, and probably Anatolian, Hittite sakuwa 'eyes"
WATKINS-NFORM-01406	339	356	*dheh1-.	*dheh₁-	*dheh₁-	dheh1	dheh1	laryngeal-normalized-in-dataset		true	accepted-laryngeal-normalization	Subscript laryngeal normalization retained; no remaining suspect condition.	The Vedic strophe continues: 8d tasam ahih patsutahsir babhuva at the feet (of the waters) lay the serpent, with the roots *ped- and *kei, which functions as the passive of *dheh1-. The phrase annan patanza duwa- 'place under the feet' is traditional in Luvian and clearly attested in the 1st-millennium B.C. Hieroglyphic Luvian royal inscriptions of local kings.6 The lexical expression of th
WATKINS-NFORM-01407	338	355	*dheh2-	*dheh₂-	*dheh₂-	dheh2	dheh2	laryngeal-normalized-in-dataset		true	accepted-laryngeal-normalization	Subscript laryngeal normalization retained; no remaining suspect condition.	o express their Indo-European exponents: the gods (HEROES) are to CRUSH (*terh2-) the evil-doing ADVERSARY, with the simile like REEDS (*nedo-), to SMASH (*uedh-) him, and to lay (*dheh2-) him under their feet (*ped-). As a semantic structure in its verbal expression, the Luvian imprecation is only an elaborated imperative variant of the basic formula. At this point a specific comparison is in ord
WATKINS-NFORM-01435	447	464	*drk-sih2	*drk-sih₂	*drk-sih₂	drk-sih2	drk-sih2	laryngeal-normalized-in-dataset		true	accepted-laryngeal-normalization	Subscript laryngeal normalization retained; no remaining suspect condition.	ee a cognate of the Greek word 'dragon, serpent'. The zero-grade of the root is common to both, *drk Greek drak-, Celtic drik-. A suffixed form *drk- si- (or feminine *drk-sih2) would yield precisely Primitive Irish *drissi-, Irish dris. Both branches then, Greek and Celtic, would attest both the verbal root *derk- 'see' and a word for 'dragon, serpent' *drk-. If the latter two
WATKINS-NFORM-01443	209	226	*e.	*e	*e	e	e	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"e in these Latin, Umbrian, and Vedic formulas the three rhythmic variants of the Indo-European bipartite noun phrase: asyndeton A B, conjoined A B-k""e, doubly conjoined A-k'-'e B-k*e. The relevance of the Vedic to Cato's morbos uisos inuisosque was first seen by Durante 1958. The phrase has every right to be considered an Indo-European formula, the more so since in several traditions (Indic, Germa"
WATKINS-NFORM-01444	337	354	*e	*e	*e	e	e	probable-fragment		false	excluded-low-value-grade-marker	Single vowel grade marker, not a useful lexical/form row.	-European root *uedhwhich Melchert himself identified in Hittite uizzai and Glossenkeil wi-u-i-da-i, wi-u-i-ta-i 'strikes, urges' (1979:265ff., cf. 1984:151). The lengthened grade *e appearing in Luvian widai- and wiwidai recalls in formation the Gathic Avestan verb in Y. 29.2y dr guuo.d bis aes m m vadaiioit 'who would destroy the fury caused by the deceitful'.4 Luvian witpani- in our passage is
WATKINS-NFORM-01445	47	64	*e	*e	*-kʷe	e	kwe	probable-fragment		true	corrected-fragment-to-enclitic-kwe	Context gives IE *-kʷe 'and'; OCR/regex captured only *e.	transmitted as accurately as circumstances permit, and they may preserve strikingly archaic linguistic features, like the reflex of <!-- pdf-page: 64; printed-page: 47 --> IE *-k*e 'and' at the end of the Hittite list of 'all the seeds' (Watkins 1985a:495), or equally ancient cultural features like those examined in part VII. What seem at first sight to be simple lists or enumerations may turn o
WATKINS-NFORM-01446	47	64	*e	*e	*-kʷe	e	kwe	probable-fragment		true	corrected-fragment-to-enclitic-kwe	Context gives IE *-kʷe 'and'; OCR/regex captured only *e.	transmitted as accurately as circumstances permit, and they may preserve strikingly archaic linguistic features, like the reflex of <!-- pdf-page: 64; printed-page: 47 --> IE *-k*e 'and' at the end of the Hittite list of 'all the seeds' (Watkins 1985a:495), or equally ancient cultural features like those examined in part VII. What seem at first sight to be simple lists or enumerations may turn o
WATKINS-NFORM-01457	87	104	*erh2-	*erh₂-	*erh₂-	erh2	erh2	laryngeal-normalized-in-dataset		true	accepted-laryngeal-normalization	Subscript laryngeal normalization retained; no remaining suspect condition.	"a vaksanah prnadhvam yata sibham ``` ```text 'singer' (*g""erh 2 -): Celtic *bardo- 'poet' (*g""rh2-dhh1-o-), Lith. girti 'to praise' (*g*erh2-)\ uktha- 'hymn' (uk""-th 2 o-):Irish anocht 'metricalfault' = Skt.an-uk-ta- 'unsaid';karu- 'poet':Gk. 'herald' (*kar-). ``` <!-- pdf-page: 105; printed-page: 88 --> ```text The cattl"
WATKINS-NFORM-01463	87	104	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"abhakta viprah sumatim nadinam pra pinvadhvam... a vaksanah prnadhvam yata sibham ``` ```text 'singer' (*g""erh 2 -): Celtic *bardo- 'poet' (*g""rh2-dhh1-o-), Lith. girti 'to praise' (*g*erh2-)\ uktha- 'hymn' (uk""-th 2 o-):Irish anocht 'metricalfault' = Skt.an-uk-ta- 'unsaid';karu- 'poet':Gk. 'herald' (*kar-)."
WATKINS-NFORM-01464	87	104	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"nadinam pra pinvadhvam... a vaksanah prnadhvam yata sibham ``` ```text 'singer' (*g""erh 2 -): Celtic *bardo- 'poet' (*g""rh2-dhh1-o-), Lith. girti 'to praise' (*g*erh2-)\ uktha- 'hymn' (uk""-th 2 o-):Irish anocht 'metricalfault' = Skt.an-uk-ta- 'unsaid';karu- 'poet':Gk. 'herald' (*kar-). ``` <!-- pdf-page: 105; printed-pa"
WATKINS-NFORM-01465	87	104	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"a vaksanah prnadhvam yata sibham ``` ```text 'singer' (*g""erh 2 -): Celtic *bardo- 'poet' (*g""rh2-dhh1-o-), Lith. girti 'to praise' (*g*erh2-)\ uktha- 'hymn' (uk""-th 2 o-):Irish anocht 'metricalfault' = Skt.an-uk-ta- 'unsaid';karu- 'poet':Gk. 'herald' (*kar-). ``` <!-- pdf-page: 105; printed-page: 88 --> ```text The cat"
WATKINS-NFORM-01466	99	116	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"e morphological similarity even more so. The Hittite verb is a factitive with suffix -ahh-, IE *-ah2-, with 3sg. pres. -i < *-ei. The Greek adjective is < *glrih2-ro- or *g""rih2-aro-. The rules of Indo-European word formation would require deletion of the suffix -(a)ro- before factitive suffix *-ahr: 3sg. *g""rih2- ah2-ei, which would yield precisely. A *g""rih2-ah2-wont- could yield .6 Al"
WATKINS-NFORM-01467	99	116	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"ek adjective is < *glrih2-ro- or *g""rih2-aro-. The rules of Indo-European word formation would require deletion of the suffix -(a)ro- before factitive suffix *-ahr: 3sg. *g""rih2- ah2-ei, which would yield precisely. A *g""rih2-ah2-wont- could yield .6 Alternatively, the Hittite factitive also has a passive participle armahh-ant- 'pregnant', and Hesiod's could just reflect *gs"
WATKINS-NFORM-01468	99	116	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"h2-aro-. The rules of Indo-European word formation would require deletion of the suffix -(a)ro- before factitive suffix *-ahr: 3sg. *g""rih2- ah2-ei, which would yield precisely. A *g""rih2-ah2-wont- could yield .6 Alternatively, the Hittite factitive also has a passive participle armahh-ant- 'pregnant', and Hesiod's could just reflect *gsrih2-ahi-ont-, with the verb not ``` 4. Norden"
WATKINS-NFORM-01469	117	134	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"t'. His craft wasfiledacht. Another word for poet was bard (Welsh bardd 'poet'), functionally and etymologically 'eulogist, praise-maker', from a Celtic compound * bar-do- from IE *g""r h2-dhh1,-o- related to the Indo-Iranian verb phrase in Vedic giro dha-, Avestan garo da- 'make praises' (Campanile 1980). Armenian kardam 'I raise my voice, call, recite out loud' appears to be built on a similar fo"
WATKINS-NFORM-01470	155	172	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"e g""- > uis the terminus a quo for the renewal, since uires has an original *u-. It is at least noteworthy that the semantic link which made possible the diachronic replacement of *g*ia- by ulres (*ui-) in Latin along the paradigmatic axis <!-- pdf-page: 173; printed-page: 156 --> of similarity (both STRENGTH) existed in Homeric Greek synchronically, along the syntagmatic axis of contiguity: the"
WATKINS-NFORM-01471	164	181	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"as well as on the cross: ""Per guri e per kruch"" (By the stone and the cross).' Read perhaps in modem orthography per guri e per kryqi. Albanian gur 'stone' is the 'heavy' one, IE *g""fhj-u-. Thecross is also a 'tree', andrecall Achilles' mighty oath in //. 1.234ff., 'by this scepter, (atree) which nevermore will sprout leaves and branches...' Agamemnon's scepter sprouted a mighty shaded bo"
WATKINS-NFORM-01472	301	318	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"b in Indo- European an ablauting athematic present/preterite in Vedic hdnti/ghndnti, Avestan jainti/(-yn-), Hittite kuenzi/kunanzi, the generalized zero-grade thematized in Celtic *g""ane- of Old Irish gonid, Welsh gwanu 'stab', and Balto-Slavic *gine- 'pursue'; imperative Vedic jahf, Avestan jaiSi; participle Vedic ghndnt-, Greek (aorist) subjunctive Vedic hanat, secondarily thematized i"
WATKINS-NFORM-01473	326	343	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"f iconic grammatical figures in the various traditions.1 Compare Old Irish (ZCP 1 1.86 §40) gonas gentar He who kills will be killed, from gonid 'kills, slays' (*gʷhen-, Celtic *g""anetl), or Early Welsh (Llawsgrif Henregadredd 60a4, an example I owe to John Koch) ef wanei wanwyd He who would slay was slain, from the same root and preform. Homeric Greek, with lexical replacement, offers an ex"
WATKINS-NFORM-01474	385	402	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"plied to another known dragon-slayer like Apollo is significant, as is the morphological parallelism of the even more opaque name Bader's invocation of the root *g""el- 'throw; die; cause to die' (Luvian, Germanic) is in view of the opaque mor- phology a mere guess devoid of substance. Kirk in his commentary notes that 'Zenodotus' preference for Ellerophontes (so Eustathius p. 28"
WATKINS-NFORM-01475	396	413	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	Death himself 'who will slay you', as the text says literally. Compare the remarks at the end of chap. 28 on the inherited figure of the relative clause in the basic formula with *g hen- as an index of the Indo-European hero. By their manipulation of the formula these gentle lines effectively elevate and transform Death from a monstrous adversary to another HERO. The same inverted formula is used
WATKINS-NFORM-01476	412	429	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"ying' in Yt. 10.101. That such a semantic structure was profoundly rooted in early Greek culture is proved by a curious feature of the ancient Athenian ritual of the Bouphonia (IE *g""ou- g'hon-), the sacrifice of an ox to Zeus of the city: the sacrificial axe is ritually tried for murder.4 The creation of the compound name M 'having the care of *, 'he who cares for the * ' c"
WATKINS-NFORM-01477	416	433	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"native designation of the Indo-European mythological serpentadversary.4 Old English here uses cwellan as the unmarked verb for 'kill', the causative of cwelan 'die': Indo-European *g""el(h1)-, Cuneiform and Hieroglyphic Luvian wal'die', Old Irish at-baill 'dies', Greek 'throw'. The causative formation *kwaljan, anachronistic ally *g""ol(hl)-eie-, appears to be confined to Germanic, and it"
WATKINS-NFORM-01478	416	433	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"e': Indo-European *g""el(h1)-, Cuneiform and Hieroglyphic Luvian wal'die', Old Irish at-baill 'dies', Greek 'throw'. The causative formation *kwaljan, anachronistic ally *g""ol(hl)-eie-, appears to be confined to Germanic, and its use in the dragon-slaying formula is apparently an innovation confined to Old English.5 Beowulf furnishes two further instances, both precisely in that formula:"
WATKINS-NFORM-01479	417	434	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	looks like the obscure Old Irish form fiacht (Thurneysen 1946:422). Old Norse provides us with a precious piece of evidence for the channel for the renewal and replacement of IE *g hen- by other verbs like Germanic *kwaljan or *wigan (*weihan), which we can only present now; the explanation will come in the pages immediately following. In the V lundarkvida 33, one of the oldest of the Eddie poem
WATKINS-NFORM-01480	437	454	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"perfect; but they seem to suppose a basic root meaning of 'bind, tie' and a lengthy semantic history, both of which elude demonstration.6 ```text On the chart Vedic goha (*g""ou-gʷhen-) epithet of the Maruts' weapon, was compared to the Greek Bouphonia (*g""ou-g'hon-) discussed in chap. 42, the ritual ox- sacrifice in Athens after which the sacrificial axe is tried for murder. I conclude wi"
WATKINS-NFORM-01481	437	454	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"hy semantic history, both of which elude demonstration.6 ```text On the chart Vedic goha (*g""ou-gʷhen-) epithet of the Maruts' weapon, was compared to the Greek Bouphonia (*g""ou-g'hon-) discussed in chap. 42, the ritual ox- sacrifice in Athens after which the sacrificial axe is tried for murder. I conclude with some purely synchronic remarks on a passage from Sophocles' Electra, where anot"
WATKINS-NFORM-01482	445	462	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	. Read n]u with B i 2 rather than Beckman's restoration [na-as\. ``` <!-- pdf-page: 462; printed-page: 445 --> ```text The Storm God killed the serpent (kuenta, IE *g hen-), and the gods were with him. ``` ```text Inaras installed Hupasiyas in a house, saying, 'When I go out, don't look out the window, you will see your wife and childre
WATKINS-NFORM-01483	477	494	*g	*g	*g	g	g	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	"ondpone aenne heht/goldeforgyldan jjonepe Grendel air I mane acwealde ' and he ordered compensation in gold to be paid (*gheldh-) for the man whom Grendel had wickedly killed (IE *g""el-) earlier'. The formulaic system is an index to Indo-European customary law. ```text These patterns which we have examined hitherto mostly in the Odyssey are equally characteristic of the deployment of"
WATKINS-NFORM-01487	8	25	*genh1	*genh₁	*genh₁	genh1	genh1	laryngeal-normalized-in-dataset		true	accepted-laryngeal-normalization	Subscript laryngeal normalization retained; no remaining suspect condition.	as-/hass- 'engender' beside hassu- 'king' from a single root, and the family of English kin etc. beside the family of English king (Germanic *kuningaz) from another single IE root *genh1 -, also meaning 'engender'. The ruler was looked upon as the symbolic generator of his subjects; the notion is still with us in the metaphor 'father of his country', translating the even clearer Latin figure pater
WATKINS-NFORM-01517	99	116	*glrih2-ro-	*glrih₂-ro-	*glrih₂-ro-	glrih2-ro	glrih2-ro	laryngeal-normalized-in-dataset		true	accepted-laryngeal-normalization	Subscript laryngeal normalization retained; no remaining suspect condition.	"triking, and the morphological similarity even more so. The Hittite verb is a factitive with suffix -ahh-, IE *-ah2-, with 3sg. pres. -i < *-ei. The Greek adjective is < *glrih2-ro- or *g""rih2-aro-. The rules of Indo-European word formation would require deletion of the suffix -(a)ro- before factitive suffix *-ahr: 3sg. *g""rih2- ah2-ei, which would yield precisely. A *g""rih2-ah2-wont- co"
WATKINS-NFORM-01520	99	116	*gsrih2-ahi-ont-	*gsrih₂-ahi-ont-	*gsrih₂-ahi-ont-	gsrih2-ahi-ont	gsrih2-ahi-ont	laryngeal-normalized-in-dataset		true	accepted-laryngeal-normalization	Subscript laryngeal normalization retained; no remaining suspect condition.	"ecisely. A *g""rih2-ah2-wont- could yield .6 Alternatively, the Hittite factitive also has a passive participle armahh-ant- 'pregnant', and Hesiod's could just reflect *gsrih2-ahi-ont-, with the verb not ``` 4. Norden 1966:29 n. 1 suggested the phonetically perfect pun by reading, with anastrophe (accent retraction) in the postposition. See West ad loc. 5. See Puhvel, HED svv. arma-,"
WATKINS-NFORM-01521	16	33	*guih3-	*guih₃-	*guih₃-	guih3	guih3	laryngeal-normalized-in-dataset		true	accepted-laryngeal-normalization	Subscript laryngeal normalization retained; no remaining suspect condition.	r', Gothic ajuk-dups 'eternity', and Old Avestan yauuaeji- 'living forever' are all direct or indirect reflexes of an Indo-European collocation of *h2oiu- 'lifetime, eternity' and *guih3- 'to live', manifested in a compound *h2iu-guih3-. Continued study of all the Indo-European traditions can safely be expected to yield still more such equations. Thus the new Simonides fragments (IEG II2 11.12) br
WATKINS-NFORM-01701	168	185	*h	*h	*h	h	h	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	sical Latin est 'yes'. On the other hand the same equations require the reconstruction of this stylistic figure (V i )... (Ni + V) for the proto-language, with the lexical entries *h,esti for (Vi) and *h1sont for (Ni), with gapped V in the nominal sentence (N; [+ V]). The rhetoric of climax and the formulaic style of Mursilis' confession are clearly an Indo-European inheritance, even if the verbal
WATKINS-NFORM-01702	169	186	*h	*h	*h	h	h	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	ing reference to metrical and phrase boundaries. We can reconstruct the lexical specification of both Vi and N, for the proto-language in at least two cases: ```text *h,es-ti... h,s-6nt- *gyhen-ti... gʷhdn-o-. ``` Just as Hans Krahe called the kenning a typical stylistic figure of Germanic poetics, so we are fully justified in terming ours a typical stylistic figure of
WATKINS-NFORM-01703	171	188	*h	*h	*h	h	h	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	een in the old word acupedius 'sharp-footed' (Paul. Fest. 9.25 L.) In both of these the 'sharp' word *h2aku- shares some of the semantic range and distribution of the 'swift' word *h,6ku-. Just as fjipyd- in Vedic is an epithet of both large birds of prey and horses, so in Greek the adjective coicuTiETTy; 'swift-flying' is used both of horses (Iliad) and hawks (Hesiod), as well as; ' swift- winged
WATKINS-NFORM-01704	172	189	*h	*h	*h	h	h	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	s of prey, and arrows, all compounds or noun phrases with phonetically similar and partially overlapping lexemes as first member: ``` ```text *hjgi- *h,o£u- *h2afcu-, ``` and likewise phonetically similar and partially overlapping lexemes as second member: ```text *pet(h2)- *ped- *pet-r-/*pt-er-/*per-. ```
WATKINS-NFORM-01705	172	189	*h	*h	*h	h	h	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	-/*per-. ``` Indo-European *h2rgi-p-io- in a sense stands for all three second members, and might be built (with adjectival -id-) on a hypocoristic or otherwise truncated epithet *h,fgip... As such it could well belong to a layer of Indo-European (or Greco-Armeno-Indo-Iranian) poetic language characterized by what in Irish is termed dichned 'beheading': an artificial deformation of the word for p
WATKINS-NFORM-01706	177	194	*h	*h	*h	h	h	probable-fragment		false	excluded-ocr-or-regex-fragment	Too short/garbled to use as a form row without page-image collation.	aic, syntactic, and thematic equation. We may state the following rules: Where a man is the subject, the notion HAVE (IMPERISHABLE FAME) is expressed either by the verb BE (*h,es-) and a dative pronoun (PRO), or by a true verb (e.g.,*segh-, *dhehr middle) and a subject pronoun, together with an optional form of the word for EVER(LASTING), ETERNITY, LIFETIME. Thus in Indo-European lex
