normalized_form_id,normalized_form,search_key,language_normalized,script,form_types,occurrence_count,printed_pages,pdf_pages,glosses,source_patterns,quality_flags,contexts_sample
WATKINS-UFORM-IMP-00015,and nar-,and nar,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,15,32,man,form_plus_single_quote_gloss,,"two-footed, four-footed'. See on these Watkins 1979a. A good example of the unfortunate consequences of Schlerath's restriction is his treatment of the Avestan pair pasu- 'cattle' and nar- 'man' as against pasu- and vira- in the same meanin"
WATKINS-UFORM-IMP-00016,and Old Avestan yauuaeji-,and old avestan yauuaeji,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,16,33,living forever,form_plus_single_quote_gloss,,"hael Weiss in his Cornell dissertation6 argued convincingly that Latin iugis 'everflowing', Greek 'healthy', Cypriote uwais(e) zan 'forever and ever', Gothic ajuk-dups 'eternity', and Old Avestan yauuaeji- 'living forever' are all direct or"
WATKINS-UFORM-IMP-00017,and Old Persian vi-taraya-,and old persian vi-taraya,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,344,361,cross,form_plus_single_quote_gloss,,"tions of possible Indo-Iranian date are Rigvedic turvasi and Gathic Avestan *tauruudma (Y. 28.6 for mss. tauruuaiiama, for metrical reasons), as well as Rigvedic turdyati 'rushes' and Old Persian vi-taraya- 'cross'. We have *trh2-io- in the"
WATKINS-UFORM-IMP-00018,"and priest, related to German schauen",and priest related to german schauen,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,88,105,look,form_plus_single_quote_gloss,,"of IE *men-) is satya-, veridical; it will come true, since it is fashioned and spoken (-sasta) by a true poet (kavi). In kavi we have an old Indo-European word for the poet-seer and priest, related to German schauen 'look', English show. C"
WATKINS-UFORM-IMP-00019,and Umbrian ueiro pequo,and umbrian ueiro pequo,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,15,32,men [and] cattle,form_plus_single_quote_gloss,,"ollection. A famous example first compared by Jacob Wackernagel in 1910 (reprinted in Schmitt 1968:30-33) is that of Avestan pasu. vira, a dual dvandva compound 'cattle [and] men' and Umbrian ueiro pequo 'men [and] cattle', possibly showing"
WATKINS-UFORM-IMP-00020,and ustdna-,and ustdna,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,320,337,vitality,form_plus_single_quote_gloss,,"llspring of riches' RV 6.36.4, and the Common Indo-Iranian khdm rtdsya 'wellspring of Truth' RV^2.28.5, asahexd 'id.' Y. 10.4. Cf. note 1 above. Finally the parallel gaiia- 'life' and ustdna- 'vitality' recall the Italic merism in Latin uir"
WATKINS-UFORM-IMP-00021,andMitra-atithi-,andmitra-atithi,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,246,263,having M. as GUEST,form_plus_single_quote_gloss,,"g'13 which reaches from India to Western Europe, in some of the earliest monuments of Celtic and Germanic. With the two names Upama-s'ravas- < *upmmo-kleues- 'having SUPREME fame' andMitra-atithi- 'having M. as GUEST' compare the Lepontic C"
WATKINS-UFORM-IMP-00022,argued convincingly that Latin iugis,argued convincingly that latin iugis,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,16,33,everflowing,form_plus_single_quote_gloss,,"ek μέγας ὄγμος 'the great path, way (of the horses of the moon's chariot)' (Homeric Hymn to Selene 32.11).5 In the following year, 1993, Michael Weiss in his Cornell dissertation6 argued convincingly that Latin iugis 'everflowing', Greek 'h"
WATKINS-UFORM-IMP-00023,as evidenced both in Avestan hauruua.fsu-,as evidenced both in avestan hauruua.fsu,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,213,230,with intact livestock,form_plus_single_quote_gloss,,"pas-tores may be a formulaic echo of pah2-, and the Italic phrase salua seru note the echoic consonantism s - lu- s - ru} which replaced *pah,~ may have formulaic links with peku- as evidenced both in Avestan hauruua.fsu- 'with intact lives"
WATKINS-UFORM-IMP-00024,as the Hittite common noun for,as the hittite common noun for,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,321,338,snake,form_plus_single_quote_gloss,,"extract an Indo-European mythological theme with partial lexical expression: 1. The myth is edited and translated by Gary Beckman (1982), who doubtless correctly takes illuyanka- as the Hittite common noun for 'snake' or 'serpent.' 2. For t"
WATKINS-UFORM-IMP-00025,as well as Rigvedic turdyati,as well as rigvedic turdyati,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,344,361,rushes,form_plus_single_quote_gloss,,"rossing', Avestan titarat. Other formations of possible Indo-Iranian date are Rigvedic turvasi and Gathic Avestan *tauruudma (Y. 28.6 for mss. tauruuaiiama, for metrical reasons), as well as Rigvedic turdyati 'rushes' and Old Persian vi-tar"
WATKINS-UFORM-IMP-00026,asam... hapti,asam... hapti,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,237,254,cares for Truth,form_plus_single_quote_gloss,,"uidiidmahi 'we show reverence, we bring invigoration'. 10. The collocation rtdm sap- 'care for Truth' (5.68.4 etc.) and in this compound is also a Common Indo-Iranian verb phrase: asam... hapti 'cares for Truth' Y.31.22. Cf. Schlerath 1968 "
WATKINS-UFORM-IMP-00027,Avestan bairista-,avestan bairista,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,490,507,"best helping, caring for"",

<!-- pdf-page: 508; printed-page: 491 -->
have precisely the",form_plus_single_quote_gloss,,"1948:20, 26. 6. Debrunncr, AiGr. II 2.443ff., citing Panini 5.3.59 and 6.4.154. This is unlikely to be original, in the light of the unique equation with Greek 'best': Avestan bairista- 'best helping, caring for"", <!-- pdf-page: 508; printe"
WATKINS-UFORM-IMP-00028,beside thematic tarratta,beside thematic tarratta,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,344,361,is able,form_plus_single_quote_gloss,,"ur- and Greek -τωρ reflect a zerograde *-trh,-. The verb is amply attested in the older Indo-European dialects. We have root athematic Hittite tarh-, tarahzi- 'overcomes; is able' beside thematic tarratta 'is able' < *terh2-o(r). Cuneiform "
WATKINS-UFORM-IMP-00029,cf. Ved. hatas and adri-samhatas,cf. ved. hatas and adri-samhatas,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,504,521,squeezed by the pressing stones,form_plus_single_quote_gloss,,"of προσ-.7 Greek -φατος from *gʷhṇ-tó-, as in Hom. μυλήφατος 'crushed by the mill', Ἀρείφατος 'slain by Ares', is one of the most securely reconstructible lexemes in the language: cf. Ved. hatas and adri-samhatas 'squeezed by the pressing s"
WATKINS-UFORM-IMP-00030,cnu,cnu,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,237,254,fame (conveyed by the poet),form_plus_single_quote_gloss,,"ly like those discussed in chap. 3: Greek V 'victory: honor (conveyed by the poet)' and Old Irish duan: duos 'poem': 'recompense for a poem', or Classical Modern Irish cM: cnu 'fame (conveyed by the poet)': 'nut, metaphor for the recompense"
WATKINS-UFORM-IMP-00031,duuaesa tauruuama,duuaesa tauruuama,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,351,368,overcome hostilities,form_plus_single_quote_gloss,,"r une etendue perilleuse ou accidentee.' We have common Indo-Iranian figures in Ved. taraddvesas- = Av. taro.tbaesah- 'overcoming hostility'; RV 3.27.3 ati dvesamsi tarema, Y. 28.6duuaesa tauruuama 'overcome hostilities'; RV 6.2.4. dvisodmh"
WATKINS-UFORM-IMP-00032,followed by pihatu,followed by pihatu,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,210,227,purify,form_plus_single_quote_gloss,,"rsmo magistrates (and) formulations, uiro pequo men (and) cattle, castruo frif heads [of grain]20 (and) crops, ``` followed by pihatu 'purify' (6x) or salua seritu 'keep safe' (7x). As has been known since 191021 uiropequo is an Indo-Europe"
WATKINS-UFORM-IMP-00033,For the s-stem noun taras-,for the s-stem noun taras,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,353,370,force permettant de traverser,form_plus_single_quote_gloss,,"yata vaco yasya tarema tarasa satam himah ``` ```text Accept well this hymn, o Maruts, by whose ""crossing-power"" may we cross 100 winters ``` For the s-stem noun taras- 'force permettant de traverser' (Renou, EVP ad loc.) compare the frozen"
WATKINS-UFORM-IMP-00034,from the Avestan agent nouns basar-,from the avestan agent nouns basar,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,491,508,"bridle, halter",form_plus_single_quote_gloss,,"and then is finally defeated by him. The formulation is identical in the two verse narratives; only the case marking switches (Yt. 8.22 and 28): ```text and the semantic distance from the Avestan agent nouns basar- 'bridle, halter' from Ir."
WATKINS-UFORM-IMP-00035,Gothic ajuk-dups,gothic ajuk-dups,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,16,33,eternity,form_plus_single_quote_gloss,,"the following year, 1993, Michael Weiss in his Cornell dissertation6 argued convincingly that Latin iugis 'everflowing', Greek 'healthy', Cypriote uwais(e) zan 'forever and ever', Gothic ajuk-dups 'eternity', and Old Avestan yauuaeji- 'livi"
WATKINS-UFORM-IMP-00036,Greek,greek,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,16,33,healthy,form_plus_single_quote_gloss,,"f the moon's chariot)' (Homeric Hymn to Selene 32.11).5 In the following year, 1993, Michael Weiss in his Cornell dissertation6 argued convincingly that Latin iugis 'everflowing', Greek 'healthy', Cypriote uwais(e) zan 'forever and ever', G"
WATKINS-UFORM-IMP-00037,guuo.d bis aes m m vadaiioit,guuo.d bis aes m m vadaiioit,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,337,354,who would destroy the fury caused by the deceitful,form_plus_single_quote_gloss,,"i-u-i-ta-i 'strikes, urges' (1979:265ff., cf. 1984:151). The lengthened grade *e appearing in Luvian widai- and wiwidai recalls in formation the Gathic Avestan verb in Y. 29.2y dr guuo.d bis aes m m vadaiioit 'who would destroy the fury cau"
WATKINS-UFORM-IMP-00038,he tauruuaiiatam tbaesa anrahe mainiiSus druuato,he tauruuaiiatam tbaesa anrahe mainiisus druuato,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,450,467,"These two overcame
the hostilities of the deceitful Evil Spirit",form_plus_single_quote_gloss,,"from the Avestan Fravardin Yasht 13.77 yat titaraf anro mainiius dahim asahe 'When the Evil Spirit was about to overwhelm the creation of the good truth', Yt. 13.78 ta he tauruuaiiatam tbaesa anrahe mainiiSus druuato 'These two overcame the"
WATKINS-UFORM-IMP-00039,Hittite iyatar dametar,hittite iyatar dametar,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,210,227,riches which go (and) riches which build,form_plus_single_quote_gloss,,son of Young Avestan/?a.sM(.)vira 'id.' in the reverse order (Yt. 13.12 ```text 19. Compare Od. 2.75 'riches which lie and riches which move'; Hittite iyatar dametar 'riches which go (and) riches which build' = 'plenty (and) abundance'; Eng
WATKINS-UFORM-IMP-00040,"Hittite uizzai and Glossenkeil wi-u-i-da-i, wi-u-i-ta-i",hittite uizzai and glossenkeil wi-u-i-da-i wi-u-i-ta-i,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,337,354,"strikes, urges",form_plus_single_quote_gloss,,"we expect a more violent verb like 'smash'. I find it etymologically more reasonable to see in Luvian widai- the same Indo-European root *uedhwhich Melchert himself identified in Hittite uizzai and Glossenkeil wi-u-i-da-i, wi-u-i-ta-i 'stri"
WATKINS-UFORM-IMP-00041,In Avestan yauua- is just generic,in avestan yauua- is just generic,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,48,65,"grain, cereal",form_plus_single_quote_gloss,,"formula itself. The word *ieuo- apparently designated the unmarked grain, like English com ('wheat' in England, 'barley' in Scotland, 'oats' in Ireland, and 'maize' in the U.S.). In Avestan yauua- is just generic 'grain, cereal'; note the p"
WATKINS-UFORM-IMP-00042,"in Greek iconography, cf. Ved. sahasrabhrstih",in greek iconography cf. ved. sahasrabhrstih,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,411,428,with 1000 studs,form_plus_single_quote_gloss,,"V 3.44.4 harim.. . vajram 'the yellow cudgel', as well as 10.96.3-4 and the Avestan epithet just cited. For the 'rough' cudgel of Herakles, the studded club familiar in Greek iconography, cf. Ved. sahasrabhrstih 'with 1000 studs' (1.80.12 a"
WATKINS-UFORM-IMP-00043,"in Ireland, and",in ireland and,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,48,65,maize,form_plus_single_quote_gloss,,"the merism for the Proto-Indo-European formula itself. The word *ieuo- apparently designated the unmarked grain, like English com ('wheat' in England, 'barley' in Scotland, 'oats' in Ireland, and 'maize' in the U.S.). In Avestan yauua- is j"
WATKINS-UFORM-IMP-00044,in Rigvedic titrat-,in rigvedic titrat,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,344,361,crossing,form_plus_single_quote_gloss,,"'overcomes; is able' beside thematic tarratta 'is able' < *terh2-o(r). Cuneiform Luvian shows reduplicated tatarhandu. Note also Indo-Iranian reduplicated titar- 'cross, overcome' in Rigvedic titrat- 'crossing', Avestan titarat. Other forma"
WATKINS-UFORM-IMP-00045,in Young Avestan afrl- in dfrl-uuacah-,in young avestan afrl- in dfrl-uuacah,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,238,255,having words of blessing or curse,form_plus_single_quote_gloss,,"he end of the ritual). ``` The term apri- (AV +) is related to the verb aprlnati 'propitiates, pleases'. It has a cognate in Young Avestan afrl- in dfrl-uuacah- 'having words of blessing or curse' and afrl-uuana- 'blessing, curse', from a p"
WATKINS-UFORM-IMP-00046,"Indo-European inheritance, *misdho-, and its meaning",indo-european inheritance misdho- and its meaning,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,71,88,"honorific compensation
for deed performed",form_plus_single_quote_gloss,,"orthy of his hire. Pindar freely uses for his compensation (Pyth. 1.75-77 'I will earn as recompense') in a positive sense.3 The word is a clear Indo-European inheritance, *misdho-, and its meaning 'honorific compensation for deed performed"
WATKINS-UFORM-IMP-00047,Indo-Iranian linkage of *dtisa- and *ajhi-,indo-iranian linkage of dtisa- and ajhi,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,331,348,serpent,form_plus_single_quote_gloss,,"d the weapon itself a derivative of the root *gʷhen-, ghand-, 1.33.4: vadhir hi dasyum dhaninam ghanena For you slew the rich dasyu with your ""slayer"". Compare chap. 28 for the Indo-Iranian linkage of *dtisa- and *ajhi- 'serpent'. The basic"
WATKINS-UFORM-IMP-00048,interpreting it as,interpreting it as,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,162,179,(and) in rock,form_plus_single_quote_gloss,,"remained for J. Schindler (Harvard class 1986-87) to identify an Avestan reflex of unsuffixed Indo-European *per-u(e)n-, in the suffixless locative.pauruuan(ca) Yt. 13.99 = 19.85, interpreting it as '(and) in rock'. The preceding noun with "
WATKINS-UFORM-IMP-00049,is basically the pre-Thieme one of,is basically the pre-thieme one of,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,118,135,mentally perceive,form_plus_single_quote_gloss,,"ognizant of, causative dpi vataya-, Avestan apiuuataite 'id.', Old Avestan causative fra + vataiia- 'make (others) acquainted with', the meanings shown by Tichy 1980.5 The meaning is basically the pre-Thieme one of 'mentally perceive' (Gras"
WATKINS-UFORM-IMP-00050,is precisely a,is precisely a,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,246,263,contract,form_plus_single_quote_gloss,,"ors guests'.14 The nexus linking 'fame', 'lofty', and 'guest' (Indo-European *ghos-ti-, with the same suffix Indo-Iranian *atH-ti- in Ved. dtithi- — Av. asti(Schwartz 1990:200-7)) is precisely a 'contract' or 'covenant': that of hospitality"
WATKINS-UFORM-IMP-00051,is related to the verb aprlnati,is related to the verb aprlnati,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,238,255,"propitiates, pleases",form_plus_single_quote_gloss,,"sign like amen signalling the end of the ritual). ``` The term apri- (AV +) is related to the verb aprlnati 'propitiates, pleases'. It has a cognate in Young Avestan afrl- in dfrl-uuacah- 'having words of blessing or curse' and afrl-uuana- "
WATKINS-UFORM-IMP-00052,"is the best, since it cures",is the best since it cures,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,537,554,from the innards,form_plus_single_quote_gloss,,", Pyth. 3.47-53. The Avestan set are the medicine of the knife (karstd.baesaza) and the medicine of plants (uruuaro.baesaza) and the medicine of formulas (mqVro.baesazd). The last is the best, since it cures 'from the innards' (haca 1 The P"
WATKINS-UFORM-IMP-00053,it is also the word for,it is also the word for,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,416,433,dragon,form_plus_single_quote_gloss,,"ly for reasons of tabu; *kl'rmis is found in Celtic, Balto-Slavic, Albanian, and Indo-Iranian. The usual meaning of *k mis is just 'worm' in most traditions, but in Middle Iranian it is also the word for 'dragon'; compare the Pahlavi versio"
WATKINS-UFORM-IMP-00054,it shows a rhyming form aiBi.vaniia,it shows a rhyming form aibi.vaniia,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,491,508,"winner, conqueror",form_plus_single_quote_gloss,,"9.7, TS 4.5.8.1, VS 16.40 etc.): namo hantre ca hamyase ca Homage to the slayer, and to the better slayer. While Avestan has no corresponding form (*janiia) from the root jan-, it shows a rhyming form aiBi.vaniia 'winner, conqueror' (+ accu"
WATKINS-UFORM-IMP-00055,its Old Avestan cognate haiVim mqVram,its old avestan cognate haivim mqvram,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,540,557,"true, real formula",form_plus_single_quote_gloss,,"is the king of the worms'. The formula succeeds because of its truth: satyo mantrah kavisasta rghavan 'true is the powerful formula spoken by the poet', as we saw in chap. 6, with its Old Avestan cognate haiVim mqVram 'true, real formula'. "
WATKINS-UFORM-IMP-00056,jaghnir vrtram,jaghnir vrtram,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,484,501,slaying Vrtra,form_plus_single_quote_gloss,,"soma, who has slain Vrtra with his cudgel in exhilaration.' The agent noun with root accent assigns case like a verb. For the verbal rection of the adjectives note also RV 9.61.20 jaghnir vrtram 'slaying Vrtra' and Avestan (ni)jaynista (tay"
WATKINS-UFORM-IMP-00057,kirm ozad bud,kirm ozad bud,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,416,433,had slain the dragon,form_plus_single_quote_gloss,,"ual meaning of *k mis is just 'worm' in most traditions, but in Middle Iranian it is also the word for 'dragon'; compare the Pahlavi version of the familiar Indo-European formula: kirm ozad bud 'had slain the dragon' (chap. 29). There can b"
WATKINS-UFORM-IMP-00058,languages as well. Tocharian B mrestlwe,languages as well. tocharian b mrestlwe,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,535,552,marrow,form_plus_single_quote_gloss,,"ast-iskah. The (tabu?) dissimilation *mosgrt => *mostrg which led to the creation of a stem *most- may well be Pre-Indo-Iranian, since it appears common to the two Tocharian languages as well. Tocharian B mrestlwe 'marrow' shows a form tran"
WATKINS-UFORM-IMP-00059,Latin ador,latin ador,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,45,62,spelt,form_plus_single_quote_gloss,,"eyed in another way in the following two sets of contiguous compounds: 18. See on the kenning Krause 1930, Marquardt 1938, and Campanile 1977. 19. If ZlZ-tar is to be read hatar (Latin ador 'spelt') we have the phonetic figure of alliterati"
WATKINS-UFORM-IMP-00060,like Avestan humizda-,like avestan humizda,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,74,91,bringing good reward,form_plus_single_quote_gloss,,"the names, sumilhe s'atdmperuke capakvd, is doubtless intentional, and the name Sumllha probably still carried a trace of its etymological meaning of 'reward, prize', IE *misdho~, like Avestan humizda- 'bringing good reward'. ``` <!-- pdf-p"
WATKINS-UFORM-IMP-00061,literally,literally,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,436,453,"smite, slay",form_plus_single_quote_gloss,,"tract"", vazram mi rahe, the weapon of the divinity personified already in Indo-Iranian times (Thieme 1975). For Iranian alone preserves clearly the expression mivr m jan- -'break [literally 'smite, slay'] a contract'; Hymn to Mithra (Yt. 10"
WATKINS-UFORM-IMP-00062,m I jantarym paro dusmainiium,m i jantarym paro dusmainiium,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,319,336,"(who is) the pursuer of the adversary from behind, the slayer of the enemy from in front",form_plus_single_quote_gloss,,him han. ``` All five collocations of jan- and azi- in Avestan are metrical; they are all 12. For the agent noun with accusative construction cf. Yt. 17.12 vttaram paskat ham3r3&3m I jantarym paro dusmainiium '(who is) the pursuer of the ad
WATKINS-UFORM-IMP-00063,manasa vaca karmanava,manasa vaca karmanava,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,235,252,"by thought, word or deed",form_plus_single_quote_gloss,,"vhim dat frasastim 'who will give good glory to the 3. See on this figure Campanile 1977:97ff. 4. The same formula with nearly indentical terms in the TaittirTya Aranyaka 10.1.12 manasa vaca karmanava 'by thought, word or deed', See Schlera"
WATKINS-UFORM-IMP-00064,meaning of *k mis is just,meaning of k mis is just,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,416,433,worm,form_plus_single_quote_gloss,,"*urmis. The word is a rhyme formation in Indo-European to *ki'rmis, probably for reasons of tabu; *kl'rmis is found in Celtic, Balto-Slavic, Albanian, and Indo-Iranian. The usual meaning of *k mis is just 'worm' in most traditions, but in M"
WATKINS-UFORM-IMP-00065,medicus,medicus,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,538,555,physician,form_plus_single_quote_gloss,,"rfect nor without controversy (Dunkel, to appear). Benveniste also noted the agreement of Avestan vimaS'physician' and its derivative vimadaiia- 'treat' with Latin mederl 'treat', medicus 'physician', which allows the reconstruction of a me"
WATKINS-UFORM-IMP-00066,Mitra-atithi- is,mitra-atithi- is,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,245,262,"having mitra, the divinized ""covenant"", ""contract"", ""alliance"" as guest.",form_plus_single_quote_gloss,,"Notice (me), o son Upamas'ravas, grandson of Mitratithi; I am your father's praise-poet. ``` Upamd-sravas- is etymologically 'having the highest fame'; Mitra-atithi- is 'having mitra, the divinized ""covenant"", ""contract"", ""alliance"" as gues"
WATKINS-UFORM-IMP-00067,much like Umbrian,much like umbrian,Avestan/Old Iranian,latin-script,attested_or_cited_form,1,235,252,"girt and ungirt, under arms and not under arms",form_plus_single_quote_gloss,,"hear and those who rule, those who do not hear and those who do not rule' = those who do or do not take orders and those who do or do not give them). It is thus a ""magic square"", much like Umbrian 'girt and ungirt, under arms and not under "
