pdf_page	printed_page	page_anchor	line_no_in_extracted_page_text	source_candidate_pdf_text	normalized_candidate_pass5	normalized_candidate_pass6	lookup_candidate_pass6	confidence	confidence_pass6	repair_actions_pass6	issue_bucket_pass6	flags	context_line_pdf_text	normalized_candidate_pass7	lookup_candidate_pass7	confidence_pass7	issue_bucket_pass7	repair_actions_pass7	greek_nonlatin_class_pass7	pass7_note
79	1	pdf-page-079	47	*bbog-o-)	*bʰog-o-)	*bʰog-o-)	*bʰog-o-	medium	medium-repaired	mechanical_character_repair		aspirated_b	6 Wohl nicht aus zwei Bildungen *(_)bbag-6- 'zuteilend' und *bbag-o- (ggf. *bbog-o-) m. 'Zutei-	*bʰog-o-)	*bʰog-o-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	48	*bbag-o-	*bʰag-o-	*bʰag-o-	*bʰag-o-	medium	medium-repaired	mechanical_character_repair		aspirated_b	lung', die durch Akzentrückzug in substantiviertem *bbag-o- m. 'Zuteiler' nicht mehr unter-	*bʰag-o-	*bʰag-o-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
79	1	pdf-page-079	49	*bbag-o-	*bʰag-o-	*bʰag-o-	*bʰag-o-	medium	medium-repaired	mechanical_character_repair		aspirated_b	scheidbar waren, sondern PersonifIZierung des urspr. abstrakten *bbag-o- m. 'Zuteilung' zu	*bʰag-o-	*bʰag-o-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
80	2	pdf-page-080	18	*bbahZC-<'6-)	*bʰahZC-<'ó-)	*bʰah₂ǵ-(ó-)	*bʰah₂ǵ-(ó-	low	high-image-collated	normalized_quote_noise;image_collated_specific_repair	image_collated	aspirated_b;vowel_accent_surrogate_low_confidence	*bbahZC-<'6-) f. 'Buche,1	*bʰah₂ǵ-(ó-)	*bʰah₂ǵ-(ó-	high-image-collated	image_collated	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
80	2	pdf-page-080	19	?*bbahZC.2	?*bʰahZC.2	?*bʰah₂ǵ-	*bʰah₂ǵ-	low	high-image-collated	stripped_terminal_footnote_digits;image_collated_specific_repair	footnote_digits;image_collated	aspirated_b	? *bbahZC.2 f.	?*bʰah₂ǵ-	*bʰah₂ǵ-	high-image-collated	footnote_digits;image_collated	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
80	2	pdf-page-080	21	*bbah	*bʰah	*bʰah	*bʰah	medium	medium-repaired	mechanical_character_repair		aspirated_b	*bbah;,g-ejo{ahr	*bʰah	*bʰah	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
80	2	pdf-page-080	22	*bbah	*bʰah	*bʰah	*bʰah	medium	medium-repaired	mechanical_character_repair		aspirated_b	*bbah;,g-jahrn-	*bʰah	*bʰah	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
80	2	pdf-page-080	24	*bOk-f.	*bOk-f	*bOk-f	*bOk-f	source-layer	medium-repaired	trimmed_terminal_period			germ. *bOk-f. 'Buchstabe, Buch' in an. bOkf. (PI. ba:kr), ae. böc	*bOk-f	*bOk-f	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
80	2	pdf-page-080	30	*bOk-ö-	*bOk-ö-	*bOk-ö-	*bOk-ö-	source-layer	low-greek-or-nonlatin-surrogate	greek_or_nonlatin_surrogate_unresolved	greek_unresolved;still_unresolved		[germ. *bOk-ö- f. in got. boka 'Buchstabe', PI. 'Schrift(stück),	*bōk-ō-	*bōk-ō-	medium-repaired-greek-nonlatin-pass7	nonlatin_repaired	repaired_latin_macron_surrogates	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.
81	3	pdf-page-081	7	*bbag_	*bʰag_	*bʰag_	*bʰag_	medium	medium-repaired	mechanical_character_repair		aspirated_b	lyd. GN baki- (s. GUSMANI LW 74f.), aphryg. bagun (s. CIPP S. 125, vg!. hier sub *bbag_	*bʰag_	*bʰag_	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
81	3	pdf-page-081	9	(*bboh2K-)	(*bʰoh₂K-)	(*bʰoh₂K-)	*bʰoh₂K-	medium	medium-repaired	mechanical_character_repair		aspirated_b;laryngeal_h2_explicit	Bezeichnung eines Wagenteiles sowie mit o-VS (*bboh2K-) und Metathese der Konsonanten	(*bʰoh₂K-)	*bʰoh₂K-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
81	3	pdf-page-081	25	*aik-	*aik-	*aik-	*aik-	source-layer	source-layer				Nomen durch innergermanische Analogie nach dem Wort für 'Eiche' (germ. *aik- f. in an. ci/(,	*aik-	*aik-	source-layer		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
81	3	pdf-page-081	29	*bök-	*bök-	*bök-	*bök-	source-layer	low-greek-or-nonlatin-surrogate	greek_or_nonlatin_surrogate_unresolved	greek_unresolved;still_unresolved		448). Wenn diese Erklärung zutrifft, wäre germ. *bök- ebenso wie germ. *bök-ö- (s.u.) viel-	*bōk-	*bōk-	medium-repaired-greek-nonlatin-pass7	nonlatin_repaired	repaired_latin_macron_surrogates	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.
81	3	pdf-page-081	29	*bök-ö-	*bök-ö-	*bök-ö-	*bök-ö-	source-layer	low-greek-or-nonlatin-surrogate	greek_or_nonlatin_surrogate_unresolved	greek_unresolved;still_unresolved		448). Wenn diese Erklärung zutrifft, wäre germ. *bök- ebenso wie germ. *bök-ö- (s.u.) viel-	*bōk-ō-	*bōk-ō-	medium-repaired-greek-nonlatin-pass7	nonlatin_repaired	repaired_latin_macron_surrogates	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.
81	3	pdf-page-081	33	*bbahzIJ-O-	*bʰah₂IJ-O-	*bʰah₂ǵ-ó-	*bʰah₂ǵ-ó-	low	high-image-collated	image_collated_specific_repair	image_collated	aspirated_b;laryngeal_h2_surrogate	Nomen, woneben als Zugehörigkeitsbildung *bbahzIJ-O- 'zur Buche gehörig, Buchen-' ge-	*bʰah₂ǵ-ó-	*bʰah₂ǵ-ó-	high-image-collated	image_collated	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
81	3	pdf-page-081	34	*bbahzIJ-O-	*bʰah₂IJ-O-	*bʰah₂ǵ-ó-	*bʰah₂ǵ-ó-	low	high-image-collated	image_collated_specific_repair	image_collated	aspirated_b;laryngeal_h2_surrogate	standen habe. Durch Substantivierung von *bbahzIJ-O- (ohne Akzentverschiebung) in der Be-	*bʰah₂ǵ-ó-	*bʰah₂ǵ-ó-	high-image-collated	image_collated	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
81	3	pdf-page-081	35	*bbahzIJ-	*bʰah₂IJ-	*bʰah₂ǵ-	*bʰah₂ǵ-	low	high-image-collated	image_collated_specific_repair	image_collated	aspirated_b;laryngeal_h2_surrogate	deutung 'Buche' sei dieses Wort bereits grundsprachlich mit *bbahzIJ- als Baumnamen syn-	*bʰah₂ǵ-	*bʰah₂ǵ-	high-image-collated	image_collated	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
81	3	pdf-page-081	41	*bbhzIJ-	*bʰh₂IJ-	*bʰh₂ǵ-	*bʰh₂ǵ-	low	high-image-collated	image_collated_specific_repair	image_collated	aspirated_b;laryngeal_h2_surrogate	Buche gehörig, Buchen-', das vI. als Vrddhi-Bildung zu der zu postulierenden 5S *bbhzIJ- des	*bʰh₂ǵ-	*bʰh₂ǵ-	high-image-collated	image_collated	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
82	4	pdf-page-082	5	*bbahzg-ahr	*bʰah₂g-ahr	*bʰah₂g-ahr	*bʰah₂g-ahr	medium	medium-repaired	mechanical_character_repair		aspirated_b;laryngeal_h2_surrogate	6 Die germ. Formen führen auf ein Transp<mat *bbahzg-ahr , doch dürften sie sich vielmehr als	*bʰah₂g-ahr	*bʰah₂g-ahr	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
82	4	pdf-page-082	13	*bbahzg-nahr	*bʰah₂g-nahr	*bʰah₂g-nahr	*bʰah₂g-nahr	medium	medium-repaired	mechanical_character_repair		aspirated_b;laryngeal_h2_surrogate	lehnend OREL, AEW 4lf. *bbahzg-nahr ist jedenfalls nur Transponat, auf grundsprachlichen	*bʰah₂g-nahr	*bʰah₂g-nahr	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
82	4	pdf-page-082	25	*bbar{s}dh-olahr'Bart'!	*bʰar{s}dh-olahr'Bart'!	*bʰar{s}dh-olahr’Bart’!	*bʰar{s}dh-olahr’Bart’!	low	low	normalized_quote_noise;mechanical_character_repair	still_unresolved	aspirated_b	*bbar{s}dh-olahr'Bart'!	*bʰar{s}dh-olahr’Bart’!	*bʰar{s}dh-olahr’Bart’!	low	still_unresolved	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
82	4	pdf-page-082	26	*bbar{S}dh-o-	*bʰar{ā́}dh-o-	*bʰar{S}dh-o-	*bʰar{S}dh-o-	low	low	mechanical_character_repair	still_unresolved	aspirated_b;vowel_accent_surrogate_low_confidence	*bbar{S}dh-o-	*bʰar{S}dh-o-	*bʰar{S}dh-o-	low	still_unresolved	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
82	4	pdf-page-082	27	*bbardbahrto-	*bʰardʰahrto-	*bʰardʰahrto-	*bʰardʰahrto-	medium	medium-repaired	mechanical_character_repair		aspirated_b;aspirated_d	*bbardbahrto-	*bʰardʰahrto-	*bʰardʰahrto-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
82	4	pdf-page-082	28	*bbar(s)dbahrto-	*bʰar(s)dʰahrto-	*bʰar(s)dʰahrto-	*bʰar(s)dʰahrto-	medium	medium-repaired	mechanical_character_repair		aspirated_b;aspirated_d	*bbar(s)dbahrto-	*bʰar(s)dʰahrto-	*bʰar(s)dʰahrto-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
82	4	pdf-page-082	30	*barda-	*barda-	*barda-	*barda-	source-layer	source-layer				germ. *barda- m. (oder n.) in ahd. bart, ae. heard'Bart' u.a., an.	*barda-	*barda-	source-layer		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	3	*bbar-db-	*bʰar-dʰ-	*bʰar-dʰ-	*bʰar-dʰ-	medium	medium-repaired	mechanical_character_repair		aspirated_b;aspirated_d	positum *bbar-db- < *bbarz-db.., mit VG *bbar-, *bbar-es-, *bbor-es-, *bIJar-s- 'Spitze, Borste	*bʰar-dʰ-	*bʰar-dʰ-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	3	*bbarz-db..	*bʰarz-dʰ	*bʰarz-dʰ..	*bʰarz-dʰ..	medium	medium-repaired	mechanical_character_repair		aspirated_b;aspirated_d	positum *bbar-db- < *bbarz-db.., mit VG *bbar-, *bbar-es-, *bbor-es-, *bIJar-s- 'Spitze, Borste	*bʰarz-dʰ..	*bʰarz-dʰ..	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	3	*bbar-	*bʰar-	*bʰar-	*bʰar-	medium	medium-repaired	mechanical_character_repair		aspirated_b	positum *bbar-db- < *bbarz-db.., mit VG *bbar-, *bbar-es-, *bbor-es-, *bIJar-s- 'Spitze, Borste	*bʰar-	*bʰar-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	3	*bbar-es-	*bʰar-es-	*bʰar-es-	*bʰar-es-	medium	medium-repaired	mechanical_character_repair		aspirated_b	positum *bbar-db- < *bbarz-db.., mit VG *bbar-, *bbar-es-, *bbor-es-, *bIJar-s- 'Spitze, Borste	*bʰar-es-	*bʰar-es-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	3	*bbor-es-	*bʰor-es-	*bʰor-es-	*bʰor-es-	medium	medium-repaired	mechanical_character_repair		aspirated_b	positum *bbar-db- < *bbarz-db.., mit VG *bbar-, *bbar-es-, *bbor-es-, *bIJar-s- 'Spitze, Borste	*bʰor-es-	*bʰor-es-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	3	*bIJar-s-	*bIJar-s-	*bʰar-s-	*bʰar-s-	low	medium-repaired	mechanical_character_repair			positum *bbar-db- < *bbarz-db.., mit VG *bbar-, *bbar-es-, *bbor-es-, *bIJar-s- 'Spitze, Borste	*bʰar-s-	*bʰar-s-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	5	*dbehr	*dʰehr	*dʰehr	*dʰehr	medium	medium-repaired	mechanical_character_repair		aspirated_d	"die Paraphrase ""etwa 'der Borsten setzende' "" auf *dbehr 'stellen, legen, setzen u.a.' (UV"	*dʰehr	*dʰehr	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	8	*bbar(-es)_	*bʰar(-es)_	*bʰar(-es)_	*bʰar(-es)_	medium	medium-repaired	mechanical_character_repair		aspirated_b	Ebenfalls zu *bbar(-es)_, aber ohne Analyse als Kompositum lEW 110; WH I 96; SCHRUVER	*bʰar(-es)_	*bʰar(-es)_	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	9	*-a-	*-a-	*-a-	*-a-	source-layer	source-layer				1991,488 (rechnet mit ursprünglichem *-a-, da ein Ansatz *bbhzCrdb.. aus morphologischen	*-a-	*-a-	source-layer		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	9	*bbhzCrdb..	*bʰh₂Crdʰ	*bʰh₂Crdʰ..	*bʰh₂Crdʰ..	medium	medium-repaired	mechanical_character_repair		aspirated_b;aspirated_d;laryngeal_h2_surrogate	1991,488 (rechnet mit ursprünglichem *-a-, da ein Ansatz *bbhzCrdb.. aus morphologischen	*bʰh₂Crdʰ..	*bʰh₂Crdʰ..	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	14	*barzdä	*barzdä	*barzdä	*barzdä	source-layer	low-greek-or-nonlatin-surrogate	greek_or_nonlatin_surrogate_unresolved	greek_unresolved;still_unresolved		Kontamination mit einem im Balt. nicht belegten Wort für 'Furche' (balt. *barzdä = slav.	*barzdā	*barzdā	medium-repaired-greek-nonlatin-pass7	nonlatin_repaired	repaired_latin_macron_surrogates	latin-script-macron-surrogate	In lexical-form candidates, OCR ä/ö/ü/O were normalized as ā/ō/ū/ō where no opaque Greek/script surrogate or embedded gloss was present.
83	5	pdf-page-083	15	*brazda	*brazda	*brazda	*brazda	source-layer	source-layer				*brazda, vgl. TUSS. borozda, ENZEUN, BB 27 (1902),330) zu erklären, so z.B. lEW, WH 196,	*brazda	*brazda	source-layer		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	17	*bblm°auszugehen	*bʰlm°auszugehen	*bʰlm°auszugehen	*bʰlm°auszugehen	medium	medium-repaired	mechanical_character_repair		aspirated_b	2) Es ist von s-haltigem *bblm°auszugehen und mit s-Schwund für das Germ., Slav., Teile des	*bʰlm°auszugehen	*bʰlm°auszugehen	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	18	*db>	*dʰ>	*dʰ>	*dʰ>	low	low	mechanical_character_repair	still_unresolved	aspirated_d	Balt. und das Lat. zu rechnen (erst danach *db> lat. bnach *.ry (KLUGE/SEEBOLD).	*dʰ>	*dʰ>	low	still_unresolved	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	18	*.ry	*.ry	*.ry	*.ry	source-layer	source-layer				Balt. und das Lat. zu rechnen (erst danach *db> lat. bnach *.ry (KLUGE/SEEBOLD).	*.ry	*.ry	source-layer		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	22	*bbardb-dba-)	*bʰardʰ-dʰa-)	*bʰardʰ-dʰa-)	*bʰardʰ-dʰa-	medium	medium-repaired	mechanical_character_repair		aspirated_b;aspirated_d	"*bbardb-dba-), LEW I 36 (""Die zd-Formen vergleichen sich mit ai. bh""p- 'Spitze, Zacke', ahd."	*bʰardʰ-dʰa-)	*bʰardʰ-dʰa-	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	25	*h2	*h₂	*h₂	*h₂	high-mechanical	medium-repaired	mechanical_character_repair		laryngeal_h2_explicit	und Ansätze mit *h2 nicht zu den belegten Formen führen.	*h₂	*h₂	medium-repaired		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	27	*bardon-	*bardon-	*bardon-	*bardon-	source-layer	source-layer				germ. *bardon- in ahd. barta, parta f. n, as. barda usw. '(eine Art) Axt, Streitaxt, Hacke, Haue'.	*bardon-	*bardon-	source-layer		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
83	5	pdf-page-083	32	*tarba	*tarba	*tarba	*tarba	source-layer	source-layer				3 WH I 96, LEUMANN 168: < *tarba durch Femassimilation.	*tarba	*tarba	source-layer		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
84	6	pdf-page-084	2	*baidäwurde	*baidäwurde	*baidäwurde	*baidäwurde	source-layer	low-greek-or-nonlatin-surrogate	greek_or_nonlatin_surrogate_unresolved	greek_unresolved;still_unresolved		*baidäwurde im Dialekt des Autors des Elbinger Vokabulars zum u-8tamm umgestaltet. Vgl.	*baidā	*baidā	filtered-noise-fragment	greek_unresolved;still_unresolved;candidate_boundary_noise	trimmed_obvious_nonlexical_tail_for_lookup;marked_candidate_boundary_noise	candidate-boundary-noise-with-nonlatin	Candidate includes source prose or gloss captured as part of a form; lookup trimmed only where mechanically obvious.
84	6	pdf-page-084	3	*bordo	*bordo	*bordo	*bordo	source-layer	source-layer				"noch TRAUTMANN 1910,313: ""vielleicht fern. PI. eines *bordo = leU. ba'rda""."	*bordo	*bordo	source-layer		no_pass7_change		Outside pass-7 Greek/non-Latin target set.
84	6	pdf-page-084	5	*blJeg-	*blJeg-	*bʰeg-	*bʰeg-	source-layer	high-image-collated	image_collated_specific_repair	image_collated		*blJeg- 'brechen (tr.)'	*bʰeg-	*bʰeg-	high-image-collated	image_collated	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
84	6	pdf-page-084	6	?*bbeg-o-	?*bʰeg-o-	?*bʰeg-o-	*bʰeg-o-	medium	high-image-collated	image_collated_specific_repair	image_collated	aspirated_b	? *bbeg-o-	?*bʰeg-o-	*bʰeg-o-	high-image-collated	image_collated	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
84	6	pdf-page-084	7	?*-bbog-o-	?*-bʰog-o-	?*-bʰog-o-	*-bʰog-o-	medium	high-image-collated	image_collated_specific_repair	image_collated	aspirated_b	? *-bbog-o-	?*-bʰog-o-	*-bʰog-o-	high-image-collated	image_collated	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
84	6	pdf-page-084	8	?*-bbog-6-	?*-bʰog-ó-	?*-bʰog-ó-	*-bʰog-ó-	low	high-image-collated	image_collated_specific_repair	image_collated	aspirated_b;vowel_accent_surrogate_low_confidence	? *-bbog-6-	?*-bʰog-ó-	*-bʰog-ó-	high-image-collated	image_collated	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
84	6	pdf-page-084	9	*bbeg-n6-	*bʰeg-nó-	*bʰeg-nó-	*bʰeg-nó-	low	high-image-collated	image_collated_specific_repair	image_collated	aspirated_b;vowel_accent_surrogate_low_confidence	*bbeg-n6-	*bʰeg-nó-	*bʰeg-nó-	high-image-collated	image_collated	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
84	6	pdf-page-084	10	*bbeg-t6-	*bʰeg-tó-	*bʰeg-tó-	*bʰeg-tó-	low	high-image-collated	image_collated_specific_repair	image_collated	aspirated_b;vowel_accent_surrogate_low_confidence	*bbeg-t6-	*bʰeg-tó-	*bʰeg-tó-	high-image-collated	image_collated	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
84	6	pdf-page-084	12	*bbeg-IJto-	*bʰeg-IJto-	*bʰeg-n̥to-	*bʰeg-n̥to-	low	high-image-collated	image_collated_specific_repair	image_collated	aspirated_b	*bbeg-IJto-	*bʰeg-n̥to-	*bʰeg-n̥to-	high-image-collated	image_collated	no_pass7_change		Outside pass-7 Greek/non-Latin target set.
