pdf_page	printed_page	page_anchor	source_candidate_pdf_text	normalized_candidate_pass6	normalized_candidate_pass7	lookup_candidate_pass7	confidence_pass7	repair_actions_pass7	issue_bucket_pass7	greek_nonlatin_class_pass7	pass7_note	context_line_pdf_text
126	48	pdf-page-126	*büa-mJn.	*büa-mJn	*büa-mJn	*büa-mJn	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	germ. *büa-mJn. in an. b6n. 'Gehöft', as., ae bün. oder m.
129	51	pdf-page-129	*-cpp.alo	*-cpp.alo	*-cpp.alo	*-cpp.alo	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	(ll.+) verglichen, das als *-cpp.alo; oder *-qnJaÄ.ol; zu interpretieren wäre, Lit. s. GEW 11
129	51	pdf-page-129	*-qnJaÄ.ol	*-qnJaÄ.ol	*-qnJaÄ.ol	*-qnJaÄ.ol	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	(ll.+) verglichen, das als *-cpp.alo; oder *-qnJaÄ.ol; zu interpretieren wäre, Lit. s. GEW 11
130	52	pdf-page-130	*bIlSIl-ijo-	*bIlSIl-ijo-	*bIlSIl-ijo-	*bIlSIl-ijo-	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	PEDERSEN, VKG 11443 Anm., 1 als *bIlSIl-ijo- statt *bboll-ijo- ebenfalls hierher stellt. Das
131	53	pdf-page-131	*cpu-rrptöv	*cpu-rrptöv	*cpu-rrptöv	*cpu-rrptöv	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	:!Ci Vgl. DMic. 1 174f., 179 mit Lit. Hierher noch myk. pu-te-rija Adj. f., falls *cpu-rrptöv, ASg.
131	53	pdf-page-131	*qrotTIÄlÖV	*qrotTIÄlÖV	*qrotTIÄlÖV	*qrotTIÄlÖV	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	*qrotTIÄlÖV, ASg. zu pu-te-rija, d.h. cp\mXÄtcX
131	53	pdf-page-131	*cpt1-.	*cpt1-	*cpt1-	*cpt1-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	27 Wohl Neubildung, ausgehend von auch anderweitig belegtem *cpt1-.
132	54	pdf-page-132	*lpßtu.	*lpßtu	*lpßtu	*lpßtu	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	stamm *bbuhrie- (vgl. LIV 100, Anm. 15) oder mit CURTIUS dissimiliert aus *lpßtu. Die
134	56	pdf-page-134	*cpcouA.eoc	*cpcouA.eoc	*cpcouA.eoc	*cpcouA.eoc	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	später Bezeugung wohl alt. Skeptischer DELG 11 1237: Ansatz *cpcouA.eoc; und Anschluß an
140	62	pdf-page-140	*Suvar-däta-	*Suvar-däta-	*Suvar-däta-	*Suvar-däta-	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	Mitanni woW *-däta- 'geschenkt' in *Suvar-däta- ID. PN76
142	64	pdf-page-142	"*S!cür""-do-(?)"	"*S!cür""-do-(?)"	"*S!cür""-do-(?)"	"*S!cür""-do-(?"	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	"11 Nach OLSEN 1999, 42 <*S!cür""-do-(?), vgl. ahd., as., ae. scür'Platzregen, Dusche' < *skub1ro-"
144	66	pdf-page-144	*d(NH-pönei	*d(NH-pönei	*d(NH-pönei	*d(NH-pönei	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	24 Vgl. MLH V.1367f.: < *d(NH-pönei
146	68	pdf-page-146	*ÖOOJ.L6c	*ÖOOJ.L6c	*ÖOOJ.L6c	*ÖOOJ.L6c	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	57 Vgl. DMic. I 192 mit Lit.: Wohl substantiviertes Adjektiv der Bedeutung 'was zum *ÖOOJ.L6c;
154	76	pdf-page-154	*qje!!	*qjeu̯	*qjeu̯	*qjeu̯	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	34 Aufdem VSg. *qje!! basiert der ASg. alat. diouem, vgl. MEISER 1998, 144.
154	76	pdf-page-154	*qje!Jl11S	*qje!Jl11S	*qje!Jl11S	*qje!Jl11S	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	36 Lautgesetzlich (mit Stangs Gesetz, s. auch u. zu ASg.) aus *qje!Jl11S > *djls, s. TlCUY 2004,
154	76	pdf-page-154	*qjo!!-jaahr	*qjou̯-jaahr	*qjou̯-jaahr	*qjou̯-jaahr	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	Die Grundform kann ein dehnstufiges *dje!!-jaahr sein, als Variante von *qjo!!-jaahr in
154	76	pdf-page-154	*qjop-	*qjop-	*qjop-	*qjop-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	1*qjop- des u-Stammes, s.d., vgl. wau 179f. Eine Rückführung von difviiaiauf *dip-ja!ah;r ist
154	76	pdf-page-154	*qjes	*qjes	*qjes	*qjes	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	*dje als umbr. Neubildung ausgehend vom NSg. *qjes, s. wau 183f.
158	80	pdf-page-158	*tQell-	*tQell-	*tQell-	*tQell-	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	753f. wohl Erweiterung \Ton uridg. *tQell- 'Himmel(sgott), Tag'.
160	82	pdf-page-160	*donk-ßhr	*donk-ßhr	*donk-ßhr	*donk-ßhr	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	* donk-ßhr f.
164	86	pdf-page-164	*dbeh:Ä.ItJ-/*dboh:Ä.ltJ-	*dʰeh:Ä.ItJ-/*dʰoh:Ä.ltJ-	*dʰeh:Ä.ItJ-/*dʰoh:Ä.ltJ-	*dʰeh:Ä.ItJ-/*dʰoh:Ä.ltJ-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	*dbeh:Ä.ItJ-/*dboh:Ä.ltJ- (bzw. *deh:;blL etc.) > *däb-/*döb- (> lit. dob-lduob- etc.), vgl. IEW
169	91	pdf-page-169	*xe-ql-	*xe-ql-	*xe-ql-	*xe-ql-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	8 Mit durchgeführter SS der Wz. und Metathese *dbglLom- > *xe-ql-, vgl. GEW 11 1098f.; der
169	91	pdf-page-169	*dbglLöm	*dʰglLöm	*dʰglLöm	*dʰglLöm	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	im Auslaut lautgesetzlieh entstehen konnte, also aus etwa NSg. *dbglLöm (statt *dbigb-öm)
170	92	pdf-page-170	*dbgb..em-fX..n)	*dʰgʰ..em-fX..n)	*dʰgʰ..em-fX..n)	*dʰgʰ..em-fX..n	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	(1997), 95f. zeigte die Abltg. Ablaut, NSg. *dbgb..em-fX..n), GSg. *dbgb-m-en-s, mit Lindernan-
170	92	pdf-page-170	*gb..rpm-fX..n)	*gʰ..rpm-fX..n)	*gʰ..rpm-fX..n)	*gʰ..rpm-fX..n	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	*gb..rpm-fX..n) etc. entstanden sein kann (s. Anm.l), die balt. Wörter reflektieren indessen in
170	92	pdf-page-170	*dJJg.&-em-b:JX	*dJJg.&-em-b:JX	*dJJg.&-em-b:JX	*dJJg.&-em-b:JX	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	Herleitung aus *dJJg.&-em-b:JX,.n) / *dJJgb..1fJ-h;}11- diskutiert. Nach OETTINGER, IncLing 20
170	92	pdf-page-170	*(dltJgb..m-fX..n)	*(dltJgʰ..m-fX..n)	*(dltJgʰ..m-fX..n)	*(dltJgʰ..m-fX..n	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	*(dltJgb..m-fX..n) zurückgehen kann und damit also nicht die Lindeman-Variante zugrunde
179	101	pdf-page-179	*däXli-	*däXli-	*däXli-	*däXli-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	germ. *däXli- f. 'Tat' z.B. in got. gadcjJs* f. i, an. dib, ae. dä!d, as.
183	105	pdf-page-183	*-dbehrZUTÜck.	*-dʰehrZUTÜck	*-dʰehrZUTÜck	*-dʰehrZUTÜck	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	DERKSEN 1996, 24, auf dehnstufiges (und asigmatisches?) *-dbehrZUTÜck.
184	106	pdf-page-184	*hßrbb..o-	*hßrbʰ..o-	*hßrbʰ..o-	*hßrbʰ..o-	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	DTB 506; EIEC 108: orbis als *b~rbb..i- zu toch. AB yerpe 'Kreis, Ball' < *hßrbb..o- (Vrddhi-
184	106	pdf-page-184	*bßrbb...	*bßrbʰ...	*bßrbʰ...	*bßrbʰ...	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	alternativ das Lat. < *brorbb.., das Toch. < *bßrbb... Hierher noch rnkyrnr. rhefr m./f.
184	106	pdf-page-184	*n7Jrriä-	*n7Jrriä-	*n7Jrriä-	*n7Jrriä-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	'Hintern, Anus'. falls aus *n7Jrriä- < *brrIJb..rdehr . Zu beachten auch WEISS, Latin Orbis and
186	108	pdf-page-186	*rpßhreJbhro-	*rpßhreJbhro-	*rpßhreJbhro-	*rpßhreJbhro-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	Aus *rpßhreJbhro- 'hochgestellt, groB gemacht' mit VG •rpglJr (s. sub •meg- 'groß') nach
195	117	pdf-page-195	*6E-6Il6l	*6E-6Il6l	*6E-6Il6l	*6E-6Il6l	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	12: Eher als *6E-6Il6l; zu 6EJ.I.-.
196	118	pdf-page-196	(*totx<>-Ö6IJ.ot)	(*totx<>-Ö6IJ.ot)	(*totx<>-Ö6IJ.ot)	*totx<>-Ö6IJ.ot	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	(*totx<>-Ö6IJ.ot)
199	121	pdf-page-199	*darSöiS	*darSöiS	*darSöiS	*darSöiS	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	mente. Zum GSg. dariiiöiSs. HOFFMANN/FORSSMAN 134: anal. statt *darSöiS, anders BAR-
201	123	pdf-page-201	*dböub{J)6-.	*dʰöub{J)6-	*dʰöub{J)6-	*dʰöub{J)6-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	ob *dböub{J)6-. Nach DYBO 2002, 424 mit *-Öl!- < *-ou- durch Winter-Dehnung; alternativ
210	132	pdf-page-210	*dbIlCr(h})-	*dʰIlCr(h})-	*dʰIlCr(h})-	*dʰIlCr(h})-	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	*dbIlCr(h})- 'auseinandergehen' zugrunde, an die sich zahlreiche weitere Wörter anschließen
210	132	pdf-page-210	*dbIlCr(hJ)-	*dʰIlCr(h₃)-	*dʰIlCr(h₃)-	*dʰIlCr(h₃)-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	ließen, z.B. gr. a6pallol; m. 'weibliche Scham', laI. fornix m. 'Gewölbe', die Sippe *dbIlCr(hJ)-
214	136	pdf-page-214	*i1J1H-el-iiön-	*i1J1H-el-iiön-	*i1J1H-el-iiön-	*i1J1H-el-iiön-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	*i1J1H-el-iiön-
220	142	pdf-page-220	?*ßIlhrVo-	?*ßIlhrVo-	?*ßIlhrVo-	*ßIlhrVo-	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	?*ßIlhrVo-
220	142	pdf-page-220	*(-)ßIlhrto-	*(-)ßIlhrto-	*(-)ßIlhrto-	*(-)ßIlhrto-	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	*(-)ßIlhrto-
220	142	pdf-page-220	*ßIlhrt-(i)jo_94	*ßIlhrt-(i)jo	*ßIlhrt-(i)jo	*ßIlhrt-(i)jo	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	footnote_digits;greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	*ßIlhrt-(i)jo_94
222	144	pdf-page-222	*-ßnhro-	*-ßnhro-	*-ßnhro-	*-ßnhro-	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	5 Mit bereits voreinzelsprachlichem *-ßnhro- ... *-gn..o-, vgl. BEEKES 1%9, 244, SCHRUVER
224	146	pdf-page-224	*ßinhr	*ßinhr	*ßinhr	*ßinhr	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	Pandigtnen aufgefllllt wurden, d:h. *ßinhr l11{1 > janima, *genhrmn-ej > *janman-e-+
226	148	pdf-page-226	*zätlJ-.	*zätlJ-	*zätlJ-	*zätlJ-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	52 Vgl. EWAia I 583f. mit Lit.: in der akkad. Fassung ZB-'-tu-'-s, enthält im VG iran. *zätlJ-.
228	150	pdf-page-228	*ßphrjo-	*ßphrjo-	*ßphrjo-	*ßphrjo-	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	vid-yA- 'Wissen' zu YEl), mit *ßphrjo- in got. /wni u.a. 'Geschlecht' bestehe wohl kein Erbzu-
234	156	pdf-page-234	*JmäMi-	*JmäMi-	*JmäMi-	*JmäMi-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	germ. *JmäMi- f. in ahd. urchnät, urJmät'Erkenntnis,52
234	156	pdf-page-234	*Jmösla-	*Jmösla-	*Jmösla-	*Jmösla-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	germ. *Jmösla- n. 'Sippe, Geschlecht' in ae. cnösl, as. JmösaJ, ahd.
236	158	pdf-page-236	*tphrPo-	*tphrPo-	*tphrPo-	*tphrPo-	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	Zu lat. (g)nävus 'emsig, regsam, tatkräftig, unverdrossen', das als *tphrPo- hierher gestellt
239	161	pdf-page-239	*knä:(wJi-	*knä:(wJi-	*knä:(wJi-	*knä:(wJi-	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	50 Vgl. noch germ. *knä:(wJi- in ae. -cnäwe, -cnä:we, z.B. ge- 'bewußt', or- 'offensichtlich'; nach
240	162	pdf-page-240	*gnä-t-sJom.	*gnä-t-sJom	*gnä-t-sJom	*gnä-t-sJom	low-greek-or-nonlatin-surrogate	kept_unresolved_opaque_script_surrogate	greek_unresolved;still_unresolved;greek_or_script_surrogate_still_unresolved	greek-or-opaque-script-surrogate	Contains OCR surrogate characters for Greek or custom-font notation; left unresolved rather than guessed.	Anders HIRT, PBB 23, 291, gefolgt von GED 220: denominal< *gnä-t-sJom.
241	163	pdf-page-241	*gbCj-öm	*gʰCj-öm	*gʰCj-öm	*gʰCj-öm	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	*gbCj-öm, ASg. *gbCj-om-tp, LSg. *gb(l)l~em, GSg. *gbi·m-es, im ASg. wird z.T. bereits grund-
241	163	pdf-page-241	*gbCj-öm	*gʰCj-öm	*gʰCj-öm	*gʰCj-öm	low-greek-or-nonlatin-surrogate	kept_unresolved_nonlatin_other	greek_unresolved;still_unresolved;nonlatin_still_unresolved	nonlatin-unresolved-other	No safe mechanical repair rule applied.	*gbCj-öm, ASg. *gbi-em-m, GSg. *gbi-m-os). Die SS der Wz. ist in den Fortsetzem des m-
