display_form,count,first_page,sample_context
*Hieu(H)-,1,13,root [55:442; 85:147–8]. One suggestion has been to derive it from a verbal root *Hieu(H)-
*HieuH-,1,13,"Another proposed connection is with the root *HieuH- ‘graze’, cf. Skt. yávasa- n. ‘grass, fod-"
*HieuH-es-o-,1,13,"der, pasturage’, YAv. yauuaŋha- n. ‘pasture’ < *HieuH-es-o-, and possibly Kal. žu- ‘eat’, Wakh."
*Hieuh₂-men-eh₂-,1,13,"ture, flood plain, meadow’, continuing *Hieuh₂-men-eh₂- [134], it is formally incompatible"
*Hoket-(i)eh2-,1,29,*Hoket-(i)eh2-
*Hoket-(i)eh₂-,1,13,"*Hoket-(i)eh₂- (*o^ketā ‘Egge, Gera¨t mit Spitzen’ [44:18–22]; *h₁/₄okétehₐ- ‘harrow, rake’"
*Hoketā,1,13,ostensibly metathesized from *Hoketā prior to the Proto-Indo-Iranian palatalization of the
*HrHuaraH-,1,12,"urvárā- f. ‘arable land, field’, Av. uruuarā- f.pl. ‘(edible?) plant’ < PIIr. *HrHuaraH-, Arm. har-"
*HurH-na-,1,8,"is the regular outcome of *-rn-, although waṛə́i ‘wool’ < *HurH-na- and esp. the variation of"
*Hād(ʰ)-u(-kā̆)-.,1,9,seed grain(?)’ [98:968–9; 99; 100:1–7] < PIIr. *Hād(ʰ)-u(-kā̆)-. An unattested Old Persian cog-
*H₂adHor,1,9,"?*h₂ed-o(s)- (*ades-, *ados- [44:3]; *h₂ed- ‘grain, barley’ [18:273]; *H₂adHor [19:101–3, 117–"
*H₂awi^g-i-,1,19,"†*h₂eui(ḱ/g´ʰ)s- (*au̯i^g- ‘Grasart, Hafer’ [44:88]; *hₐeu̯isos [18:7, 409]; *H₂awi^g-i- [19:66];"
*H₂érgʷhr̥,1,12,"and OIr. arbor, gen. -e n. ‘grain’ < PC *aru̯ar, *-ens (not with Witczak [19:82] from *H₂érgʷhr̥"
*^ghel-,1,7,?*g´ʰolH-o- (*^ghel- 2 ‘schneiden’?? [44:434];? *ǵhel- ‘plow’ [18:435]; *gʰel- ‘plough’ [10])
*^ghersd(h),1,7,ley’ [18:51]; *^ghersd(h): *^ghrī́d(h) [19:55–6]; *^gʰresdʰ(i) ‘± grain’) [10]:? Hitt. karaš n.
*^gherzd(h),1,7,"*ǵʰ(e)rs(d)- (*^gherzd(h), Gen. *^ghr̥zd(h)-es; ^gherzdā [44:446]; *^gʰresdʰ(i), gen. *^gʰrsdʰós ‘bar-"
*^ghrī́d(h),1,7,ley’ [18:51]; *^ghersd(h): *^ghrī́d(h) [19:55–6]; *^gʰresdʰ(i) ‘± grain’) [10]:? Hitt. karaš n.
*^ghr̥zd(h)-es,1,7,"*ǵʰ(e)rs(d)- (*^gherzd(h), Gen. *^ghr̥zd(h)-es; ^gherzdā [44:446]; *^gʰresdʰ(i), gen. *^gʰrsdʰós ‘bar-"
*^grhₐnóm,2,7,"*ǵrH-no- (*^gr̥-nóm [44:390–1]; *^grhₐnóm ‘grain’ [18:236]; *^gr̥Hnóm [19:43, 116–7]; *^grhₐnóm"
*^gr̥-nóm,1,7,"*ǵrH-no- (*^gr̥-nóm [44:390–1]; *^grhₐnóm ‘grain’ [18:236]; *^gr̥Hnóm [19:43, 116–7]; *^grhₐnóm"
*^gr̥Hnóm,1,7,"*ǵrH-no- (*^gr̥-nóm [44:390–1]; *^grhₐnóm ‘grain’ [18:236]; *^gr̥Hnóm [19:43, 116–7]; *^grhₐnóm"
*^gʰresdʰ(i),2,7,"*ǵʰ(e)rs(d)- (*^gherzd(h), Gen. *^ghr̥zd(h)-es; ^gherzdā [44:446]; *^gʰresdʰ(i), gen. *^gʰrsdʰós ‘bar-"
*^gʰrsdʰós,1,7,"*ǵʰ(e)rs(d)- (*^gherzd(h), Gen. *^ghr̥zd(h)-es; ^gherzdā [44:446]; *^gʰresdʰ(i), gen. *^gʰrsdʰós ‘bar-"
*^k(ó)pr̥,1,22,?*tḱop-ero- (*^k(ó)pr̥ ‘oats’ [19:58; 193]):? Hitt. kappar- ‘greens(?)’ <? PAn. *ḱop-r-;? Jassic
*^kehₐpos,1,14,"*^kehₐpos ~ *^kehₐpéhₐ) ‘piece of land, garden’ [18:200]; *kāpos ‘field’ [10]):? Shu. sε̄pc, Rosh."
*^kehₐpéhₐ),1,14,"*^kehₐpos ~ *^kehₐpéhₐ) ‘piece of land, garden’ [18:200]; *kāpos ‘field’ [10]):? Shu. sε̄pc, Rosh."
*^ker-2,1,14,"†*keres- (*^ker-2, ^kerə-, ^krē- [44:577]; *kers [19:82]; *keres- ‘millet’ [10]): Hitt. karaš n. ‘wheat,"
*^kþoryanos,2,23,†*tḱor-iano- (*^kþoryanos [19:99–100]): Arm. cᶜorean ‘wheat’; OIr. tuirenn f. ‘wheat’
*^kāpos,1,14,"*(ḱ)eh₂p-o/eh₂- (*kāp-, *kəp- ‘Stu¨ck Land, Grundstu¨ck’ [44:529]; *^kāpos ~ ^kāpéha (or"
*a,7,5,"This European word is traditionally reconstructed as a PIE s-stem *bʰar-(e)s-, with *a in the"
*a(k)(ś)ti-,1,11,"*a(k)(ś)ti-; Ru. ost’ f. ‘awn’, Pol. ość f. ‘fishbone, awn, thorn’, Sln. ǫ̑ st f. ‘point, prick’ < PSl."
*a^g-ro-s,1,19,"*h₂eg´-ro- (*a^g-ro-s ‘Feld, Flur’ [44:4–6; 79:8]; *hₐe^gros ‘field, pasture’ [18:200]): Skt. ájra- m."
*a^ken-,1,23,"*h₂eḱ-on-eh₂- (*a^ken- [44:18–22]): Go. ahana, ON ǫgn f. ‘chaff’, OE ægnan f.pl. ‘awns, chaff,"
*a^kes-,1,11,"*h₂eḱ-os- (*a^kes-: *a^ks- [44:18–22]; *hₐe^kes- ‘ear of grain’ [18:237]): ToA āk*, ToB āke n. ‘end,"
*a^ks-,1,11,"*h₂eḱ-os- (*a^kes-: *a^ks- [44:18–22]; *hₐe^kes- ‘ear of grain’ [18:237]): ToA āk*, ToB āke n. ‘end,"
*a^ksti-,1,11,"?*h₂eḱ-ti- (*a^ksti- [44:18–22]; *hₐe^kstí- ‘awn, bristle’ [18:237]; *h₂e^kstí- ‘ear’ [10]):? ToB āśce f."
*ad(-os)-,1,9,*adō̆ r-; OIr. gl. ad ‘ador’ <? PC *ad(-os)-
*ades-,1,9,"?*h₂ed-o(s)- (*ades-, *ados- [44:3]; *h₂ed- ‘grain, barley’ [18:273]; *H₂adHor [19:101–3, 117–"
*ados-,1,9,"?*h₂ed-o(s)- (*ades-, *ados- [44:3]; *h₂ed- ‘grain, barley’ [18:273]; *H₂adHor [19:101–3, 117–"
*adō̆,2,9,"ezzisc m. ‘seeds’ < *atiska-; Lat. ador, -ō̆ris n. ‘sacral grain, (roasted) spelt’ < PIt. *adō̆ s- or"
*aganō-,1,23,"refuse’, OHG agana f. ‘chaff, awn, straw’ < PGm. *aganō-; Lat. agna f. ‘ear of grain’ < PIt."
*age/iþ(j)ō-,1,13,"33]); OHG egida, OS gl. egitha, OE egeðe f. ‘harrow’ < *age/iþ(j)ō-; Lat. occa f. ‘harrow(?),"
*ageþjō-,1,13,"from *okitā- as well, but since *ageþjō- is an alternative reconstruction, it may be closer to the"
*agiþō-,1,13,"of *tk > kk [140:230]. The Germanic form, usually reconstructed as *agiþō-, can be derived"
*agjan-,1,13,"manic and Baltic, viz. OS gi-eggian, OHG ecken ‘harrow’ < *agjan- and Lith. akė́ti, ekė́ti, Latv."
*agro-,1,19,*agro-
*ahiz-,2,11,"*ahiz- ~ *ahsa-; Lat. acus, -eris n. ‘husks of grain or beans; chaff’ < PIt. *akos-"
*ahsa-,2,11,"*ahiz- ~ *ahsa-; Lat. acus, -eris n. ‘husks of grain or beans; chaff’ < PIt. *akos-"
*ai,1,15,form resists derivation from *maij́ʰiukā-: since ī cannot continue PIr. *ai and ž cannot regu-
*air(i̯)ā-,1,10,"PGk. *air(i̯)ā-; Latv. aĩrenes ‘ryegrass’, dial. aĩres f.pl. ‘a kind of weed’ < PBSl. *airiaʔ-"
*airiaʔ-,1,10,"PGk. *air(i̯)ā-; Latv. aĩrenes ‘ryegrass’, dial. aĩres f.pl. ‘a kind of weed’ < PBSl. *airiaʔ-"
*aka,1,11,"Since āka at face value continues PTo. *aka < *h₂eḱk-h₂, it might be preferable to separate it"
*akanā-,1,23,*akanā-
*ake,1,11,"tip (of grass)’ < PTo. *ake; Go. ahs, ON ax, OE ēar, OHG ahar, ehir n. ‘ear of grain’ <"
*ake¯tiā-,1,13,OPru. EV aketes ‘harrow’ < *ake¯tiā- (whence possibly Fi. äes ‘harrow’ [136:146; 137:147 fn.
*akos-,1,11,"*ahiz- ~ *ahsa-; Lat. acus, -eris n. ‘husks of grain or beans; chaff’ < PIt. *akos-"
*akra-,1,19,"OHG ackar m. ‘cultivated field’ < PGm. *akra-; Lat. ager m. ‘field, farm, terrain’ < PIt."
*alaca),1,19,"type of wheat’ (< PRom. *alaca), Rom. alác ‘spelt, einkorn wheat’ (< *allacus), which thus add"
*albhi,1,11,"*h₂(e)lbʰ-it- (*albhi- [44:29]; *h₂élbʰit ‘barley’ [18:51]; *albhi [19:58–9]; *h₂elbʰit- ‘± grain,?"
*albhi-,1,11,"*h₂(e)lbʰ-it- (*albhi- [44:29]; *h₂élbʰit ‘barley’ [18:51]; *albhi [19:58–9]; *h₂elbʰit- ‘± grain,?"
*albi(t)-,1,11,PAlb. *albi(t)-
*allacus),1,19,"type of wheat’ (< PRom. *alaca), Rom. alác ‘spelt, einkorn wheat’ (< *allacus), which thus add"
*alpʰit-,1,11,"barley’ [10]): Gk. ἄλφι, pl. ἄλφιτα n. ‘barley-groats’ < PGk. *alpʰit-; Alb. elb m. ‘barley’ <"
*alōu̯,1,23,"*h₂loh₁-uo/eh₂- [79:8]: Gk. ἅλωB, ἀλωή f. ‘threshing floor’ < PGk. *alōu̯ (-ā)-; OSw. lō m."
*amarnā-,1,8,"maṇá ‘apple’ ~ maṛa-γúne ‘colocynth, bitter apple’ (lit. “apple-like”) < *amarnā- provide"
*ar(ə)-,1,12,*h₂erh₃- (*ar(ə)- ‘pflu¨gen’ [44:62–3]; *hₐérh₃ie/o- ‘plow’ [18:434]; *h₂érh₃ye/o- ‘plough’ [10]):
*araje/o-,1,12,OHG erien ‘plow’ < PGm. *arjan-; Lat. arāre ‘plow’ < PIt. *araje/o-; MIr. airim ‘plow’ <
*arbusa-,1,11,and similar forms have been compared through a protoform PIr. *arbusa- [18:51; 21:53;
*ari̯o-,1,12,PC *ari̯o-
*arjan-,1,12,OHG erien ‘plow’ < PGm. *arjan-; Lat. arāre ‘plow’ < PIt. *araje/o-; MIr. airim ‘plow’ <
*aroi̯e/o-,1,12,"Gk. ἀρόω ‘plow, plant’ < PGk. *aroi̯e/o-; Lith. árti (ariù), Latv. ar^t ‘plow’ < PB *arʔi̯a-;"
*arp-,1,11,"67:367; 118:92]. However, these go back to unrelated PIIr. *arp- [81:10; 119:281], itself highly"
*arpa,1,11,"reminiscent of Turkic *arpa ‘barley’ [120:9]. Without the Iranian cognate, the word acquires a"
*aru̯ar,1,12,"and OIr. arbor, gen. -e n. ‘grain’ < PC *aru̯ar, *-ens (not with Witczak [19:82] from *H₂érgʷhr̥"
*arʔi̯a-,1,12,"Gk. ἀρόω ‘plow, plant’ < PGk. *aroi̯e/o-; Lith. árti (ariù), Latv. ar^t ‘plow’ < PB *arʔi̯a-;"
*atiska-,2,9,"ezzisc m. ‘seeds’ < *atiska-; Lat. ador, -ō̆ris n. ‘sacral grain, (roasted) spelt’ < PIt. *adō̆ s- or"
*atiskaz,1,9,"rather continues an adjective in *-iska- [92:188], perhaps in elliptic use, e.g. *atiskaz akraz"
*attinno-.,1,11,related OIr. aittenn m. ‘furze’ rather points to a PC form *attinno-. Even if the Irish form is a
*au.,1,5,"[19:57; 21:54], is phonologically incompatible, as the Ossetic vocalism points to PIr. *au."
*au̯i^g-,2,19,"†*h₂eui(ḱ/g´ʰ)s- (*au̯i^g- ‘Grasart, Hafer’ [44:88]; *hₐeu̯isos [18:7, 409]; *H₂awi^g-i- [19:66];"
*avizˇaʔ-,1,19,"Latv. àuza f. ‘id.’ < PEB *avizˇaʔ-; OPru. wyse ‘oats’ < PWB *vizˇiā̆ -; Ru. ovës ‘id.’, SCr. òvas"
*avižaʔ-,1,19,IE protoform is problematic. Lat. avēna has been lumped with PEB *avižaʔ- and PSl. *ovьsъ
*awe(C)snā-,1,19,‘id.’ < PSl. *ovьsъ; Lat. avēna ‘oats’ < PIt. *awe(C)snā-
*awe(t)s-,1,20,"Baltic, *awits- for Slavic and *awe(t)s- for Italic. The unstable initial vowel is reminiscent of the"
*aweKsnā-,1,19,"under a PIt. protoform *aweKsnā-, but the vocalism does not match and the Baltic and Slavic"
*awits-,1,20,"Baltic, *awits- for Slavic and *awe(t)s- for Italic. The unstable initial vowel is reminiscent of the"
*awiś-.,1,20,protoform *Hauić- has its closest match in Pre-PSl. *awiś-.
*ax(s)ti-,1,11,"[116:XX, 9] < PC *ax(s)tīno- [50:A, 57] appears to be a Weiterbildung to PC *ax(s)ti-, but the"
*ax(s)tīno-,1,11,"[116:XX, 9] < PC *ax(s)tīno- [50:A, 57] appears to be a Weiterbildung to PC *ax(s)ti-, but the"
*aśc-,1,11,"‘head’ < PTo. *aśc-; Lith. akstìs, dial. akštìs f. ‘thorn, prick’, Latv. aksts m. ‘prickle, tip’ < PB"
*bar-,1,5,the formation into a root *bar- < *bʰar- and an otherwise obscure velar suffix *-eg- [44:108–9;
*barag-,1,5,"Corn., Bret. bara m. ‘bread; food’ < *barag-, is uncertain, because it requires segmentation of"
*bare/iginā,1,5,"Finally, the appurtenance of some Celtic forms, OIr. bairgen f. ‘bread’ < *bare/iginā, W,"
*bareginā,1,6,Proto-Celtic reconstruction *bareginā is possible under the assumption of a sound law PC *e
*bariz-,1,5,"‘barley’ < PGm. *bariz-; Lat. far, gen. farris n. ‘husked wheat, emmer; grain, flour’, Umbr."
*bhares-,1,5,"?*bʰar-(e)s- (*bhares- [44:111]; *bʰárs, gen. *bʰarés(o)s? ‘barley’ [18:51]; *bhars- [19:57]; *bʰars"
*bhars-,2,3,*bhars- ‘± grain’
*bija-miysā-,1,15,"pound with Khot. bījä ‘seed’, i.e. *bāi-maizākā̆- [67:285] or *bija-miysā- “grain plant” [93:129]."
*borsˇ-ьno-,1,5,"‘flour, food’ < *borsˇ-ьno-; Go. bariz-eins a. ‘barley-’, ON barr m. ‘grain, barley’, OE bere m."
*borš-,1,5,"root and suffixal ablaut found between Lat. far, PSl. *borš- < *bʰar-s- and Go. bariz-, ON barr,"
*bāi-maizākā̆-,1,15,"pound with Khot. bījä ‘seed’, i.e. *bāi-maizākā̆- [67:285] or *bija-miysā- “grain plant” [93:129]."
*bʰar(V)s-,1,5,"independently adopted a cereal term, e.g. *bʰar(V)s-, from an unknown source."
*bʰar-,1,5,the formation into a root *bar- < *bʰar- and an otherwise obscure velar suffix *-eg- [44:108–9;
*bʰar-(e)s-,1,5,"This European word is traditionally reconstructed as a PIE s-stem *bʰar-(e)s-, with *a in the"
*bʰar-es-.,1,5,"OE bere < *bʰar-es-. A proposed Iranian cognate, Oss. I bur-xor, D bor-xwar ‘proso millet’"
*bʰar-s-,1,5,"root and suffixal ablaut found between Lat. far, PSl. *borš- < *bʰar-s- and Go. bariz-, ON barr,"
*bʰares-,1,5,"excluded that Germanic borrowed the word as *bʰares- or *bʰaris-. If correct, the evidence"
*bʰaris-.,1,5,"excluded that Germanic borrowed the word as *bʰares- or *bʰaris-. If correct, the evidence"
*bʰars,1,5,"?*bʰar-(e)s- (*bhares- [44:111]; *bʰárs, gen. *bʰarés(o)s? ‘barley’ [18:51]; *bhars- [19:57]; *bʰars"
*bʰars-,2,5,"branches [46:113–4; 47:287]. Starting from a donor form *bʰars-, it is possible to account for"
*bʰarés(o)s?,1,5,"?*bʰar-(e)s- (*bhares- [44:111]; *bʰárs, gen. *bʰarés(o)s? ‘barley’ [18:51]; *bhars- [19:57]; *bʰars"
*bʰesH-,1,16,"nected to Skt. psā́ti ‘chew, devour’ and Gk. ψάω ‘rub, grate, stroke’ < PIE *bʰesH- [cf. 82:98]."
*bʰrH-s-,1,5,"*fars- excludes a laryngealic reconstruction *bʰrH-s-, because this would have developed into"
*bʰr̥H-os,1,5,"ing that PIt. *far-os, *-es- < *bʰr̥H-os, *-es-, with the zero grade of a laryngealic root and regu-"
*bʰárs,1,5,"?*bʰar-(e)s- (*bhares- [44:111]; *bʰárs, gen. *bʰarés(o)s? ‘barley’ [18:51]; *bhars- [19:57]; *bʰars"
*bъrъ,1,5,"lar assimilation of the final syllable. PSl. *bъrъ, cf. Ru. bor, Pol. ber, SCr., Sln. bȃr m. ‘(foxtail)"
*d(e)rH-ueh2-,1,29,*d(e)rH-ueh2-
*d(e)rH-ueh₂-,2,6,*d(e)rH-ueh₂- (*dr̥̄-u̯ā [44:206–11]; *dŕ̥hₓwehₐ- ‘± grain’ [18:237]; *dr̥̄̆HwaH₂ [19:83];
*deh₁-mon-,1,6,"derived from *deh₁-mon-, cf. Skt. dā́man- ‘cord, rope’ [63:149] or *dʰeh₁-mon-, cf. Gk. θημών"
*derH-,1,6,"An uH-stem to a root *derH- can be identified in at least Germanic, Celtic and Indic, a dis-"
*dhoH-neh2-,1,29,*dhoH-neh2-
*dhoHnáH₂,1,6,*dʰoH-neh₂- (*dhōnā [44:242]; *dhohₓnéhₐ- ‘grain’ [18:237]; *dhoHnáH₂ [19:39–40];
*dhohxne´h2-,1,3,*dhohxne´h2- ‘± grain’
*dhohₓnéhₐ-,1,6,*dʰoH-neh₂- (*dhōnā [44:242]; *dhohₓnéhₐ- ‘grain’ [18:237]; *dhoHnáH₂ [19:39–40];
*dhōnā,1,6,*dʰoH-neh₂- (*dhōnā [44:242]; *dhohₓnéhₐ- ‘grain’ [18:237]; *dhoHnáH₂ [19:39–40];
*dirvaʔ,1,6,"u̯ aH-;? Lith. dirvà f. ‘arable field’, Latv. dìrva f. ‘id.’ < PB *dirvaʔ; ME tare ‘vetch, weed"
*doh₂-neh₂-,1,6,"‘edge, rim’ < *doh₂-neh₂-, and originally meant ‘slice’ [56:258–9], but it seems more likely that"
*doʔnaʔ,1,6,f. ‘(end) slice of bread’ < BSl. *doʔnaʔ
*dr-uaH-,1,6,been reconstructed as *dr-uaH- under the assumption of a change *-ŕ̥u̯- > *-ū́ru̯- [53:149 fn.
*drH-,1,6,"*drhₓweh₂- ‘weed, rye’ [10]): Skt. dū́rvā- f. ‘dūrvā grass (Panicum dactylon)’ < PIIr. *drH-"
