page,line_on_page,prefix,form,display_form,context
5,32,,*fare/os-ejo-,*fare/os-ejo-,"reum’ < PIt. *fars-ejo- cannot be derived from syncopated *fare/os-ejo-, as this would have"
5,33,,**farfio,**farfio,"resulted in **farfio, with -rf- from secondary *-rs- [46:113]. More fatally, the required root"
5,33,,*-rs-,*-rs-,"resulted in **farfio, with -rf- from secondary *-rs- [46:113]. More fatally, the required root"
5,34,,*fars-,*fars-,"*fars- excludes a laryngealic reconstruction *bʰrH-s-, because this would have developed into"
5,34,,*bʰrH-s-,*bʰrH-s-,"*fars- excludes a laryngealic reconstruction *bʰrH-s-, because this would have developed into"
5,35,,**frās-.,**frās-.,**frās-.
5,36,,*a,*a,"Those who do not accept *a as an Indo-European phoneme, have expressed about the"
5,38,,*bʰars-,*bʰars-,"branches [46:113–4; 47:287]. Starting from a donor form *bʰars-, it is possible to account for"
5,41,,*bʰares-,*bʰares-,"excluded that Germanic borrowed the word as *bʰares- or *bʰaris-. If correct, the evidence"
5,41,,*bʰaris-.,*bʰaris-.,"excluded that Germanic borrowed the word as *bʰares- or *bʰaris-. If correct, the evidence"
5,43,,*bʰar(V)s-,*bʰar(V)s-,"independently adopted a cereal term, e.g. *bʰar(V)s-, from an unknown source."
5,44,,*bare/iginā,*bare/iginā,"Finally, the appurtenance of some Celtic forms, OIr. bairgen f. ‘bread’ < *bare/iginā, W,"
5,45,,*barag-,*barag-,"Corn., Bret. bara m. ‘bread; food’ < *barag-, is uncertain, because it requires segmentation of"
5,46,,*bar-,*bar-,the formation into a root *bar- < *bʰar- and an otherwise obscure velar suffix *-eg- [44:108–9;
5,46,,*bʰar-,*bʰar-,the formation into a root *bar- < *bʰar- and an otherwise obscure velar suffix *-eg- [44:108–9;
5,46,,*-eg-,*-eg-,the formation into a root *bar- < *bʰar- and an otherwise obscure velar suffix *-eg- [44:108–9;
6,2,,*bareginā,*bareginā,Proto-Celtic reconstruction *bareginā is possible under the assumption of a sound law PC *e
6,2,,*e,*e,Proto-Celtic reconstruction *bareginā is possible under the assumption of a sound law PC *e
6,3,,*a,*a,"> PBr. *a before *ge, *gi [51:134–41] (see under *seg´ʰ-e-tleh₂-)."
6,3,,*ge,*ge,"> PBr. *a before *ge, *gi [51:134–41] (see under *seg´ʰ-e-tleh₂-)."
6,3,,*gi,*gi,"> PBr. *a before *ge, *gi [51:134–41] (see under *seg´ʰ-e-tleh₂-)."
6,3,,*seg´ʰ-e-tleh₂-).,*seg´ʰ-e-tleh₂-).,"> PBr. *a before *ge, *gi [51:134–41] (see under *seg´ʰ-e-tleh₂-)."
6,4,,*d(e)rH-ueh₂-,*d(e)rH-ueh₂-,*d(e)rH-ueh₂- (*dr̥̄-u̯ā [44:206–11]; *dŕ̥hₓwehₐ- ‘± grain’ [18:237]; *dr̥̄̆HwaH₂ [19:83];
6,4,,*dr̥̄-u̯ā,*dr̥̄-u̯ā,*d(e)rH-ueh₂- (*dr̥̄-u̯ā [44:206–11]; *dŕ̥hₓwehₐ- ‘± grain’ [18:237]; *dr̥̄̆HwaH₂ [19:83];
6,4,,*dŕ̥hₓwehₐ-,*dŕ̥hₓwehₐ-,*d(e)rH-ueh₂- (*dr̥̄-u̯ā [44:206–11]; *dŕ̥hₓwehₐ- ‘± grain’ [18:237]; *dr̥̄̆HwaH₂ [19:83];
6,4,,*dr̥̄̆HwaH₂,*dr̥̄̆HwaH₂,*d(e)rH-ueh₂- (*dr̥̄-u̯ā [44:206–11]; *dŕ̥hₓwehₐ- ‘± grain’ [18:237]; *dr̥̄̆HwaH₂ [19:83];
6,5,,*drhₓweh₂-,*drhₓweh₂-,"*drhₓweh₂- ‘weed, rye’ [10]): Skt. dū́rvā- f. ‘dūrvā grass (Panicum dactylon)’ < PIIr. *drH-"
6,5,,*drH-,*drH-,"*drhₓweh₂- ‘weed, rye’ [10]): Skt. dū́rvā- f. ‘dūrvā grass (Panicum dactylon)’ < PIIr. *drH-"
6,6,,*dirvaʔ,*dirvaʔ,"u̯ aH-;? Lith. dirvà f. ‘arable field’, Latv. dìrva f. ‘id.’ < PB *dirvaʔ; ME tare ‘vetch, weed"
6,7,,*terwō-,*terwō-,"growing in grainfields’, MDu. tarwe, terwe c. ‘wheat’, Du. tarwe ‘wheat’ < PGm. *terwō- or"
6,8,,*tarwō-,*tarwō-,"*tarwō-; Gaul. *drāuā (>> Fr. droue ‘darnel’), Gallo-Lat. dravoca (>> Du. dravik), W"
6,8,,*drāuā,*drāuā,"*tarwō-; Gaul. *drāuā (>> Fr. droue ‘darnel’), Gallo-Lat. dravoca (>> Du. dravik), W"
6,9,,*drāu̯,*drāu̯,"drewg, Bret. draok, dreok ‘darnel’ < PC *drāu̯ (ā/uk)ā"
6,10,,*derH-,*derH-,"An uH-stem to a root *derH- can be identified in at least Germanic, Celtic and Indic, a dis-"
6,12,,*dr-uaH-,*dr-uaH-,been reconstructed as *dr-uaH- under the assumption of a change *-ŕ̥u̯- > *-ū́ru̯- [53:149 fn.
6,12,,*-ŕ̥u̯-,*-ŕ̥u̯-,been reconstructed as *dr-uaH- under the assumption of a change *-ŕ̥u̯- > *-ū́ru̯- [53:149 fn.
6,12,,*-ū́ru̯-,*-ū́ru̯-,been reconstructed as *dr-uaH- under the assumption of a change *-ŕ̥u̯- > *-ū́ru̯- [53:149 fn.
6,13,,*drāu̯(ā/uk)ā,*drāu̯(ā/uk)ā,"29], but Proto-Celtic *drāu̯(ā/uk)ā [54:148] requires a laryngeal. In view of this, the traditional"
6,18,,*drāu̯ā-,*drāu̯ā-,"remarkable, but late and unquestionably secondary. In Celtic, *drāu̯ā- referred exclusively to"
6,21,,*dʰoH-neh₂-,*dʰoH-neh₂-,*dʰoH-neh₂- (*dhōnā [44:242]; *dhohₓnéhₐ- ‘grain’ [18:237]; *dhoHnáH₂ [19:39–40];
6,21,,*dhōnā,*dhōnā,*dʰoH-neh₂- (*dhōnā [44:242]; *dhohₓnéhₐ- ‘grain’ [18:237]; *dhoHnáH₂ [19:39–40];
6,21,,*dhohₓnéhₐ-,*dhohₓnéhₐ-,*dʰoH-neh₂- (*dhōnā [44:242]; *dhohₓnéhₐ- ‘grain’ [18:237]; *dhoHnáH₂ [19:39–40];
6,21,,*dhoHnáH₂,*dhoHnáH₂,*dʰoH-neh₂- (*dhōnā [44:242]; *dhohₓnéhₐ- ‘grain’ [18:237]; *dhoHnáH₂ [19:39–40];
6,22,,*dʰohₓnéh₂-,*dʰohₓnéh₂-,"*dʰohₓnéh₂- ‘± grain’ [10]): ToA taṃ(?), ToB tāno, obl. tāna f. ‘grain, (sesame, lotus) seeds’"
6,23,,*tānā-,*tānā-,"<? PTo. *tānā-; Skt. dhānā́ḥf.pl. ‘roasted grains’, Khot. dānā- ‘grain, (sesame, grape)"
6,26,,*dʰaHnaH(-kaH)-,*dʰaHnaH(-kaH)-,"granule’ < PIIr. *dʰaHnaH(-kaH)-; Lith. dúona f. ‘(loaf of) bread; (bread) rye’, Latv. duõna"
6,27,,*doʔnaʔ,*doʔnaʔ,f. ‘(end) slice of bread’ < BSl. *doʔnaʔ
6,28,,*dʰoH-neh₂-,*dʰoH-neh₂-,A formation *dʰoH-neh₂- can be reconstructed on the basis of Indo-Iranian and Baltic. In
6,31,,*doh₂-neh₂-,*doh₂-neh₂-,"‘edge, rim’ < *doh₂-neh₂-, and originally meant ‘slice’ [56:258–9], but it seems more likely that"
6,39,,*dʰH-n-h₂-es-,*dʰH-n-h₂-es-,"bread’ [60] is doubtful, as it would have to be interpreted as a denominal s-stem *dʰH-n-h₂-es-,"
6,42,,*oN,*oN,"(whence also Hitt. dūni- ‘a pastry’), because it does not show the expected change of *oN >"
6,44,,*deh₁-mon-,*deh₁-mon-,"derived from *deh₁-mon-, cf. Skt. dā́man- ‘cord, rope’ [63:149] or *dʰeh₁-mon-, cf. Gk. θημών"
6,44,,*dʰeh₁-mon-,*dʰeh₁-mon-,"derived from *deh₁-mon-, cf. Skt. dā́man- ‘cord, rope’ [63:149] or *dʰeh₁-mon-, cf. Gk. θημών"
7,3,,*ǵʰ(e)rs(d)-,*ǵʰ(e)rs(d)-,"*ǵʰ(e)rs(d)- (*^gherzd(h), Gen. *^ghr̥zd(h)-es; ^gherzdā [44:446]; *^gʰresdʰ(i), gen. *^gʰrsdʰós ‘bar-"
7,3,,*^gherzd(h),*^gherzd(h),"*ǵʰ(e)rs(d)- (*^gherzd(h), Gen. *^ghr̥zd(h)-es; ^gherzdā [44:446]; *^gʰresdʰ(i), gen. *^gʰrsdʰós ‘bar-"
7,3,,*^ghr̥zd(h)-es,*^ghr̥zd(h)-es,"*ǵʰ(e)rs(d)- (*^gherzd(h), Gen. *^ghr̥zd(h)-es; ^gherzdā [44:446]; *^gʰresdʰ(i), gen. *^gʰrsdʰós ‘bar-"
7,3,,*^gʰresdʰ(i),*^gʰresdʰ(i),"*ǵʰ(e)rs(d)- (*^gherzd(h), Gen. *^ghr̥zd(h)-es; ^gherzdā [44:446]; *^gʰresdʰ(i), gen. *^gʰrsdʰós ‘bar-"
7,3,,*^gʰrsdʰós,*^gʰrsdʰós,"*ǵʰ(e)rs(d)- (*^gherzd(h), Gen. *^ghr̥zd(h)-es; ^gherzdā [44:446]; *^gʰresdʰ(i), gen. *^gʰrsdʰós ‘bar-"
7,4,,*^ghersd(h),*^ghersd(h),ley’ [18:51]; *^ghersd(h): *^ghrī́d(h) [19:55–6]; *^gʰresdʰ(i) ‘± grain’) [10]:? Hitt. karaš n.
7,4,,*^ghrī́d(h),*^ghrī́d(h),ley’ [18:51]; *^ghersd(h): *^ghrī́d(h) [19:55–6]; *^gʰresdʰ(i) ‘± grain’) [10]:? Hitt. karaš n.
7,4,,*^gʰresdʰ(i),*^gʰresdʰ(i),ley’ [18:51]; *^ghersd(h): *^ghrī́d(h) [19:55–6]; *^gʰresdʰ(i) ‘± grain’) [10]:? Hitt. karaš n.
7,5,,*driδ-(?),*driδ-(?),"‘wheat, emmer-wheat’; Alb. drithë f. ‘cereals, grain’ < PAlb. *driδ-(?); OS gersta, OHG ger-"
7,6,,*gerstō-,*gerstō-,sta f. ‘barley’ < PGm. *gerstō-; Lat. hordeum n. ‘barley’ < PIt. *χord-ejo-
7,6,,*χord-ejo-,*χord-ejo-,sta f. ‘barley’ < PGm. *gerstō-; Lat. hordeum n. ‘barley’ < PIt. *χord-ejo-
7,7,,*ǵʰersd-,*ǵʰersd-,"An element *ǵʰersd- (not *ǵʰersdʰ-) is supported by Italic and Germanic, as well as poten-"
7,7,,*ǵʰersdʰ-),*ǵʰersdʰ-),"An element *ǵʰersd- (not *ǵʰersdʰ-) is supported by Italic and Germanic, as well as poten-"
7,10,,*(H)iau(H)a-Hart-,*(H)iau(H)a-Hart-,evidence for a reconstruction *(H)iau(H)a-Hart- ‘milled grain’ [21:54; 67:22].
7,11,,*ǵʰr̥sd-,*ǵʰr̥sd-,"Regarding the Albanian form, one obstacle to deriving drithë from *ǵʰr̥sd- is that palatove-"
7,14,,*r̥,*r̥,the problem can be resolved by assuming that syllabic *r̥ did not cause depalatalization
7,16,,*sd,*sd,"PIE *sd [70:145, 149], in which case drithë may straightforwardly be derived from PAlb."
7,17,,*drisdā,*drisdā,"*drisdā < *ǵʰrsd-eh₂-. Alternatively, we can assume that *sd and *sdʰ both became dh, but that"
7,17,,*ǵʰrsd-eh₂-.,*ǵʰrsd-eh₂-.,"*drisdā < *ǵʰrsd-eh₂-. Alternatively, we can assume that *sd and *sdʰ both became dh, but that"
7,17,,*sd,*sd,"*drisdā < *ǵʰrsd-eh₂-. Alternatively, we can assume that *sd and *sdʰ both became dh, but that"
7,17,,*sdʰ,*sdʰ,"*drisdā < *ǵʰrsd-eh₂-. Alternatively, we can assume that *sd and *sdʰ both became dh, but that"
7,19,,*driθ,*driθ,"leveled from a PAlb. paradigm *driθ, pl. *driδā [72:257]."
7,19,,*driδā,*driδā,"leveled from a PAlb. paradigm *driθ, pl. *driδā [72:257]."
7,21,,*ǵʰersd-eh₂-,*ǵʰersd-eh₂-,from a neuter root noun. The Germanic formation implies a preform *ǵʰersd-eh₂- resembling
7,22,,*-ejo-,*-ejo-,"a collective. Lat. hordeum also appears to be a collective formation, but the suffix *-ejo- is iso-"
7,23,,*ǵʰrsd,*ǵʰrsd,"lated to Italic and doubtlessly late. Alb. drithë may continue a paradigm *ǵʰrsd, pl. *ǵʰrsd-eh₂."
7,23,,*ǵʰrsd-eh₂.,*ǵʰrsd-eh₂.,"lated to Italic and doubtlessly late. Alb. drithë may continue a paradigm *ǵʰrsd, pl. *ǵʰrsd-eh₂."
7,25,,*-d-,*-d-,tion hinges on the assumption of either a root extension *-d- in core Indo-European [74:63–5]
7,27,?,*g´ʰolH-o-,?*g´ʰolH-o-,?*g´ʰolH-o- (*^ghel- 2 ‘schneiden’?? [44:434];? *ǵhel- ‘plow’ [18:435]; *gʰel- ‘plough’ [10])
7,27,,*^ghel-,*^ghel-,?*g´ʰolH-o- (*^ghel- 2 ‘schneiden’?? [44:434];? *ǵhel- ‘plow’ [18:435]; *gʰel- ‘plough’ [10])
7,27,,*ǵhel-,*ǵhel-,?*g´ʰolH-o- (*^ghel- 2 ‘schneiden’?? [44:434];? *ǵhel- ‘plow’ [18:435]; *gʰel- ‘plough’ [10])
7,27,,*gʰel-,*gʰel-,?*g´ʰolH-o- (*^ghel- 2 ‘schneiden’?? [44:434];? *ǵhel- ‘plow’ [18:435]; *gʰel- ‘plough’ [10])
7,28,,*ǵʰel-,*ǵʰel-,"On the basis of Skt. hala- ‘plow’ and Arm. jlem ‘make furrows’, a verbal root *ǵʰel- ‘plow’"
7,32,,*gelVu̯-,*gelVu̯-,"*gelVu̯- (for the suffix, cf. MW cleddeu ‘sword’ and W neddau ‘adze’), OE gielm ‘sheaf’, WFri."
7,33,,*gelma-,*gelma-,galm ‘armful’ < *gelma- [76:5–8] and Go. gilþa m. ‘sickle’ < *gelþan-. The root is generally
7,33,,*gelþan-.,*gelþan-.,galm ‘armful’ < *gelma- [76:5–8] and Go. gilþa m. ‘sickle’ < *gelþan-. The root is generally
7,36,,*ǵʰolH-o-.,*ǵʰolH-o-.,"and Arm. joł ‘stick’, i.e. by assuming a potentially shared and inherited o-stem *ǵʰolH-o-. The"
7,37,,*ǵʰēl-,*ǵʰēl-,"hapax Arm. jlem ‘furrow’, if reliable, would rather presuppose an ablauting variant *ǵʰēl- or"
7,38,,*ǵʰōl-,*ǵʰōl-,"*ǵʰōl- [61:435]. Even if the reconstruction of a term *ǵʰolH-o- is justified, the involved seman-"
7,38,,*ǵʰolH-o-,*ǵʰolH-o-,"*ǵʰōl- [61:435]. Even if the reconstruction of a term *ǵʰolH-o- is justified, the involved seman-"
7,42,,*ǵrH-no-,*ǵrH-no-,"*ǵrH-no- (*^gr̥-nóm [44:390–1]; *^grhₐnóm ‘grain’ [18:236]; *^gr̥Hnóm [19:43, 116–7]; *^grhₐnóm"
7,42,,*^gr̥-nóm,*^gr̥-nóm,"*ǵrH-no- (*^gr̥-nóm [44:390–1]; *^grhₐnóm ‘grain’ [18:236]; *^gr̥Hnóm [19:43, 116–7]; *^grhₐnóm"
7,42,,*^grhₐnóm,*^grhₐnóm,"*ǵrH-no- (*^gr̥-nóm [44:390–1]; *^grhₐnóm ‘grain’ [18:236]; *^gr̥Hnóm [19:43, 116–7]; *^grhₐnóm"
7,42,,*^gr̥Hnóm,*^gr̥Hnóm,"*ǵrH-no- (*^gr̥-nóm [44:390–1]; *^grhₐnóm ‘grain’ [18:236]; *^gr̥Hnóm [19:43, 116–7]; *^grhₐnóm"
7,42,,*^grhₐnóm,*^grhₐnóm,"*ǵrH-no- (*^gr̥-nóm [44:390–1]; *^grhₐnóm ‘grain’ [18:236]; *^gr̥Hnóm [19:43, 116–7]; *^grhₐnóm"
7,44,,*j́rH-na(-ka)-(?),*j́rH-na(-ka)-(?),"PIIr. *j́rH-na(-ka)-(?); Lith. žìrnis, Latv. zir̃nis m. ‘pea’, OPru. syrne ‘grain’ < PB *zˇirʔni(o)-"
7,44,,*zˇirʔni(o)-,*zˇirʔni(o)-,"PIIr. *j́rH-na(-ka)-(?); Lith. žìrnis, Latv. zir̃nis m. ‘pea’, OPru. syrne ‘grain’ < PB *zˇirʔni(o)-"
7,45,,*zьrno,*zьrno,"; OCS zrъno, Ru. zernó, SCr. zȑno n. ‘grain’ < *zьrno; Go. kaurn n. ‘grain, seed, wheat’ <"
8,1,,*kurna-,*kurna-,"PGm. *kurna-; Lat. grānum n. ‘grain, seed, kernel’ < *grāno-; OIr. grán n. ‘grain’, MW"
8,1,,*grāno-,*grāno-,"PGm. *kurna-; Lat. grānum n. ‘grain, seed, kernel’ < *grāno-; OIr. grán n. ‘grain’, MW"
8,2,,*grāno-,*grāno-,"grawn n. ‘grain, cereal, seed; berries’ <? PC *grāno-"
8,3,,*ǵrH-no-,*ǵrH-no-,"The formation *ǵrH-no- is relatively widely attested, with cognates in many European"
8,5,,*ǵrH-no-,*ǵrH-no-,it may be a Latin loan. The derivation of Oss. ʒærna (“dza¨rna´”) ‘frumenty’ from *ǵrH-no-
8,6,,*ǰ.,*ǰ.,"[78:47] cannot be maintained, since ʒ can only go back to PIIr. *ǰ."
8,7,,*ǵrH-no-,*ǵrH-no-,The primary meaning of *ǵrH-no- was likely ‘granule’ [16:40; 79:23] rather than “Reibe-
8,11,,*j́rH-na-ka-,*j́rH-na-ka-,"forms zə́ṇai ~ zə́ṛai, if indeed continuing PIIr. *j́rH-na-ka- < PIE *ǵrH-no- [80:102; 81:103],"
8,11,,*ǵrH-no-,*ǵrH-no-,"forms zə́ṇai ~ zə́ṛai, if indeed continuing PIIr. *j́rH-na-ka- < PIE *ǵrH-no- [80:102; 81:103],"
8,14,,*-rn-,*-rn-,"is the regular outcome of *-rn-, although waṛə́i ‘wool’ < *HurH-na- and esp. the variation of"
8,14,,*HurH-na-,*HurH-na-,"is the regular outcome of *-rn-, although waṛə́i ‘wool’ < *HurH-na- and esp. the variation of"
8,15,,*amarnā-,*amarnā-,"maṇá ‘apple’ ~ maṛa-γúne ‘colocynth, bitter apple’ (lit. “apple-like”) < *amarnā- provide"
8,16,,*-rt-,*-rt-,some support for an additional (conditioned?) outcome -ṛ-. Psht. -ṛ- usually continues *-rt-
8,17,,*-rd-.,*-rd-.,or *-rd-.
8,18,,*ǵrH-no-,*ǵrH-no-,"Etymologically, *ǵrH-no- can be derived from the root *ǵerH- ‘crumble, scatter’. Tradition-"
8,18,,*ǵerH-,*ǵerH-,"Etymologically, *ǵrH-no- can be derived from the root *ǵerH- ‘crumble, scatter’. Tradition-"
8,19,,*ǵerh₂-,*ǵerh₂-,"ally, this root has been equated with *ǵerh₂- ‘age, mature’, cf. Skt. járⁱ ‘age’, OCS zьrěti ‘ripen’,"
8,21,,*ǵerh₂-,*ǵerh₂-,"excluded, however, that there were originally two unrelated roots: 1) *ǵerh₂- ‘age’ and 2)"
8,22,,*ǵerH-,*ǵerH-,*ǵerH- ‘become ground’ [82:165 fn. 1]. The root is further found in Lat. glārea f. ‘gravel’: if dis-
8,23,,*grārea,*grārea,"similated from *grārea, this formation may have been derived from an unattested adjective"
8,24,,*glāro-,*glāro-,"*glāro- < *ǵrH-ro- ‘grainy’ [83:I, 605–6]. More straightforward cognates exist in Celtic and"
8,24,,*ǵrH-ro-,*ǵrH-ro-,"*glāro- < *ǵrH-ro- ‘grainy’ [83:I, 605–6]. More straightforward cognates exist in Celtic and"
8,25,,*grāu̯ā,*grāu̯ā,"Germanic: W gro ‘pebbles, gravel, sand’, OCo. grou ‘sand’ < PC *grāu̯ā (whence possibly Fr."
8,26,,*ǵrH-ueh₂-,*ǵrH-ueh₂-,"grève f. ‘riverbank, shore’, Cat. grava f. ‘gravel’) < *ǵrH-ueh₂- [84] and ON kjarni, OHG kerno"
8,27,,*kernan-,*kernan-,"m. ‘core, kernel’ < PGm. *kernan- < *ǵerH-n-on-. Finally, a verbal attestation can be seen in"
8,27,,*ǵerH-n-on-.,*ǵerH-n-on-.,"m. ‘core, kernel’ < PGm. *kernan- < *ǵerH-n-on-. Finally, a verbal attestation can be seen in"
8,29,,*gʷr(e)h₂-uon-,*gʷr(e)h₂-uon-,"*gʷr(e)h₂-uon- (*gʷr̥̄-nu-, *gʷrāu̯-ō(n)- ‘Mu¨hle’ [44:476–7]; *gréhₐ-u̯-on- ~ *gʷérhₐ-n-u-"
8,29,,*gʷr̥̄-nu-,*gʷr̥̄-nu-,"*gʷr(e)h₂-uon- (*gʷr̥̄-nu-, *gʷrāu̯-ō(n)- ‘Mu¨hle’ [44:476–7]; *gréhₐ-u̯-on- ~ *gʷérhₐ-n-u-"
8,29,,*gʷrāu̯-ō(n)-,*gʷrāu̯-ō(n)-,"*gʷr(e)h₂-uon- (*gʷr̥̄-nu-, *gʷrāu̯-ō(n)- ‘Mu¨hle’ [44:476–7]; *gréhₐ-u̯-on- ~ *gʷérhₐ-n-u-"
8,29,,*gréhₐ-u̯-on-,*gréhₐ-u̯-on-,"*gʷr(e)h₂-uon- (*gʷr̥̄-nu-, *gʷrāu̯-ō(n)- ‘Mu¨hle’ [44:476–7]; *gréhₐ-u̯-on- ~ *gʷérhₐ-n-u-"
8,29,,*gʷérhₐ-n-u-,*gʷérhₐ-n-u-,"*gʷr(e)h₂-uon- (*gʷr̥̄-nu-, *gʷrāu̯-ō(n)- ‘Mu¨hle’ [44:476–7]; *gréhₐ-u̯-on- ~ *gʷérhₐ-n-u-"
8,30,,*gʷréhₐwon-,*gʷréhₐwon-,"‘quern’ [18:237]; *gʷréhₐwon- ‘quern’ [10]): ToA kärwañi*, ToB kärweñe* ‘stone, rock’ <"
8,31,,*kərwen-,*kərwen-,"PTo. *kərwen-; Skt. grā́van- m. ‘(pressing-)stone, rock’ < PIIr. *graH-uan-; Go. asilu-qair-"
8,31,,*graH-uan-,*graH-uan-,"PTo. *kərwen-; Skt. grā́van- m. ‘(pressing-)stone, rock’ < PIIr. *graH-uan-; Go. asilu-qair-"
8,32,,*kwernu-,*kwernu-,"nus m. ‘donkey mill’ < PGm. *kwernu-; OIr. bráu, bró f. ‘millstone, quern’, W breuan f."
8,33,,*grāu̯,*grāu̯,"‘quern’ < PC *grāu̯ on-; Arm. erkan ‘millstone’ < PArm. *kra(u̯ a)n-; Lith. gìrnos, Latv. dzir̃-"
8,33,,*kra(u̯,*kra(u̯,"‘quern’ < PC *grāu̯ on-; Arm. erkan ‘millstone’ < PArm. *kra(u̯ a)n-; Lith. gìrnos, Latv. dzir̃-"
