label	line	pdf_page	source_page	context
Sanskrit	274	pdf-017	1	First of all, until the invention of electronic recording equipment, all records of language had to be written records. Even if an orthography records all the phonemic contrasts and much phonetic detail (as the Sanskrit system does, for example), it cannot record every aspect of speech that is of po
Old English	280	pdf-018	2	A second, and much more serious, limitation is imposed by the amount of text that survives in any given language of the past. For instance, the York- Toronto-Helsinki Parsed Corpus of Old English Prose† contains one and a half million words of text – nearly all extant Old English prose documents – a
Old English	280	pdf-018	2	A second, and much more serious, limitation is imposed by the amount of text that survives in any given language of the past. For instance, the York- Toronto-Helsinki Parsed Corpus of Old English Prose† contains one and a half million words of text – nearly all extant Old English prose documents – a
Gothic	280	pdf-018	2	A second, and much more serious, limitation is imposed by the amount of text that survives in any given language of the past. For instance, the York- Toronto-Helsinki Parsed Corpus of Old English Prose† contains one and a half million words of text – nearly all extant Old English prose documents – a
Tocharian	282	pdf-018	2	A third limitation has to do with the kinds of documents that were written and have survived to the present. Though graffiti occasionally survive even from the ancient Mediterranean world, as does at least one archive of private letters (not edited for publication, as Cicero’s were), most surviving 
Latin	284	pdf-018	2	For a linguist used to working on languages still spoken, a final limitation of written documents is perhaps the most frustrating of all: there is no negative evidence. We have no native speakers of Classical Latin or Gothic to ask whether sentences exemplifying some particular construction are gram
Gothic	284	pdf-018	2	For a linguist used to working on languages still spoken, a final limitation of written documents is perhaps the most frustrating of all: there is no negative evidence. We have no native speakers of Classical Latin or Gothic to ask whether sentences exemplifying some particular construction are gram
Latin	284	pdf-018	2	For a linguist used to working on languages still spoken, a final limitation of written documents is perhaps the most frustrating of all: there is no negative evidence. We have no native speakers of Classical Latin or Gothic to ask whether sentences exemplifying some particular construction are gram
Gothic	284	pdf-018	2	For a linguist used to working on languages still spoken, a final limitation of written documents is perhaps the most frustrating of all: there is no negative evidence. We have no native speakers of Classical Latin or Gothic to ask whether sentences exemplifying some particular construction are gram
Latin	294	pdf-019	3	Thus we can assume that all languages of the past exhibited phonemic contrasts between sounds, regardless of what their writing systems were like; that no syntactic construction of a past language violated the known constraints on natural language syntax; and so on. We can also assume that Classical
Latin	294	pdf-019	3	Thus we can assume that all languages of the past exhibited phonemic contrasts between sounds, regardless of what their writing systems were like; that no syntactic construction of a past language violated the known constraints on natural language syntax; and so on. We can also assume that Classical
Latin	294	pdf-019	3	Thus we can assume that all languages of the past exhibited phonemic contrasts between sounds, regardless of what their writing systems were like; that no syntactic construction of a past language violated the known constraints on natural language syntax; and so on. We can also assume that Classical
German	310	pdf-020	4	However, understanding the more complex structural changes requires in-depth knowledge of the languages being analyzed, and we have therefore used most often data from those languages we know best. Since both the authors were trained as Indo-Europeanists, those happen to be the earlier stages of Ger
Latin	310	pdf-020	4	However, understanding the more complex structural changes requires in-depth knowledge of the languages being analyzed, and we have therefore used most often data from those languages we know best. Since both the authors were trained as Indo-Europeanists, those happen to be the earlier stages of Ger
Ancient Greek	310	pdf-020	4	However, understanding the more complex structural changes requires in-depth knowledge of the languages being analyzed, and we have therefore used most often data from those languages we know best. Since both the authors were trained as Indo-Europeanists, those happen to be the earlier stages of Ger
Tocharian	310	pdf-020	4	However, understanding the more complex structural changes requires in-depth knowledge of the languages being analyzed, and we have therefore used most often data from those languages we know best. Since both the authors were trained as Indo-Europeanists, those happen to be the earlier stages of Ger
Proto-Indo-European	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
PIE	324	pdf-021	5	Indo-Europeanists have a distinctive system of representation for Proto-Indo-European (PIE) forms, the phonetics of which cannot always be inferred with certainty. Three sets of dorsal consonants are reconstructed. The set furthest forward in the mouth, traditionally called “palatals” (though they w
Latin	326	pdf-021	5	The pronunciation of Classical Latin is recoverable in great detail; see Sturtevant 1940 and Allen 1978 for extensive discussion. The conventional spelling of Latin represents the phonemic contrasts of the language well. Note that long vowels are marked with a macron, c is always /k/, v is /w/, qu i
Latin	326	pdf-021	5	The pronunciation of Classical Latin is recoverable in great detail; see Sturtevant 1940 and Allen 1978 for extensive discussion. The conventional spelling of Latin represents the phonemic contrasts of the language well. Note that long vowels are marked with a macron, c is always /k/, v is /w/, qu i
Latin	330	pdf-022	6	Standardized spelling of the medieval languages of western Europe tends to follow that of Latin (marking long vowels with a macron, for example). In Old English (OE) y has its IPA value, þ and ð spell dental fricatives, and /k/ is normally spelled c. In linguistic discussions of OE ċ indicates a voi
Old English	330	pdf-022	6	Standardized spelling of the medieval languages of western Europe tends to follow that of Latin (marking long vowels with a macron, for example). In Old English (OE) y has its IPA value, þ and ð spell dental fricatives, and /k/ is normally spelled c. In linguistic discussions of OE ċ indicates a voi
OE	330	pdf-022	6	Standardized spelling of the medieval languages of western Europe tends to follow that of Latin (marking long vowels with a macron, for example). In Old English (OE) y has its IPA value, þ and ð spell dental fricatives, and /k/ is normally spelled c. In linguistic discussions of OE ċ indicates a voi
OE	330	pdf-022	6	Standardized spelling of the medieval languages of western Europe tends to follow that of Latin (marking long vowels with a macron, for example). In Old English (OE) y has its IPA value, þ and ð spell dental fricatives, and /k/ is normally spelled c. In linguistic discussions of OE ċ indicates a voi
Middle English	330	pdf-022	6	Standardized spelling of the medieval languages of western Europe tends to follow that of Latin (marking long vowels with a macron, for example). In Old English (OE) y has its IPA value, þ and ð spell dental fricatives, and /k/ is normally spelled c. In linguistic discussions of OE ċ indicates a voi
ME	330	pdf-022	6	Standardized spelling of the medieval languages of western Europe tends to follow that of Latin (marking long vowels with a macron, for example). In Old English (OE) y has its IPA value, þ and ð spell dental fricatives, and /k/ is normally spelled c. In linguistic discussions of OE ċ indicates a voi
Old Norse	330	pdf-022	6	Standardized spelling of the medieval languages of western Europe tends to follow that of Latin (marking long vowels with a macron, for example). In Old English (OE) y has its IPA value, þ and ð spell dental fricatives, and /k/ is normally spelled c. In linguistic discussions of OE ċ indicates a voi
Old English	330	pdf-022	6	Standardized spelling of the medieval languages of western Europe tends to follow that of Latin (marking long vowels with a macron, for example). In Old English (OE) y has its IPA value, þ and ð spell dental fricatives, and /k/ is normally spelled c. In linguistic discussions of OE ċ indicates a voi
Oscan	332	pdf-022	6	Oscan, the ancient Italic language of the Samnites, was written in three alphabets. In representing Oscan forms the Greek alphabet is not transliterated; the Latin alphabet is transliterated in italics; the native alphabet is transliterated in boldface. The difference in the typeface of transcriptio
Oscan	332	pdf-022	6	Oscan, the ancient Italic language of the Samnites, was written in three alphabets. In representing Oscan forms the Greek alphabet is not transliterated; the Latin alphabet is transliterated in italics; the native alphabet is transliterated in boldface. The difference in the typeface of transcriptio
Latin	332	pdf-022	6	Oscan, the ancient Italic language of the Samnites, was written in three alphabets. In representing Oscan forms the Greek alphabet is not transliterated; the Latin alphabet is transliterated in italics; the native alphabet is transliterated in boldface. The difference in the typeface of transcriptio
Oscan	332	pdf-022	6	Oscan, the ancient Italic language of the Samnites, was written in three alphabets. In representing Oscan forms the Greek alphabet is not transliterated; the Latin alphabet is transliterated in italics; the native alphabet is transliterated in boldface. The difference in the typeface of transcriptio
Latin	332	pdf-022	6	Oscan, the ancient Italic language of the Samnites, was written in three alphabets. In representing Oscan forms the Greek alphabet is not transliterated; the Latin alphabet is transliterated in italics; the native alphabet is transliterated in boldface. The difference in the typeface of transcriptio
Ancient Greek	334	pdf-022	6	Except in Chapter 9, we have cited Ancient Greek forms both in the standard Greek alphabet and in a standardized transcription (based on the Attic dialect of the fifth century BCE; see Allen 1987). We hope that this will make it easier for interested students to learn traditional Greek orthography –
Attic	334	pdf-022	6	Except in Chapter 9, we have cited Ancient Greek forms both in the standard Greek alphabet and in a standardized transcription (based on the Attic dialect of the fifth century BCE; see Allen 1987). We hope that this will make it easier for interested students to learn traditional Greek orthography –
St’at’imcets	422	pdf-030	14	they must reflect a universal constraint on spoken language, which is very likely to be (ultimately) biological; but the nature of that constraint is not yet clear.1 Further investigation only deepens the mystery. Every language constrains the structure of its syllables in stringent ways, but though
St’at’imcets	422	pdf-030	14	they must reflect a universal constraint on spoken language, which is very likely to be (ultimately) biological; but the nature of that constraint is not yet clear.1 Further investigation only deepens the mystery. Every language constrains the structure of its syllables in stringent ways, but though
St’at’imcets	422	pdf-030	14	they must reflect a universal constraint on spoken language, which is very likely to be (ultimately) biological; but the nature of that constraint is not yet clear.1 Further investigation only deepens the mystery. Every language constrains the structure of its syllables in stringent ways, but though
Nuxalk	422	pdf-030	14	they must reflect a universal constraint on spoken language, which is very likely to be (ultimately) biological; but the nature of that constraint is not yet clear.1 Further investigation only deepens the mystery. Every language constrains the structure of its syllables in stringent ways, but though
Nuxalk	424	pdf-030	14	Of course it is reasonable to test an apparently universal property of spoken human language against extreme examples, and the relevant extreme in this case is provided by another Salish language, Nuxalk (Bella Coola). Nuxalk permits indefinitely long clusters of obstruents, especially at word bound
Nuxalk	424	pdf-030	14	Of course it is reasonable to test an apparently universal property of spoken human language against extreme examples, and the relevant extreme in this case is provided by another Salish language, Nuxalk (Bella Coola). Nuxalk permits indefinitely long clusters of obstruents, especially at word bound
Nuxalk	434	pdf-031	15	Moreover, and much more surprisingly, Nuxalk permits words and even sentences that contain no vowel or syllabic sonorant, even phonetically, e.g.:
Nuxalk	436	pdf-031	15	t’kʷ ‘to bleed’ ɬtˢʷt ‘to go through a narrow passage’ k’xɬɬtˢxʷ sɬtˢʷtɬɬtˢ ‘you had seen that I had gone through the passage’ (Nater 1984: 5, who observes that the sentences are “somewhat contrived.”) Currently there are two competing hypotheses regarding how Nuxalk utterances are syllabified (Bage
Nuxalk	436	pdf-031	15	t’kʷ ‘to bleed’ ɬtˢʷt ‘to go through a narrow passage’ k’xɬɬtˢxʷ sɬtˢʷtɬɬtˢ ‘you had seen that I had gone through the passage’ (Nater 1984: 5, who observes that the sentences are “somewhat contrived.”) Currently there are two competing hypotheses regarding how Nuxalk utterances are syllabified (Bage
Middle English	459	pdf-032	16	Looking at the histories of these words does not help much. Give, though its shape in modern English is etymologically Norse, represents in its usage an inherited verb which already appeared in both of its modern constructions in early Middle English (though not in Old English; see Mitchell 1985: 51
Old English	459	pdf-032	16	Looking at the histories of these words does not help much. Give, though its shape in modern English is etymologically Norse, represents in its usage an inherited verb which already appeared in both of its modern constructions in early Middle English (though not in Old English; see Mitchell 1985: 51
French	459	pdf-032	16	Looking at the histories of these words does not help much. Give, though its shape in modern English is etymologically Norse, represents in its usage an inherited verb which already appeared in both of its modern constructions in early Middle English (though not in Old English; see Mitchell 1985: 51
French	459	pdf-032	16	Looking at the histories of these words does not help much. Give, though its shape in modern English is etymologically Norse, represents in its usage an inherited verb which already appeared in both of its modern constructions in early Middle English (though not in Old English; see Mitchell 1985: 51
Latin	459	pdf-032	16	Looking at the histories of these words does not help much. Give, though its shape in modern English is etymologically Norse, represents in its usage an inherited verb which already appeared in both of its modern constructions in early Middle English (though not in Old English; see Mitchell 1985: 51
OE	459	pdf-032	16	Looking at the histories of these words does not help much. Give, though its shape in modern English is etymologically Norse, represents in its usage an inherited verb which already appeared in both of its modern constructions in early Middle English (though not in Old English; see Mitchell 1985: 51
OE	459	pdf-032	16	Looking at the histories of these words does not help much. Give, though its shape in modern English is etymologically Norse, represents in its usage an inherited verb which already appeared in both of its modern constructions in early Middle English (though not in Old English; see Mitchell 1985: 51
Latin	461	pdf-032	16	Even more remarkably, roughly the same types of construction appear in Latin with the corresponding verbs dare, dōnāre, and mūnerārī, all of which can be
Latin	471	pdf-033	17	translated as ‘give’ or ‘present’, and trādere ‘hand (over)’, even though there is no direct historical connection between any of the English verbs and the Latin ones that translate them. (There is no Latin verb that exactly translates donate.) Of course in Latin the details are a little different. 
Latin	471	pdf-033	17	translated as ‘give’ or ‘present’, and trādere ‘hand (over)’, even though there is no direct historical connection between any of the English verbs and the Latin ones that translate them. (There is no Latin verb that exactly translates donate.) Of course in Latin the details are a little different. 
Latin	471	pdf-033	17	translated as ‘give’ or ‘present’, and trādere ‘hand (over)’, even though there is no direct historical connection between any of the English verbs and the Latin ones that translate them. (There is no Latin verb that exactly translates donate.) Of course in Latin the details are a little different. 
Latin	471	pdf-033	17	translated as ‘give’ or ‘present’, and trādere ‘hand (over)’, even though there is no direct historical connection between any of the English verbs and the Latin ones that translate them. (There is no Latin verb that exactly translates donate.) Of course in Latin the details are a little different. 
Latin	487	pdf-033	17	mother-acc this-abl-this present-sbjv-1sg ‘Let me give (my) mother this (present).’ The correspondence between English and Latin structures is only partial, but there is a remarkable amount of overlap; in both, for example, ‘hand’ behaves like the most basic verb ‘give’, and the pairs of structures 
Latin	506	pdf-034	18	verbs translatable as ‘present’ are exactly parallel, if we abstract away from the Latin use of case endings rather than prepositions – and in the case of English present the pattern appeared in the fourteenth century, so any kind of common inheritance is excluded.
Latin	508	pdf-034	18	But maybe this is still no surprise; after all, both English and Latin are Indo- European languages, and though their prehistories were largely separate, speakers of English have been learning Latin and borrowing Latin words for well over a thousand years. It’s at least imaginable that structures we
Latin	508	pdf-034	18	But maybe this is still no surprise; after all, both English and Latin are Indo- European languages, and though their prehistories were largely separate, speakers of English have been learning Latin and borrowing Latin words for well over a thousand years. It’s at least imaginable that structures we
Latin	508	pdf-034	18	But maybe this is still no surprise; after all, both English and Latin are Indo- European languages, and though their prehistories were largely separate, speakers of English have been learning Latin and borrowing Latin words for well over a thousand years. It’s at least imaginable that structures we
Chichewa	508	pdf-034	18	But maybe this is still no surprise; after all, both English and Latin are Indo- European languages, and though their prehistories were largely separate, speakers of English have been learning Latin and borrowing Latin words for well over a thousand years. It’s at least imaginable that structures we
Chichewa	520	pdf-034	18	‘The zebras handed the girl the crowbar.’ In some ways these Chichewa constructions are actually much more like English than those of Latin are. The most salient difference is that most verbs must be suffixed with the “applicative” morpheme -ir- ∼-er- in the non-prepositional construction – though -
Latin	520	pdf-034	18	‘The zebras handed the girl the crowbar.’ In some ways these Chichewa constructions are actually much more like English than those of Latin are. The most salient difference is that most verbs must be suffixed with the “applicative” morpheme -ir- ∼-er- in the non-prepositional construction – though -
Latin	520	pdf-034	18	‘The zebras handed the girl the crowbar.’ In some ways these Chichewa constructions are actually much more like English than those of Latin are. The most salient difference is that most verbs must be suffixed with the “applicative” morpheme -ir- ∼-er- in the non-prepositional construction – though -
Chichewa	539	pdf-035	19	to more specialized verbs of giving, Chichewa “draws the line” between ‘give’ and everything else. Otherwise the similarity of Chichewa to English is striking: we find a preposition kwa meaning ‘to’, there is no case-marking on nouns, and the normal order of objects shifts between the two constructi
Chichewa	539	pdf-035	19	to more specialized verbs of giving, Chichewa “draws the line” between ‘give’ and everything else. Otherwise the similarity of Chichewa to English is striking: we find a preposition kwa meaning ‘to’, there is no case-marking on nouns, and the normal order of objects shifts between the two constructi
Chichewa	539	pdf-035	19	to more specialized verbs of giving, Chichewa “draws the line” between ‘give’ and everything else. Otherwise the similarity of Chichewa to English is striking: we find a preposition kwa meaning ‘to’, there is no case-marking on nouns, and the normal order of objects shifts between the two constructi
Latin	543	pdf-035	19	‘The girl was handed the crowbar by the zebras.’ (Baker 1988a: 14) The parallel of the last example with the corresponding English sentence is especially striking. Latin has no similar construction.
Latin	565	pdf-036	20	Simple illustrations of parameters and their settings in familiar languages come readily to mind. A language may have case markers on its nouns, like Latin, or it may dispense with them, like English; in other words, the casemarking parameter for nouns can be set to “+” or “–”. (It’s more complicate
Latin	565	pdf-036	20	Simple illustrations of parameters and their settings in familiar languages come readily to mind. A language may have case markers on its nouns, like Latin, or it may dispense with them, like English; in other words, the casemarking parameter for nouns can be set to “+” or “–”. (It’s more complicate
Latin	565	pdf-036	20	Simple illustrations of parameters and their settings in familiar languages come readily to mind. A language may have case markers on its nouns, like Latin, or it may dispense with them, like English; in other words, the casemarking parameter for nouns can be set to “+” or “–”. (It’s more complicate
Chichewa	565	pdf-036	20	Simple illustrations of parameters and their settings in familiar languages come readily to mind. A language may have case markers on its nouns, like Latin, or it may dispense with them, like English; in other words, the casemarking parameter for nouns can be set to “+” or “–”. (It’s more complicate
German	565	pdf-036	20	Simple illustrations of parameters and their settings in familiar languages come readily to mind. A language may have case markers on its nouns, like Latin, or it may dispense with them, like English; in other words, the casemarking parameter for nouns can be set to “+” or “–”. (It’s more complicate
Latin	565	pdf-036	20	Simple illustrations of parameters and their settings in familiar languages come readily to mind. A language may have case markers on its nouns, like Latin, or it may dispense with them, like English; in other words, the casemarking parameter for nouns can be set to “+” or “–”. (It’s more complicate
Ancient Greek	565	pdf-036	20	Simple illustrations of parameters and their settings in familiar languages come readily to mind. A language may have case markers on its nouns, like Latin, or it may dispense with them, like English; in other words, the casemarking parameter for nouns can be set to “+” or “–”. (It’s more complicate
Latin	565	pdf-036	20	Simple illustrations of parameters and their settings in familiar languages come readily to mind. A language may have case markers on its nouns, like Latin, or it may dispense with them, like English; in other words, the casemarking parameter for nouns can be set to “+” or “–”. (It’s more complicate
Chichewa	565	pdf-036	20	Simple illustrations of parameters and their settings in familiar languages come readily to mind. A language may have case markers on its nouns, like Latin, or it may dispense with them, like English; in other words, the casemarking parameter for nouns can be set to “+” or “–”. (It’s more complicate
Chichewa	565	pdf-036	20	Simple illustrations of parameters and their settings in familiar languages come readily to mind. A language may have case markers on its nouns, like Latin, or it may dispense with them, like English; in other words, the casemarking parameter for nouns can be set to “+” or “–”. (It’s more complicate
Latin	565	pdf-036	20	Simple illustrations of parameters and their settings in familiar languages come readily to mind. A language may have case markers on its nouns, like Latin, or it may dispense with them, like English; in other words, the casemarking parameter for nouns can be set to “+” or “–”. (It’s more complicate
German	571	pdf-037	21	in a while we find a “circumposition,” like German um,... willen ‘for the sake of’; we even find languages with only one preposition, like Tzotzil, or with none at all, like Dyirbal. But we never find a language in which the default word order inserts prepositions into the middle of their objects, o
Latin	571	pdf-037	21	in a while we find a “circumposition,” like German um,... willen ‘for the sake of’; we even find languages with only one preposition, like Tzotzil, or with none at all, like Dyirbal. But we never find a language in which the default word order inserts prepositions into the middle of their objects, o
Old English	571	pdf-037	21	in a while we find a “circumposition,” like German um,... willen ‘for the sake of’; we even find languages with only one preposition, like Tzotzil, or with none at all, like Dyirbal. But we never find a language in which the default word order inserts prepositions into the middle of their objects, o
French	668	pdf-040	24	The signed languages used in deaf communities bear no relation to the languages of the surrounding hearing communities; for example, American Sign Language (ASL) is not related to English (though it is related to French Sign Language). (For a concise informal introduction to signed languages see Per
Latin	702	pdf-042	26	2. In discussing the relative position of object and verb we are talking about underlying constituent order. Whether one posits a fixed order of syntactic constituents in underlying structure is a theoretical decision; some other models that are effectively equivalent to ours, such as arc pair gramm
German	702	pdf-042	26	2. In discussing the relative position of object and verb we are talking about underlying constituent order. Whether one posits a fixed order of syntactic constituents in underlying structure is a theoretical decision; some other models that are effectively equivalent to ours, such as arc pair gramm
Latin	704	pdf-042	26	3. The Latin construction exemplified by quā dē causā, literally ‘which for reason’ (meaning ‘for which reason’) is not a counterexample to the generalization that prepositions are not inserted into objects by default. The crucial detail is that the preposition must follow exactly one coherent const
Middle English	746	pdf-046	30	in most cases we have limited information about the phonetics of the language; the surface contrasts of the phonology are sometimes imperfectly recorded; rare inflectional categories and syntactic constructions may not be adequately attested if the corpus is small; words for some concepts may fail t
Old English	748	pdf-046	30	A simple example will illustrate the problem. In all dialects of Old English (OE; i.e. English before the Norman Conquest) the 3sg. and all the forms of the plural ended in -þ (pronounced [-θ]) in the present indicative of most verbs. In late tenth-century interlinear glosses written in the Northumb
OE	748	pdf-046	30	A simple example will illustrate the problem. In all dialects of Old English (OE; i.e. English before the Norman Conquest) the 3sg. and all the forms of the plural ended in -þ (pronounced [-θ]) in the present indicative of most verbs. In late tenth-century interlinear glosses written in the Northumb
Middle English	748	pdf-046	30	A simple example will illustrate the problem. In all dialects of Old English (OE; i.e. English before the Norman Conquest) the 3sg. and all the forms of the plural ended in -þ (pronounced [-θ]) in the present indicative of most verbs. In late tenth-century interlinear glosses written in the Northumb
ME	748	pdf-046	30	A simple example will illustrate the problem. In all dialects of Old English (OE; i.e. English before the Norman Conquest) the 3sg. and all the forms of the plural ended in -þ (pronounced [-θ]) in the present indicative of most verbs. In late tenth-century interlinear glosses written in the Northumb
OE	748	pdf-046	30	A simple example will illustrate the problem. In all dialects of Old English (OE; i.e. English before the Norman Conquest) the 3sg. and all the forms of the plural ended in -þ (pronounced [-θ]) in the present indicative of most verbs. In late tenth-century interlinear glosses written in the Northumb
OE	748	pdf-046	30	A simple example will illustrate the problem. In all dialects of Old English (OE; i.e. English before the Norman Conquest) the 3sg. and all the forms of the plural ended in -þ (pronounced [-θ]) in the present indicative of most verbs. In late tenth-century interlinear glosses written in the Northumb
ME	748	pdf-046	30	A simple example will illustrate the problem. In all dialects of Old English (OE; i.e. English before the Norman Conquest) the 3sg. and all the forms of the plural ended in -þ (pronounced [-θ]) in the present indicative of most verbs. In late tenth-century interlinear glosses written in the Northumb
Latin	774	pdf-048	32	A language continues to exist only so long as it is used by a community of native speakers; thus the survival of any language depends on the replication of its native speech community. (A spoken language with no native speakers, such as medieval Latin, though not exactly “dead,” is not fully alive e
Russian	788	pdf-049	33	By contrast, millions of human beings have discovered that when they leave childhood behind they are unable to learn further languages well enough to pass as native speakers; the almost universal inability of adults to learn further languages well is a basic fact of research on second-language acqui
French	800	pdf-050	34	Children invariably acquire the inflectional system(s) of their native language(s) by about the age of 5 (though individual inflectional irregularities may not be mastered until later in childhood; see e.g. the papers in Slobin 1985). That is true even if the inflectional morphology of the language 
German	800	pdf-050	34	Children invariably acquire the inflectional system(s) of their native language(s) by about the age of 5 (though individual inflectional irregularities may not be mastered until later in childhood; see e.g. the papers in Slobin 1985). That is true even if the inflectional morphology of the language 
German	800	pdf-050	34	Children invariably acquire the inflectional system(s) of their native language(s) by about the age of 5 (though individual inflectional irregularities may not be mastered until later in childhood; see e.g. the papers in Slobin 1985). That is true even if the inflectional morphology of the language 
French	806	pdf-050	34	guage dominance by showing experimentally that native English–French bilinguals parse words of the two languages somewhat differently depending on which language is dominant. The effects are extremely subtle and have no practical impact on the linguistic competence or performance of the speakers.
Latin	845	pdf-053	37	Attempts to borrow morphosyntax from very different languages (as opposed to different dialects of one’s native language) are usually even less successful, even if they are lexically mediated. Over the last few centuries there has been a concerted attempt to borrow into standard formal English Latin
Latin	845	pdf-053	37	Attempts to borrow morphosyntax from very different languages (as opposed to different dialects of one’s native language) are usually even less successful, even if they are lexically mediated. Over the last few centuries there has been a concerted attempt to borrow into standard formal English Latin
French	976	pdf-062	46	A wide variety of sociolinguistic processes can produce stable variation. In clearly stratified societies different social groups may accommodate their speech to each other’s usage when they interact linguistically, so that different linguistic forms present in the speech community may fluctuate in 
