example_no	line	pdf_page	source_page	in_code_block	text
4	2101	pdf-123	107	True	"(4)       a. nivártanam ‘return’         (blocked by /t/)
c. prarécanam ‘remainder’     (blocked by the palatal stop /c/)
d. vr̥ jánam ‘place’            (blocked by the palatal stop /j/)
e. dáŕsanam ‘sight’           (blocked by the palatal fricative /ś/)
f. prān. anaḿ     ‘breathing’       (blocked by n., ←/n/ by this rule)"
5	2106	pdf-123	107	True	(5)       a. /tr̥ d-ná-/ →tr̥ nná- →tr̥ n. n. á- ‘split’
6	2120	pdf-124	108	True	(6)       a. /mélan-s/ ‘black (nom. sg. masc.)’ →méla:s μέλας (cf. nom. pl. masc.
7	2166	pdf-127	111	True	(7)       PIE *dn̥ ǵʰwéh₂- > *dn̥ gʰwā- →*dʰn̥ gwā- > fangvā-
8	2167	pdf-127	111	True	(8)       Tocharian A käntu, pl. käntwā-ñ, Tocharian B kantwo, dimin. käntwā-śke <
9	2168	pdf-127	111	True	(9)       PIE *dn̥ ǵʰwéh₂- > *dn̥ gʰwā́- → *gn̥ dʰwā́- > Proto-Tocharian *kəntwá-
10	2275	pdf-133	117	True	"(10)  a. blémma βλέμμα ‘glance’ ← /blep-/ ‘look’
      b. trî:mma τρῖμμα ‘experienced con man’ (*‘well-worn thing’) and
         tri:mmós τριμμός ‘beaten path’ ← /tri:b-/ ‘rub’
      c. áleimma ἄλειμμα ‘ointment’ ← /aleipʰ-/ ‘anoint’"
11	2288	pdf-133	117	True	"(11)  a. dógma δόγμα [dóŋma] ‘opinion, (legislative) decree’ ← /dok-/ ‘seem
         good, be resolved (by a legislature)’
      b. díɔ:gma δίωγμα [díɔ:ŋma] and diɔ:gmós διωγμός [-ŋm-] ‘pursuit’
         ← /diɔ:k-/ ‘pursue’
      c. diállagma διάλλαγμα [diállaŋma] ‘changeling’ ← /di-allag-/ ‘exchange’
      d. táragma τάραγμα [táraŋma] ‘uneasiness, upset’ and taragmós ταραγμός
         [-ŋm-] ‘confusion, turmoil’ ← /tarakʰ-/ ‘disturb’"
12	2300	pdf-133	117	True	"(12)  akmɛ́: ἀκμή ‘(highest) point’        dokʰmɛ́: δοχμή ‘span, handbreadth’
      ákmɔ:n ἄκμων ‘anvil’               aikʰmɛ́: αἰχμή ‘spear-point’
      ikmás ἰκμάς ‘moisture’             likʰmâ:n λιχμᾶν ‘to flick the tongue’
      likmâ:n λικμᾶν ‘to winnow (grain)’"
13	2313	pdf-134	118	True	"(13)  a. téknon τέκνον ‘child’ ← /tek-/ ‘give birth’
      b. terpnós τερπνός ‘pleasant’ ← /terp-/ ‘enjoy’
      c. sperkʰnós σπερχνός ‘hasty’ ← /sperkʰ-/ ‘hurry’
      d. strupʰnós στρυφνός ‘astringent’"
14	2350	pdf-135	119	True	"(14)  a. epitetrápʰatai ἐπιτετράφαται ‘they are in the care (of), they have been
         entrusted (to)’ Iliad 2.25, 62; tetrápʰato τετράφατο ‘they kept facing’
         Iliad 10.189 (verb root /trep-/, compound /epi-trep-/, see above)
      b. tetrī́pʰatai τετρῖφαται ‘they exhibit abrasion, they have been bruised’
         Herodotos 2.93.3 (verb root /tri:b-/, see above)
      c. gegrápʰatai γεγράφαται ‘they are written’ IG 1.57.10,
         an]agegrápʰatai ἀν]αγεγράφαται ‘they are enrolled’ IG 1.66.2–3
         (verb root /grapʰ-/ ‘write’, compound /ana-grapʰ-/ ‘write up’)
      d. e:líkʰato εἰλίχατο ‘they were wrapped’ Herodotos 7.90,
         kate:líkʰato κατειλίχατο (same meaning) 7.76
         (verb root /(kat-)elik-/ ‘wind, wrap (up)’)
      e. tetákʰatai τετάχαται ‘they are drawn up’ (said of ships) Thoukydides 3.13.3;
         antitetákʰatai ἀντιτετάχαται ‘they are deployed against’ Xenophon,
         Anabasis 4.8.5 (verb root /tag-/ ‘arrange, marshall’ and cpd.)
      f. tetéukʰatai τετεύχαται ‘they have been made’ Iliad 13.22 etc.
         (verb root /teukʰ-/ ‘make, fashion (as a craftsman)’)"
15	2379	pdf-136	120	True	"(15)  a. hīdan, hidde ‘to hide, hid’
      b. Crīst, Cristesmæsse ‘Christ, Christmas’
      c. fēdan, fedde ‘to feed, fed’
      d. frēond, freondscipe ‘friend, friendship’
      e. lǣdan, lædde ‘to lead, led’
      f. hēafod, heafodu ‘head, heads’
      g. gāst, gastlice ‘spirit, spiritual’
      h. hāliġ, haliġdæġ ‘holy, holy day’
      i. blōma ‘ingot’, blostma ‘blossom’
      j. sūþ, suðerne ‘south, southern’"
16	2405	pdf-137	121	True	"(16)  a. lę̄den, ladde ‘to lead, led’
      b. rę̄den, radde ‘to read, read [past]’
      c. sprę̄den, spradde ‘to spread, spread [past]’
      d. mę̄ten, matte ‘to dream, dreamt’ (impersonal)
      e. lę̄ven, lafde ‘to leave, left’
      f. dę̄len, dalte ‘to distribute, distributed’
      g. clę̄ne, clansen ‘clean, to cleanse’
      h. chę̄p, chapfare, chapman ‘bargain, trade, merchant’
      i. gǭst, gastli ‘spirit, spiritual’
      j. hǭli, halidai, halwen ‘holy, holiday, to sanctify’
      k. wrǭth, wraþþe ‘angry, anger’"
17	2707	pdf-148	132	True	(17)      su:niyan ‘coin’ (obviative su:niyanan, plural su:niyanak)
18	2784	pdf-152	136	True	(18)      péitʰetai πείθεται ‘(s)he obeys, (s)he trusts’ < *pʰeitʰ-e- < PIE *bʰeydʰ- (cf.
20	2803	pdf-153	137	True	(20)      titʰénai τιθέναι ‘to put (repeatedly or distributively), to be putting’ ←/tʰi-tʰe-/
21	2804	pdf-153	137	True	(21)      tetʰ ̂ɛ:nai τεθῆναι ‘to be put’ ←/tʰe-tʰɛ:-/ (see above)
22	2826	pdf-154	138	True	(22)      tʰéstʰe tà hópla θέσθε τῖ σπλα ‘ground arms!’ (lit. ‘put your own weapons
23	2827	pdf-154	138	True	(23)      kʰutʰ ̂ɛ:nai χύθῆναι ‘to be poured’ ←/kʰu-tʰɛ:-/ (/kʰew-/ ∼/kʰu-/ ‘pour’)
24	2828	pdf-154	138	True	(24)      tʰli:pʰtʰ ̂ɛ:nai θλῖφθῆναι ‘to be squeezed’ ←/tʰli:b-tʰɛ:-/ (tʰlí:be:n θλ́ῖβειν ‘to
25	2829	pdf-154	138	True	(25)      entʰu:mɛ́:tʰɛ:ti ἐνθεμώθητι ‘think about it!’ ←/en-tʰu:mɛ:-tʰɛ:-tʰi/
26	2851	pdf-155	139	True	(26)      a. nom. pl. tríkʰes τρίχες ‘hairs’, gen. sg. trikʰós τριχός, etc.,
27	2852	pdf-155	139	True	"(27)      a. takʰús ταχυς ‘swift’,
b. comparative tʰá:ttɔ:n θαττων́     (-tt- < *-kj-)"
28	2854	pdf-155	139	True	(28)      a. tapʰ ̂ɛ:nai ταφῆναι ‘to get buried’
29	2855	pdf-155	139	True	(29)      a. trépʰe:n τρέφειν ‘to support, to raise (a child)’, tetropʰénai τετροφέναι ‘to
30	2856	pdf-155	139	True	(30)      a. apo-trékʰe:n  ποτρέχειν ‘to run away; to run hard’
31	2857	pdf-155	139	True	(31)      a. epi-tú:pʰestʰai ἐπιτ εφεσθαί     ‘to be burned up’, epi-tupʰ ̂ɛ:nai ἐπιτύφῆναι
32	2858	pdf-155	139	True	(32)      grápsai γράξαι ‘to write’ ←/grapʰ-s-/ (grápʰe:n γράφειν ‘to be writing’)
33	2901	pdf-157	141	True	(33)      ékʰe:n ἔχειν ‘to hold, to have’, hékse:n εηειν ‘to be going to hold/have’, skʰê:n
34	2915	pdf-158	142	True	(34)      a. wulf, wulfes [wʊlf, wʊlvəs] ‘wolf, wolves’
1	2995	pdf-162	146	True	"(1) Stems which are basically nominal are often used verbally in spontaneous
discourse; when they are so used, in the passive, they regularly take the ending
/-tia/. (2) Derived causatives (formed with the prefix /whaka-/) take /-tia/ in
the passive even if the basic verb stem takes another alternant when not in
the causative. (3) There is a rule whereby certain adverbials are made to
agree in voice with the verbs they modify; these adverbials take /-tia/ in the
passive regardless of the shape of the passive ending which the verb itself"
35	3019	pdf-163	147	True	(35)      a. the oblique cases of the singular of n-stem nouns;
1	3085	pdf-168	152	True	(1)       preach: preached:: beseech: X; X = beseeched.
2	3129	pdf-172	156	True	(2)       a. conceive: conception, concept
1	3330	pdf-184	168	True	"(1)       a. *gʷm̥ -ské/ó- ‘be walking’ (‘take one step after another’; *ǵ    wem- ‘step’)
b. *ǵn̥ h₃-ské/ó- ‘know (a person)’ (‘recognize on sight’; *ǵneh₃- ‘recog-
c. *h₁-ské/ó- ‘be (customarily), used to be’ (*h₁és- ‘be’)
d. *h₂i-ské/ó ‘keep looking for’ (*h₂éys- ‘look for’)
e. *mi-ské/ó- ‘be mixing’ (repetitive motion; *méyk- ‘put together’)
f. *pr̥ -ské/ó- ‘keep asking’ (*prék- ‘ask’)
g. *ph₂-ské/ó- ‘pasture (animals)’ (‘protect habitually’; *péh₂- ‘protect’)"
2	3337	pdf-184	168	True	"(2)       a. /éske/ ἔσκε ‘(s)he used to be, (s)he was’: / ̂ɛ:en/ εεν ‘(s)he was’
(stem /e-ske-/ ∼/e-sko-/)             (stem /es-/ ∼/eh-/)
used to say, (s)he said’             (stem /pʰɛ:-/ ∼/pʰa-/)"
3	3399	pdf-189	173	True	"(3)       Sie führ-en  das Spiel auf.
they lead-3pl the play up"
4	3401	pdf-189	173	True	"(4)       Sie hab-en  das Spiel auf-ge-führ-t.
they have-3pl the play up-ptcp-lead-ptcp"
5	3403	pdf-189	173	True	"(5)       Sie werden    das Spiel auf-führ-en.
they become-3pl the play up-lead-inf"
6	3405	pdf-189	173	True	(6)       Ich zerlege den Braten. Ich wird den Braten zerlegen.
7	3406	pdf-189	173	True	"(7)       Ich gebrauche das Wörterbuch. Ich habe das Wörterbuch gebraucht.
‘I’m using the dictionary.’     ‘I used the dictionary.’"
8	3408	pdf-189	173	True	(8)       frah-0/     i-na       ga-u-ƕa-sēƕ-i-0/
9	3422	pdf-190	174	True	(9)       diz-uh-þan-sat-0/        ij-ō-s        reirō   jah usfilmei
10	3423	pdf-190	174	True	(10)      a. chiara ‘clear’ (fem.) chiarissima ‘as clear as possible’ (fem.)
11	3495	pdf-195	179	True	(11)      *dūc-i-min-ī es-tis
12	3753	pdf-203	187	True	(12)      Heraklean Greek nom.-acc. tri:s τρῖς ‘three’ (see above on the ending)
13	3754	pdf-203	187	True	(13)      OHG masculine a-stem noun nom.-acc. pl. -a (the old nom. pl. ending appar-
14	3755	pdf-203	187	True	(14)      OHG feminine ō-stem nom.-acc. sg. -a (the old nom. sg. ending *-u > /0
15	3756	pdf-203	187	True	(15)      OHG feminine ō-stem nom.-acc. pl. -a (the old nom. pl. ending -o survives
16	4071	pdf-219	203	True	"(16)                 1st conjugation 2nd conjugation  4th conjugation
Present stem -ā- < *-ā(ye)- -ē- < *-ē-, *-eye- -ī- < *-iye-
Perfect stem -ā-v-         -u- < *-e-w-14   -ī-v-"
1	4255	pdf-229	213	True	"(1)       Hiberno-English (Filppula 1999: 99–107)
a. Irish
Tá       sé        tréis imeacht.
b. Hiberno-English"
2	4259	pdf-229	213	True	"(2)       Hebridean English (Odlin 1997: 41–4)
a. Scottish Gaelic
“Seall      sios,” ars esan,       “co leis      siod.”
Chaidh a   fear       ad sios ’s  sheall        e.
go.prt def man.nom.sg down  and look.3.sg.pret 3.sg.m
“Tha,”    ars esan,       “leibh   péin.”"
3	4265	pdf-229	213	True	"(3)       Cambro-English (Thomas 1997: 79)
a. Welsh
Dyna   od    oedd       ef!
b. Cambro-English"
4	4305	pdf-231	215	True	"(4)       a. Herodotos III.52.6
Periandros men toutoisi    auton     katelambane
P.nom.sg ptcl dem.dat.pl 3.acc.sg.m coax.ipf.3sg
b. Herodotos III.75.1
sugkalesantes            Persas       hoi       magoi
anebibasan    auton     epi purgon
c. Acts 1.9
kai     nephelē     hupelaben     auton   apo  tōn
conn   cloud.nom.sg take-up.aor.3sg 3.sg.acc from def.gen.pl
ophthalmōn autōn"
5	4338	pdf-232	216	True	"(5)       Clitic attached to TP
a. Homer IV.157
[CP autar [TP =hoi       [TP Proitos   kaka      mēsato
but      3.dat.sg.m   P.nom.sg evil.acc.sg plan.aor.md.3sg
thumōi     ]]]
b. Herodotus I.111.2
[CP hoti [TP =min    [TP houtō prothumōs Harpagos
why     3.acc.sg    so   eagerly   H.nom.sg"
6	4346	pdf-232	216	True	"(6)       Clitic attached to VP
a. Herodotos I.146.1
Minuai   de   Orkhomeniou [VP =sphi [VP anamemikhatai ]]
M.nom.pl ptcl O.gen.sg        3.dat.pl mix-together.pf.pass.3pl
ē alloi    [VP eipon      =soi      peri  emou  ]†
or other.nom.pl say.aor.3pl   2.dat.sg about 1.gen.sg"
7	4432	pdf-234	218	False	"(7)       a. Absolute inflection (gloss 27d7 from the Würzburg glosses on the
guidid         dia        eruib   =si       dogress
pray.3.sg.prs.abs god.nom.sg for.2.pl  emph.2.pl continually"
8	4454	pdf-235	219	False	(8)       a. Simplex verb (Milan gloss 55a5)
9	4455	pdf-235	219	False	(9)       a. béirth-i (Würzburg gloss 23a19)
10	4556	pdf-238	222	False	(10)      a. Negative clause (310:31:45)
11	4584	pdf-239	223	False	(11)      a. Negative clause (318:194:567)
12	4612	pdf-240	224	False	"(12)      a. ME (l. 1744 of Chaucer’s Merchant’s Tale)
b. ModE"
1	5512	pdf-273	257	False	"(1)  Proto-Greek (PGk.) *t(ʰ)i > South Greek si σι under unclear conditions.
     (The “South Greek” dialect group includes Mycenaean (written in the Linear B
     syllabary), Arkadian, Cypriote, and the Attic-Ionic group; the artificial Homeric
     dialect is based on archaic East Ionic.)"
2	5535	pdf-273	257	False	"(2)  Proto-Indo-European (PIE) *dʰ > pre-Tocharian *tʰ; then word-final
     postvocalic *-t(ʰ)i > *-si (> Proto-Tocharian (PToch.) *-ṣə; Jasanoff
     1987: 108–12, Ringe 1996b: 47–8, 80, 88).†"
3	5556	pdf-274	258	False	"(3)  Proto-Finnic (PF) *ti > Proto-Baltic Finnic *si (Fromm and Sadeniemi
     1956: 26–7, 39–40, Hakulinen 1961: 34–5, Laanest 1982: 22–3, 102–3,
     Sammallahti 1988).‡
     a. PF *käti ‘hand’ (Mari kit, Saami giettâ) > *käsi > Finnish (Finn.),
        Estonian (Est.) käsi
     b. PF *weti ‘water’ (Mari βyt) > *wesi > Finn., Est. vesi
     c. PF *kakte ‘two’ (Mari kok, koktə, Saami guok’te) > *kakti > *kaksi
        > Finn. kaksi, Est. kaks
     d. PF *wi:ti ‘five’ (Mari βiʧ, Saami vit’tâ) > *wi:si > Finn. viisi,
        Est. viis"
4	5567	pdf-274	258	False	"(4)  Proto-Polynesian (PPN) *ti > Tongan (To.) si (Biggs 1978: 703).
     a. PPN *tipa ‘to turn aside’ (Maori [Mao.] tipa, Hawaiian [Haw.] kipa;
        Rapanui [Rap.] tipatipa ‘to shake’) > To. sipa ‘to stagger’
     b. PPN *tiro ‘to look at’ (Mao. tiro; Haw. kilo ‘to watch closely’,
        Samoan [Sam.] tilotilo ‘to spy’) > To. sio
     c. PPN *fati ‘to break’ (Sam. fati, Haw. haki, Rap. hatihati;
        Mao. whati ‘to be broken off’) > To. fasi
     d. PPN *ʔoti ‘to finish’ (Sam., Rap. oti, Haw. oki; Mao. oti ‘to be finished’)
        > To. ʔosi ‘to be finished’"
5	5585	pdf-274	258	False	"(5)  Proto-Germanic (PGmc.) *e, *i > Gothic (Goth.) aí (= [ɛ]) before r, h, ƕ;
     elsewhere i.
     a. PGmc. *witaną ‘to know’ (Old English [OE] witan, Old Norse [ON] vita)
        > Goth. witan
     b. PGmc. *metaną ‘to measure’ (OE metan; ON meta ‘to evaluate’)
        > Goth. mitan
     c. PGmc. *silubrą ‘silver’ (OE siolfor, ON silfr) > Goth. silubr
     d. PGmc. *meluk- ‘milk’ (OE meoloc, ON mjǫlk) > Goth. miluks
     e. PGmc. *wiþr- ‘against’ (ON viðr; OE prefix wiðer-) > Goth. wiþra"
6	5612	pdf-275	259	False	"(6)  PIE *e, *i > PToch. word-initial *yə; elsewhere *ə with palatalization
     (Ringe 1996b: 125–6).
     a. PIE aor. subj. *légʰeti ‘(s)he will lie down’ (cf. aor. indic. Homeric
        /lékto/ λέκτο; pres. *légʰyeti in Old Church Slavonic ležetŭ,
        OE inf. licgan) > PToch. pres. *lyə́śəṣə ∼ *lyə́śə > Toch. B lyásä-m
        (with ptcl. *-n, added to all Toch. B primary act. 3sg. forms)
     b. PIE *léymon- ∼ *limn-´ ‘lake’ (Greek /leimɔ́:n/ λειμών ‘meadow’,
        /limɛ́:n/ λιμήν ‘harbor’, /límnɛ:/ λίμνη ‘pool, (marshy) lake’)
        → *límṇ > PToch. *lyə́mə > Toch. A lyäm, Toch. B lyam
     c. PIE aor. subj. *gʷémeti ‘(s)he will step’ (see above)
        > *gʷémesi ∼ *gʷéme > PToch. *śə́məṣə ∼ *śə́mə ‘(s)he will come’
        > Toch. A śmäṣ, > → Toch. B śman(-ne) ‘it will come (to him)’
     d. PIE collective *h₁itór ‘goings’ (Greek /itʰmós/ ἰθμός ‘path, road’,
        Sanskrit itmám ‘course, path’) > *itór > PToch. *yətár- ‘path, road’
        > Toch. A ytär, Toch. B ytārye
     e. PIE *téro- ‘further, more’ (Skt. tirás ‘through, over, across’, Germanic
        *þer- in Gothic þaírh ‘through’, etc.) > *térə > PToch. *tʸə́rə ‘through’
        > Toch. A tär, Toch. B cär"
7	5631	pdf-275	259	False	"(7)  Proto-Algonkian (PA) word-final *e, *i > Cree i, with palatalization of preceding
     consonants where appropriate (Bloomfield 1946: 85–6, 96–7, 102, 104).
     a. PA *po:nime:wa ‘he stops talking to him’ (Fox po:nime:wa) > Cree po:nime:w
     b. PA *po:ne:leme:wa ‘he stops thinking about him’ (Fox po:ne:neme:wa)
        > Cree po:ne:yime:w
     c. PA *wa:pimini ‘maize’ (Fox wa:pimini) > Cree wa:pimin ‘white bead’
     d. PA *aʔsenyali ‘stones’ (Fox asenye:ni) > Cree asiniya
     e. PA *po:siko ‘embark! (pl.)’ (Fox po:siko) > Cree po:sik
     f. PA *meʔtekwi ‘stick’ (Fox mehtekwi) > Cree mistik"
