collation_priority	entry_id	pdf_page_start	entry_heading	fields_to_check	reason	ninth_pass_status	ninth_pass_action	corrected_heading	rendered_page_available	tenth_pass_status	tenth_pass_action	eleventh_pass_status	eleventh_pass_action
1-high	166	87	bonus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	182	94	caelum	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	206	102	canus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	221	107	carīnō, -āre	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period;space-laryngeal; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	293	131	clam	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	326	143	concinnus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	357	154	eras	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;starred-form-with-digit;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	375	160	cruentus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	380	162	cubitus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	424	180	-dem [ptele.]: ibidem	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	452	194	dubius	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	464	199	edo, esse	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	507	219	fatuus 'silly, foolish'	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	521	224	femina	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	541	231	fetus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period;space-laryngeal	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	554	236	fio, fieri	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	574	244	folium	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	657	276	-ginta	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	rendered-page-reviewed-or-sampled	page rendered for visual collation; no conservative automated correction applied		yes	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	668	279	gloria	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period; PIE field may include explanatory prose	rendered-page-reviewed-or-sampled	page rendered for visual collation; no conservative automated correction applied		yes	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	671	280	gluten, -inis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	rendered-page-reviewed-or-sampled	page rendered for visual collation; no conservative automated correction applied		yes	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	742	308	ianitrices, -urn	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	rendered-page-reviewed-or-sampled	page rendered for visual collation; no conservative automated correction applied		yes	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	811	334	lacer	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	821	338	lambo, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	898	363	forum	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	906	366	lumbus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	923	372	maereo	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	933	375	mando, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal; bibliography field not detected	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	954	384	membrum	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period;h-bracket	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	991	400	moles, -is	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	993	400	molo, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1044	419	nepos, -otis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1046	420	Ner»	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period;h-bracket	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1068	427	noscu, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1085	436	oblīvīscor, -ī 'to forget'	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1090	438	ōcior	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose;bibliography marker may be captured in linguistic field	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1099	441	omen, -inis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period;space-laryngeal	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1101	442	omnis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1108	444	oppidum	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; bibliography field not detected	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1120	450	ōs, ōris	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period;space-laryngeal	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1122	451	ovis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period; bibliography field not detected	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1125	452	ovum	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;starred-form-with-digit;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1134	455	palma	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1188	476	pes, pedis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1212	484	plaudo, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1246	497	post	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1295	516	putō, -āre	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1337	535	rete / retis	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1446	573	servus * slave'	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1455	576	sidus, -eris	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1468	581	sisto, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period;space-laryngeal	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1472	582	sōbrius	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; PIE field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1501	593	sperno, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1530	603	sto, stare	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period;space-laryngeal	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1566	618	tabula	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period;space-laryngeal	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1646	646	tueor	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1659	652	ulna	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1693	664	vadō, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period;space-laryngeal	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1699	665	valeō	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period;space-laryngeal; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1729	676	ventus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period;space-laryngeal	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1752	685	vestibulum	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek; bibliography field not detected	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1759	687	via'road'	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-symbol-or-ocr-risk;possible-missing-abbrev-period;space-laryngeal	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1789	699	vivo, -ere	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
1-high	1795	701	volo, -are	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period; IE cognates field may include explanatory prose	high-priority-still-flagged	requires manual visual collation for full character authority		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	1	33	O. aapam [acc.sg.], aapas [gen.sg. or acc.pl.]	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	2	33	ab, abs, as-, ā-, af-, au-	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	4	34	Abella	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	7	35	accipiter, -tris	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	9	35	acer,-eris	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	8	35	aceō	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-symbol-or-ocr-risk;possible-missing-abbrev-period;space-laryngeal	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	10	36	acer, -is, -e	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-greek;contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	11	36	acerbus	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
2-medium	15	37	acu-	entry_forms;proto_italic;italic_cognates;pie;ie_cognates;bibliography	contains-laryngeal;contains-symbol-or-ocr-risk;possible-missing-abbrev-period	still-flagged-for-manual-collation	retained in worklist		no	carried-forward	requires full manual visual collation for character authority	carried-forward	requires full manual visual collation for character authority
